Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Sonoma,95 - 99 years,103,06/10/2021
Death,2021,Place of Residence,Sonoma,100 years and over,33,06/10/2021
Death,2021,Place of Residence,Stanislaus,Less than 1 year,12,06/10/2021
Death,2021,Place of Residence,Stanislaus,1 - 4 years,<11,06/10/2021
Death,2021,Place of Residence,Stanislaus,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Stanislaus,10 - 14 years,<11,06/10/2021
Death,2021,Place of Residence,Stanislaus,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Stanislaus,20 - 24 years,13,06/10/2021
Death,2021,Place of Residence,Stanislaus,25 - 29 years,15,06/10/2021
Death,2021,Place of Residence,Stanislaus,30 - 34 years,21,06/10/2021
Death,2021,Place of Residence,Stanislaus,35 - 39 years,26,06/10/2021
Death,2021,Place of Residence,Stanislaus,40 - 44 years,41,06/10/2021
Death,2021,Place of Residence,Stanislaus,45 - 49 years,68,06/10/2021
Death,2021,Place of Residence,Stanislaus,50 - 54 years,85,06/10/2021
Death,2021,Place of Residence,Stanislaus,55 - 59 years,108,06/10/2021
Death,2021,Place of Residence,Stanislaus,60 - 64 years,167,06/10/2021
Death,2021,Place of Residence,Stanislaus,65 - 69 years,164,06/10/2021
Death,2021,Place of Residence,Stanislaus,70 - 74 years,233,06/10/2021
Death,2021,Place of Residence,Stanislaus,75 - 79 years,216,06/10/2021
Death,2021,Place of Residence,Stanislaus,80 - 84 years,232,06/10/2021
Death,2021,Place of Residence,Stanislaus,85 - 89 years,202,06/10/2021
Death,2021,Place of Residence,Stanislaus,90 - 94 years,168,06/10/2021
Death,2021,Place of Residence,Stanislaus,95 - 99 years,79,06/10/2021
Death,2021,Place of Residence,Stanislaus,100 years and over,20,06/10/2021
Death,2021,Place of Residence,Sutter,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Sutter,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Sutter,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Sutter,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Sutter,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Sutter,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Sutter,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Sutter,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Sutter,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Sutter,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Sutter,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Sutter,50 - 54 years,14,06/10/2021
Death,2021,Place of Residence,Sutter,55 - 59 years,17,06/10/2021
Death,2021,Place of Residence,Sutter,60 - 64 years,34,06/10/2021
Death,2021,Place of Residence,Sutter,65 - 69 years,28,06/10/2021
Death,2021,Place of Residence,Sutter,70 - 74 years,43,06/10/2021
Death,2021,Place of Residence,Sutter,75 - 79 years,39,06/10/2021
Death,2021,Place of Residence,Sutter,80 - 84 years,50,06/10/2021
Death,2021,Place of Residence,Sutter,85 - 89 years,42,06/10/2021
Death,2021,Place of Residence,Sutter,90 - 94 years,27,06/10/2021
Death,2021,Place of Residence,Sutter,95 - 99 years,11,06/10/2021
Death,2021,Place of Residence,Sutter,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Tehama,Less than 1 year,0,06/10/2021
Death,2021,Place of Residence,Tehama,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Tehama,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Tehama,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Tehama,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Tehama,20 - 24 years,0,06/10/2021
Death,2021,Place of Residence,Tehama,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Tehama,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Tehama,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Tehama,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Tehama,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Tehama,50 - 54 years,12,06/10/2021
Death,2021,Place of Residence,Tehama,55 - 59 years,17,06/10/2021
Death,2021,Place of Residence,Tehama,60 - 64 years,26,06/10/2021
Death,2021,Place of Residence,Tehama,65 - 69 years,32,06/10/2021
Death,2021,Place of Residence,Tehama,70 - 74 years,39,06/10/2021
Death,2021,Place of Residence,Tehama,75 - 79 years,44,06/10/2021
Death,2021,Place of Residence,Tehama,80 - 84 years,39,06/10/2021
Death,2021,Place of Residence,Tehama,85 - 89 years,32,06/10/2021
Death,2021,Place of Residence,Tehama,90 - 94 years,19,06/10/2021
Death,2021,Place of Residence,Tehama,95 - 99 years,11,06/10/2021
Death,2021,Place of Residence,Tehama,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Trinity,Less than 1 year,0,06/10/2021
Death,2021,Place of Residence,Trinity,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Trinity,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Trinity,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Trinity,15 - 19 years,0,06/10/2021
Death,2021,Place of Residence,Trinity,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,25 - 29 years,0,06/10/2021
Death,2021,Place of Residence,Trinity,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,45 - 49 years,0,06/10/2021
Death,2021,Place of Residence,Trinity,50 - 54 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,55 - 59 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,60 - 64 years,12,06/10/2021
Death,2021,Place of Residence,Trinity,65 - 69 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,70 - 74 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,75 - 79 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,80 - 84 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,85 - 89 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,90 - 94 years,<11,06/10/2021
Death,2021,Place of Residence,Trinity,95 - 99 years,0,06/10/2021
Death,2021,Place of Residence,Trinity,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Tulare,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Tulare,1 - 4 years,<11,06/10/2021
Death,2021,Place of Residence,Tulare,5 - 9 years,<11,06/10/2021
Death,2021,Place of Residence,Tulare,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Tulare,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Tulare,20 - 24 years,11,06/10/2021
Death,2021,Place of Residence,Tulare,25 - 29 years,21,06/10/2021
Death,2021,Place of Residence,Tulare,30 - 34 years,28,06/10/2021
Death,2021,Place of Residence,Tulare,35 - 39 years,33,06/10/2021
Death,2021,Place of Residence,Tulare,40 - 44 years,54,06/10/2021
Death,2021,Place of Residence,Tulare,45 - 49 years,45,06/10/2021
Death,2021,Place of Residence,Tulare,50 - 54 years,61,06/10/2021
Death,2021,Place of Residence,Tulare,55 - 59 years,90,06/10/2021
Death,2021,Place of Residence,Tulare,60 - 64 years,138,06/10/2021
Death,2021,Place of Residence,Tulare,65 - 69 years,136,06/10/2021
Death,2021,Place of Residence,Tulare,70 - 74 years,165,06/10/2021
Death,2021,Place of Residence,Tulare,75 - 79 years,158,06/10/2021
Death,2021,Place of Residence,Tulare,80 - 84 years,172,06/10/2021
Death,2021,Place of Residence,Tulare,85 - 89 years,162,06/10/2021
Death,2021,Place of Residence,Tulare,90 - 94 years,128,06/10/2021
Death,2021,Place of Residence,Tulare,95 - 99 years,62,06/10/2021
Death,2021,Place of Residence,Tulare,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,1 - 4 years,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Tuolumne,10 - 14 years,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,50 - 54 years,<11,06/10/2021
Death,2021,Place of Residence,Tuolumne,55 - 59 years,11,06/10/2021
Death,2021,Place of Residence,Tuolumne,60 - 64 years,20,06/10/2021
Death,2021,Place of Residence,Tuolumne,65 - 69 years,20,06/10/2021
Death,2021,Place of Residence,Tuolumne,70 - 74 years,46,06/10/2021
Death,2021,Place of Residence,Tuolumne,75 - 79 years,26,06/10/2021
Death,2021,Place of Residence,Tuolumne,80 - 84 years,39,06/10/2021
Death,2021,Place of Residence,Tuolumne,85 - 89 years,49,06/10/2021
Death,2021,Place of Residence,Tuolumne,90 - 94 years,29,06/10/2021
Death,2021,Place of Residence,Tuolumne,95 - 99 years,11,06/10/2021
Death,2021,Place of Residence,Tuolumne,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Ventura,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Ventura,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Ventura,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Ventura,10 - 14 years,<11,06/10/2021
Death,2021,Place of Residence,Ventura,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Ventura,20 - 24 years,19,06/10/2021
Death,2021,Place of Residence,Ventura,25 - 29 years,22,06/10/2021
Death,2021,Place of Residence,Ventura,30 - 34 years,25,06/10/2021
Death,2021,Place of Residence,Ventura,35 - 39 years,35,06/10/2021
Death,2021,Place of Residence,Ventura,40 - 44 years,45,06/10/2021
Death,2021,Place of Residence,Ventura,45 - 49 years,59,06/10/2021
Death,2021,Place of Residence,Ventura,50 - 54 years,96,06/10/2021
Death,2021,Place of Residence,Ventura,55 - 59 years,121,06/10/2021
Death,2021,Place of Residence,Ventura,60 - 64 years,178,06/10/2021
Death,2021,Place of Residence,Ventura,65 - 69 years,226,06/10/2021
Death,2021,Place of Residence,Ventura,70 - 74 years,270,06/10/2021
Death,2021,Place of Residence,Ventura,75 - 79 years,316,06/10/2021
Death,2021,Place of Residence,Ventura,80 - 84 years,351,06/10/2021
Death,2021,Place of Residence,Ventura,85 - 89 years,412,06/10/2021
Death,2021,Place of Residence,Ventura,90 - 94 years,355,06/10/2021
Death,2021,Place of Residence,Ventura,95 - 99 years,191,06/10/2021
Death,2021,Place of Residence,Ventura,100 years and over,50,06/10/2021
Death,2021,Place of Residence,Yolo,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Yolo,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Yolo,5 - 9 years,<11,06/10/2021
Death,2021,Place of Residence,Yolo,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Yolo,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Yolo,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Yolo,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Yolo,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Yolo,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Yolo,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Yolo,45 - 49 years,12,06/10/2021
Death,2021,Place of Residence,Yolo,50 - 54 years,14,06/10/2021
Death,2021,Place of Residence,Yolo,55 - 59 years,36,06/10/2021
Death,2021,Place of Residence,Yolo,60 - 64 years,37,06/10/2021
Death,2021,Place of Residence,Yolo,65 - 69 years,44,06/10/2021
Death,2021,Place of Residence,Yolo,70 - 74 years,75,06/10/2021
Death,2021,Place of Residence,Yolo,75 - 79 years,63,06/10/2021
Death,2021,Place of Residence,Yolo,80 - 84 years,65,06/10/2021
Death,2021,Place of Residence,Yolo,85 - 89 years,86,06/10/2021
Death,2021,Place of Residence,Yolo,90 - 94 years,51,06/10/2021
Death,2021,Place of Residence,Yolo,95 - 99 years,25,06/10/2021
Death,2021,Place of Residence,Yolo,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Yuba,Less than 1 year,0,06/10/2021
Death,2021,Place of Residence,Yuba,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Yuba,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Yuba,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Yuba,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Yuba,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Yuba,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Yuba,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Yuba,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Yuba,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Yuba,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Yuba,50 - 54 years,13,06/10/2021
Death,2021,Place of Residence,Yuba,55 - 59 years,26,06/10/2021
Death,2021,Place of Residence,Yuba,60 - 64 years,24,06/10/2021
Death,2021,Place of Residence,Yuba,65 - 69 years,34,06/10/2021
Death,2021,Place of Residence,Yuba,70 - 74 years,33,06/10/2021
Death,2021,Place of Residence,Yuba,75 - 79 years,28,06/10/2021
Death,2021,Place of Residence,Yuba,80 - 84 years,32,06/10/2021
Death,2021,Place of Residence,Yuba,85 - 89 years,27,06/10/2021
Death,2021,Place of Residence,Yuba,90 - 94 years,21,06/10/2021
Death,2021,Place of Residence,Yuba,95 - 99 years,<11,06/10/2021
Death,2021,Place of Residence,Yuba,100 years and over,<11,06/10/2021
Death,2020,Place of Residence,Alameda,Less than 1 year,62,06/10/2021
Death,2020,Place of Residence,Alameda,1 - 4 years,12,06/10/2021
Death,2020,Place of Residence,Alameda,5 - 9 years,<11,06/10/2021
Death,2020,Place of Residence,Alameda,10 - 14 years,<11,06/10/2021
Death,2020,Place of Residence,Alameda,15 - 19 years,49,06/10/2021
Death,2020,Place of Residence,Alameda,20 - 24 years,86,06/10/2021
Death,2020,Place of Residence,Alameda,25 - 29 years,119,06/10/2021
Death,2020,Place of Residence,Alameda,30 - 34 years,149,06/10/2021
Death,2020,Place of Residence,Alameda,35 - 39 years,149,06/10/2021
Death,2020,Place of Residence,Alameda,40 - 44 years,203,06/10/2021
Death,2020,Place of Residence,Alameda,45 - 49 years,261,06/10/2021
Death,2020,Place of Residence,Alameda,50 - 54 years,386,06/10/2021
Death,2020,Place of Residence,Alameda,55 - 59 years,550,06/10/2021
Death,2020,Place of Residence,Alameda,60 - 64 years,793,06/10/2021
Death,2020,Place of Residence,Alameda,65 - 69 years,917,06/10/2021
Death,2020,Place of Residence,Alameda,70 - 74 years,1113,06/10/2021
Death,2020,Place of Residence,Alameda,75 - 79 years,1164,06/10/2021
Death,2020,Place of Residence,Alameda,80 - 84 years,1284,06/10/2021
Death,2020,Place of Residence,Alameda,85 - 89 years,1493,06/10/2021
Death,2020,Place of Residence,Alameda,90 - 94 years,1382,06/10/2021
Death,2020,Place of Residence,Alameda,95 - 99 years,760,06/10/2021
Death,2020,Place of Residence,Alameda,100 years and over,212,06/10/2021
Death,2020,Place of Residence,Alpine,Less than 1 year,0,06/10/2021
Death,2020,Place of Residence,Alpine,1 - 4 years,0,06/10/2021
Death,2020,Place of Residence,Alpine,5 - 9 years,0,06/10/2021
Death,2020,Place of Residence,Alpine,10 - 14 years,0,06/10/2021
Death,2020,Place of Residence,Alpine,15 - 19 years,0,06/10/2021
Death,2020,Place of Residence,Alpine,20 - 24 years,<11,06/10/2021
Death,2020,Place of Residence,Alpine,25 - 29 years,0,06/10/2021
Death,2020,Place of Residence,Alpine,30 - 34 years,<11,06/10/2021
Death,2020,Place of Residence,Alpine,35 - 39 years,<11,06/10/2021
Death,2020,Place of Residence,Alpine,40 - 44 years,0,06/10/2021
Death,2020,Place of Residence,Alpine,45 - 49 years,0,06/10/2021
Death,2020,Place of Residence,Alpine,50 - 54 years,<11,06/10/2021
Death,2020,Place of Residence,Alpine,55 - 59 years,0,06/10/2021
Death,2020,Place of Residence,Alpine,60 - 64 years,<11,06/10/2021
Death,2020,Place of Residence,Alpine,65 - 69 years,<11,06/10/2021
Death,2020,Place of Residence,Alpine,70 - 74 years,<11,06/10/2021
Death,2020,Place of Residence,Alpine,75 - 79 years,<11,06/10/2021
Death,2020,Place of Residence,Alpine,80 - 84 years,0,06/10/2021
Death,2020,Place of Residence,Alpine,85 - 89 years,<11,06/10/2021
Death,2020,Place of Residence,Alpine,90 - 94 years,<11,06/10/2021
Death,2020,Place of Residence,Alpine,95 - 99 years,0,06/10/2021
Death,2020,Place of Residence,Alpine,100 years and over,0,06/10/2021
Death,2020,Place of Residence,Amador,Less than 1 year,0,06/10/2021
Death,2020,Place of Residence,Amador,1 - 4 years,0,06/10/2021
Death,2020,Place of Residence,Amador,5 - 9 years,0,06/10/2021
Death,2020,Place of Residence,Amador,10 - 14 years,0,06/10/2021
Death,2020,Place of Residence,Amador,15 - 19 years,0,06/10/2021
Death,2020,Place of Residence,Amador,20 - 24 years,<11,06/10/2021
Death,2020,Place of Residence,Amador,25 - 29 years,<11,06/10/2021
Death,2020,Place of Residence,Amador,30 - 34 years,<11,06/10/2021
Death,2020,Place of Residence,Amador,35 - 39 years,<11,06/10/2021
Death,2020,Place of Residence,Amador,40 - 44 years,11,06/10/2021
Death,2020,Place of Residence,Amador,45 - 49 years,<11,06/10/2021
Death,2020,Place of Residence,Amador,50 - 54 years,13,06/10/2021
Death,2020,Place of Residence,Amador,55 - 59 years,22,06/10/2021
Death,2020,Place of Residence,Amador,60 - 64 years,42,06/10/2021
Death,2020,Place of Residence,Amador,65 - 69 years,37,06/10/2021
Death,2020,Place of Residence,Amador,70 - 74 years,64,06/10/2021
Death,2020,Place of Residence,Amador,75 - 79 years,74,06/10/2021
Death,2020,Place of Residence,Amador,80 - 84 years,74,06/10/2021
Death,2020,Place of Residence,Amador,85 - 89 years,55,06/10/2021
Death,2020,Place of Residence,Amador,90 - 94 years,55,06/10/2021
Death,2020,Place of Residence,Amador,95 - 99 years,29,06/10/2021
Death,2020,Place of Residence,Amador,100 years and over,<11,06/10/2021
Death,2020,Place of Residence,Butte,Less than 1 year,<11,06/10/2021
Death,2020,Place of Residence,Butte,1 - 4 years,<11,06/10/2021
Death,2020,Place of Residence,Butte,5 - 9 years,<11,06/10/2021
Death,2020,Place of Residence,Butte,10 - 14 years,<11,06/10/2021
Death,2020,Place of Residence,Butte,15 - 19 years,<11,06/10/2021
Death,2020,Place of Residence,Butte,20 - 24 years,12,06/10/2021
Death,2020,Place of Residence,Butte,25 - 29 years,17,06/10/2021
Death,2020,Place of Residence,Butte,30 - 34 years,25,06/10/2021
Death,2020,Place of Residence,Butte,35 - 39 years,35,06/10/2021
Death,2020,Place of Residence,Butte,40 - 44 years,29,06/10/2021
Death,2020,Place of Residence,Butte,45 - 49 years,49,06/10/2021
Death,2020,Place of Residence,Butte,50 - 54 years,68,06/10/2021
Death,2020,Place of Residence,Butte,55 - 59 years,126,06/10/2021
Death,2020,Place of Residence,Butte,60 - 64 years,177,06/10/2021
Death,2020,Place of Residence,Butte,65 - 69 years,241,06/10/2021
Death,2020,Place of Residence,Butte,70 - 74 years,284,06/10/2021
Death,2020,Place of Residence,Butte,75 - 79 years,271,06/10/2021
Death,2020,Place of Residence,Butte,80 - 84 years,274,06/10/2021
Death,2020,Place of Residence,Butte,85 - 89 years,310,06/10/2021
Death,2020,Place of Residence,Butte,90 - 94 years,234,06/10/2021
Death,2020,Place of Residence,Butte,95 - 99 years,135,06/10/2021
Death,2020,Place of Residence,Butte,100 years and over,25,06/10/2021
Death,2020,Place of Residence,Calaveras,Less than 1 year,0,06/10/2021
Death,2020,Place of Residence,Calaveras,1 - 4 years,<11,06/10/2021
Death,2020,Place of Residence,Calaveras,5 - 9 years,0,06/10/2021
Death,2020,Place of Residence,Calaveras,10 - 14 years,0,06/10/2021
Death,2020,Place of Residence,Calaveras,15 - 19 years,0,06/10/2021
Death,2020,Place of Residence,Calaveras,20 - 24 years,<11,06/10/2021
Death,2020,Place of Residence,Calaveras,25 - 29 years,<11,06/10/2021
Death,2020,Place of Residence,Calaveras,30 - 34 years,<11,06/10/2021
Death,2020,Place of Residence,Calaveras,35 - 39 years,<11,06/10/2021
Death,2020,Place of Residence,Calaveras,40 - 44 years,<11,06/10/2021
Death,2020,Place of Residence,Calaveras,45 - 49 years,<11,06/10/2021
Death,2020,Place of Residence,Calaveras,50 - 54 years,14,06/10/2021
Death,2020,Place of Residence,Calaveras,55 - 59 years,26,06/10/2021
Death,2020,Place of Residence,Calaveras,60 - 64 years,40,06/10/2021
Death,2020,Place of Residence,Calaveras,65 - 69 years,54,06/10/2021
Death,2020,Place of Residence,Calaveras,70 - 74 years,84,06/10/2021
Death,2020,Place of Residence,Calaveras,75 - 79 years,72,06/10/2021
Death,2020,Place of Residence,Calaveras,80 - 84 years,74,06/10/2021
Death,2020,Place of Residence,Calaveras,85 - 89 years,65,06/10/2021
Death,2020,Place of Residence,Calaveras,90 - 94 years,61,06/10/2021
Death,2020,Place of Residence,Calaveras,95 - 99 years,24,06/10/2021
Death,2020,Place of Residence,Calaveras,100 years and over,<11,06/10/2021
Death,2020,Place of Residence,Colusa,Less than 1 year,0,06/10/2021
Death,2020,Place of Residence,Colusa,1 - 4 years,0,06/10/2021
Death,2020,Place of Residence,Colusa,5 - 9 years,0,06/10/2021
Death,2020,Place of Residence,Colusa,10 - 14 years,<11,06/10/2021
Death,2020,Place of Residence,Colusa,15 - 19 years,0,06/10/2021
Death,2020,Place of Residence,Colusa,20 - 24 years,<11,06/10/2021
Death,2020,Place of Residence,Colusa,25 - 29 years,0,06/10/2021
Death,2020,Place of Residence,Colusa,30 - 34 years,0,06/10/2021
Death,2020,Place of Residence,Colusa,35 - 39 years,<11,06/10/2021
Death,2020,Place of Residence,Colusa,40 - 44 years,<11,06/10/2021
Death,2020,Place of Residence,Colusa,45 - 49 years,<11,06/10/2021
Death,2020,Place of Residence,Colusa,50 - 54 years,<11,06/10/2021
Death,2020,Place of Residence,Colusa,55 - 59 years,<11,06/10/2021
Death,2020,Place of Residence,Colusa,60 - 64 years,16,06/10/2021
Death,2020,Place of Residence,Colusa,65 - 69 years,18,06/10/2021
Death,2020,Place of Residence,Colusa,70 - 74 years,12,06/10/2021
Death,2020,Place of Residence,Colusa,75 - 79 years,20,06/10/2021
Death,2020,Place of Residence,Colusa,80 - 84 years,23,06/10/2021
Death,2020,Place of Residence,Colusa,85 - 89 years,13,06/10/2021
Death,2020,Place of Residence,Colusa,90 - 94 years,24,06/10/2021
Death,2020,Place of Residence,Colusa,95 - 99 years,17,06/10/2021
Death,2020,Place of Residence,Colusa,100 years and over,<11,06/10/2021
Death,2020,Place of Residence,Contra Costa,Less than 1 year,39,06/10/2021
Death,2020,Place of Residence,Contra Costa,1 - 4 years,11,06/10/2021
Death,2020,Place of Residence,Contra Costa,5 - 9 years,<11,06/10/2021
Death,2020,Place of Residence,Contra Costa,10 - 14 years,<11,06/10/2021
Death,2020,Place of Residence,Contra Costa,15 - 19 years,34,06/10/2021
Death,2020,Place of Residence,Contra Costa,20 - 24 years,66,06/10/2021
Death,2020,Place of Residence,Contra Costa,25 - 29 years,96,06/10/2021
Death,2020,Place of Residence,Contra Costa,30 - 34 years,99,06/10/2021
Death,2020,Place of Residence,Contra Costa,35 - 39 years,93,06/10/2021
Death,2020,Place of Residence,Contra Costa,40 - 44 years,139,06/10/2021
Death,2020,Place of Residence,Contra Costa,45 - 49 years,171,06/10/2021
Death,2020,Place of Residence,Contra Costa,50 - 54 years,286,06/10/2021
Death,2020,Place of Residence,Contra Costa,55 - 59 years,437,06/10/2021
Death,2020,Place of Residence,Contra Costa,60 - 64 years,593,06/10/2021
Death,2020,Place of Residence,Contra Costa,65 - 69 years,674,06/10/2021
Death,2020,Place of Residence,Contra Costa,70 - 74 years,869,06/10/2021
Death,2020,Place of Residence,Contra Costa,75 - 79 years,981,06/10/2021
Death,2020,Place of Residence,Contra Costa,80 - 84 years,1081,06/10/2021
Death,2020,Place of Residence,Contra Costa,85 - 89 years,1185,06/10/2021
Death,2020,Place of Residence,Contra Costa,90 - 94 years,1107,06/10/2021
Death,2020,Place of Residence,Contra Costa,95 - 99 years,604,06/10/2021
Death,2020,Place of Residence,Contra Costa,100 years and over,152,06/10/2021
Death,2020,Place of Residence,Del Norte,Less than 1 year,<11,06/10/2021
Death,2020,Place of Residence,Del Norte,1 - 4 years,0,06/10/2021
Death,2020,Place of Residence,Del Norte,5 - 9 years,0,06/10/2021
Death,2020,Place of Residence,Del Norte,10 - 14 years,<11,06/10/2021
Death,2020,Place of Residence,Del Norte,15 - 19 years,0,06/10/2021
Death,2020,Place of Residence,Del Norte,20 - 24 years,<11,06/10/2021
Death,2020,Place of Residence,Del Norte,25 - 29 years,<11,06/10/2021
Death,2020,Place of Residence,Del Norte,30 - 34 years,<11,06/10/2021
Death,2020,Place of Residence,Del Norte,35 - 39 years,<11,06/10/2021
Death,2020,Place of Residence,Del Norte,40 - 44 years,<11,06/10/2021
Death,2020,Place of Residence,Del Norte,45 - 49 years,<11,06/10/2021
Death,2020,Place of Residence,Del Norte,50 - 54 years,<11,06/10/2021
Death,2020,Place of Residence,Del Norte,55 - 59 years,19,06/10/2021
Death,2020,Place of Residence,Del Norte,60 - 64 years,31,06/10/2021
Death,2020,Place of Residence,Del Norte,65 - 69 years,30,06/10/2021
Death,2020,Place of Residence,Del Norte,70 - 74 years,28,06/10/2021
Death,2020,Place of Residence,Del Norte,75 - 79 years,40,06/10/2021
Death,2020,Place of Residence,Del Norte,80 - 84 years,30,06/10/2021
Death,2020,Place of Residence,Del Norte,85 - 89 years,36,06/10/2021
Death,2020,Place of Residence,Del Norte,90 - 94 years,31,06/10/2021
Death,2020,Place of Residence,Del Norte,95 - 99 years,<11,06/10/2021
Death,2020,Place of Residence,Del Norte,100 years and over,<11,06/10/2021
Death,2020,Place of Residence,El Dorado,Less than 1 year,<11,06/10/2021
Death,2020,Place of Residence,El Dorado,1 - 4 years,<11,06/10/2021
Death,2020,Place of Residence,El Dorado,5 - 9 years,<11,06/10/2021
Death,2020,Place of Residence,El Dorado,10 - 14 years,<11,06/10/2021
Death,2020,Place of Residence,El Dorado,15 - 19 years,<11,06/10/2021
Death,2020,Place of Residence,El Dorado,20 - 24 years,<11,06/10/2021
Death,2020,Place of Residence,El Dorado,25 - 29 years,13,06/10/2021
Death,2020,Place of Residence,El Dorado,30 - 34 years,24,06/10/2021
Death,2020,Place of Residence,El Dorado,35 - 39 years,21,06/10/2021
Death,2020,Place of Residence,El Dorado,40 - 44 years,19,06/10/2021
Death,2020,Place of Residence,El Dorado,45 - 49 years,18,06/10/2021
Death,2020,Place of Residence,El Dorado,50 - 54 years,39,06/10/2021
Death,2020,Place of Residence,El Dorado,55 - 59 years,72,06/10/2021
Death,2020,Place of Residence,El Dorado,60 - 64 years,106,06/10/2021
Death,2020,Place of Residence,El Dorado,65 - 69 years,178,06/10/2021
