Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths,Last_Data_Refresh
Death,2019,Place of Residence,Sacramento,Less than 1 year,Divorced,0,06/10/2021
Death,2019,Place of Residence,Sacramento,Less than 1 year,Never Married,101,06/10/2021
Death,2019,Place of Residence,Sacramento,Less than 1 year,Unknown,0,06/10/2021
Death,2019,Place of Residence,Sacramento,1 - 4 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,Sacramento,1 - 4 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,Sacramento,1 - 4 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,Sacramento,1 - 4 years,Never Married,17,06/10/2021
Death,2019,Place of Residence,Sacramento,1 - 4 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Sacramento,5 - 9 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,Sacramento,5 - 9 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,Sacramento,5 - 9 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,Sacramento,5 - 9 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,5 - 9 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Sacramento,10 - 14 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,Sacramento,10 - 14 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,Sacramento,10 - 14 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,Sacramento,10 - 14 years,Never Married,14,06/10/2021
Death,2019,Place of Residence,Sacramento,10 - 14 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Sacramento,15 - 19 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,Sacramento,15 - 19 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,Sacramento,15 - 19 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,Sacramento,15 - 19 years,Never Married,37,06/10/2021
Death,2019,Place of Residence,Sacramento,15 - 19 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Sacramento,20 - 24 years,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,Sacramento,20 - 24 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,Sacramento,20 - 24 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,20 - 24 years,Never Married,82,06/10/2021
Death,2019,Place of Residence,Sacramento,20 - 24 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Sacramento,25 - 29 years,Married (including SRDP),23,06/10/2021
Death,2019,Place of Residence,Sacramento,25 - 29 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,Sacramento,25 - 29 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,25 - 29 years,Never Married,98,06/10/2021
Death,2019,Place of Residence,Sacramento,25 - 29 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Sacramento,30 - 34 years,Married (including SRDP),41,06/10/2021
Death,2019,Place of Residence,Sacramento,30 - 34 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,30 - 34 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,30 - 34 years,Never Married,95,06/10/2021
Death,2019,Place of Residence,Sacramento,30 - 34 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Sacramento,35 - 39 years,Married (including SRDP),54,06/10/2021
Death,2019,Place of Residence,Sacramento,35 - 39 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,35 - 39 years,Divorced,25,06/10/2021
Death,2019,Place of Residence,Sacramento,35 - 39 years,Never Married,113,06/10/2021
Death,2019,Place of Residence,Sacramento,35 - 39 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Sacramento,40 - 44 years,Married (including SRDP),71,06/10/2021
Death,2019,Place of Residence,Sacramento,40 - 44 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,40 - 44 years,Divorced,35,06/10/2021
Death,2019,Place of Residence,Sacramento,40 - 44 years,Never Married,98,06/10/2021
Death,2019,Place of Residence,Sacramento,40 - 44 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,45 - 49 years,Married (including SRDP),112,06/10/2021
Death,2019,Place of Residence,Sacramento,45 - 49 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,45 - 49 years,Divorced,67,06/10/2021
Death,2019,Place of Residence,Sacramento,45 - 49 years,Never Married,101,06/10/2021
Death,2019,Place of Residence,Sacramento,45 - 49 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,50 - 54 years,Married (including SRDP),160,06/10/2021
Death,2019,Place of Residence,Sacramento,50 - 54 years,Widowed,17,06/10/2021
Death,2019,Place of Residence,Sacramento,50 - 54 years,Divorced,95,06/10/2021
Death,2019,Place of Residence,Sacramento,50 - 54 years,Never Married,143,06/10/2021
Death,2019,Place of Residence,Sacramento,50 - 54 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,55 - 59 years,Married (including SRDP),282,06/10/2021
Death,2019,Place of Residence,Sacramento,55 - 59 years,Widowed,40,06/10/2021
Death,2019,Place of Residence,Sacramento,55 - 59 years,Divorced,182,06/10/2021
Death,2019,Place of Residence,Sacramento,55 - 59 years,Never Married,180,06/10/2021
Death,2019,Place of Residence,Sacramento,55 - 59 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,60 - 64 years,Married (including SRDP),384,06/10/2021
Death,2019,Place of Residence,Sacramento,60 - 64 years,Widowed,73,06/10/2021
Death,2019,Place of Residence,Sacramento,60 - 64 years,Divorced,276,06/10/2021
Death,2019,Place of Residence,Sacramento,60 - 64 years,Never Married,213,06/10/2021
Death,2019,Place of Residence,Sacramento,60 - 64 years,Unknown,11,06/10/2021
Death,2019,Place of Residence,Sacramento,65 - 69 years,Married (including SRDP),434,06/10/2021
Death,2019,Place of Residence,Sacramento,65 - 69 years,Widowed,150,06/10/2021
Death,2019,Place of Residence,Sacramento,65 - 69 years,Divorced,335,06/10/2021
Death,2019,Place of Residence,Sacramento,65 - 69 years,Never Married,189,06/10/2021
Death,2019,Place of Residence,Sacramento,65 - 69 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,70 - 74 years,Married (including SRDP),528,06/10/2021
Death,2019,Place of Residence,Sacramento,70 - 74 years,Widowed,241,06/10/2021
Death,2019,Place of Residence,Sacramento,70 - 74 years,Divorced,341,06/10/2021
Death,2019,Place of Residence,Sacramento,70 - 74 years,Never Married,100,06/10/2021
Death,2019,Place of Residence,Sacramento,70 - 74 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,75 - 79 years,Married (including SRDP),567,06/10/2021
Death,2019,Place of Residence,Sacramento,75 - 79 years,Widowed,302,06/10/2021
Death,2019,Place of Residence,Sacramento,75 - 79 years,Divorced,284,06/10/2021
Death,2019,Place of Residence,Sacramento,75 - 79 years,Never Married,90,06/10/2021
Death,2019,Place of Residence,Sacramento,75 - 79 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,80 - 84 years,Married (including SRDP),596,06/10/2021
Death,2019,Place of Residence,Sacramento,80 - 84 years,Widowed,517,06/10/2021
Death,2019,Place of Residence,Sacramento,80 - 84 years,Divorced,268,06/10/2021
Death,2019,Place of Residence,Sacramento,80 - 84 years,Never Married,55,06/10/2021
Death,2019,Place of Residence,Sacramento,80 - 84 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,85 - 89 years,Married (including SRDP),476,06/10/2021
Death,2019,Place of Residence,Sacramento,85 - 89 years,Widowed,785,06/10/2021
Death,2019,Place of Residence,Sacramento,85 - 89 years,Divorced,197,06/10/2021
Death,2019,Place of Residence,Sacramento,85 - 89 years,Never Married,42,06/10/2021
Death,2019,Place of Residence,Sacramento,85 - 89 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,90 - 94 years,Married (including SRDP),295,06/10/2021
Death,2019,Place of Residence,Sacramento,90 - 94 years,Widowed,834,06/10/2021
Death,2019,Place of Residence,Sacramento,90 - 94 years,Divorced,136,06/10/2021
Death,2019,Place of Residence,Sacramento,90 - 94 years,Never Married,29,06/10/2021
Death,2019,Place of Residence,Sacramento,90 - 94 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,Sacramento,95 - 99 years,Married (including SRDP),79,06/10/2021
Death,2019,Place of Residence,Sacramento,95 - 99 years,Widowed,531,06/10/2021
Death,2019,Place of Residence,Sacramento,95 - 99 years,Divorced,44,06/10/2021
Death,2019,Place of Residence,Sacramento,95 - 99 years,Never Married,13,06/10/2021
Death,2019,Place of Residence,Sacramento,95 - 99 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,100 years and over,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,Sacramento,100 years and over,Widowed,112,06/10/2021
Death,2019,Place of Residence,Sacramento,100 years and over,Divorced,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,100 years and over,Never Married,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,100 years and over,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,Less than 1 year,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Benito,Less than 1 year,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,Less than 1 year,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Benito,Less than 1 year,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,Less than 1 year,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,1 - 4 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Benito,1 - 4 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,1 - 4 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Benito,1 - 4 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,1 - 4 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,5 - 9 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Benito,5 - 9 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,5 - 9 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Benito,5 - 9 years,Never Married,0,06/10/2021
Death,2019,Place of Residence,San Benito,5 - 9 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,10 - 14 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Benito,10 - 14 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,10 - 14 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Benito,10 - 14 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,10 - 14 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,15 - 19 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Benito,15 - 19 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,15 - 19 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Benito,15 - 19 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,15 - 19 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,20 - 24 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Benito,20 - 24 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,20 - 24 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Benito,20 - 24 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,20 - 24 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,25 - 29 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Benito,25 - 29 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,25 - 29 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Benito,25 - 29 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,25 - 29 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,30 - 34 years,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,San Benito,30 - 34 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,30 - 34 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Benito,30 - 34 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,30 - 34 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,35 - 39 years,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,San Benito,35 - 39 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,35 - 39 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,35 - 39 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,35 - 39 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,40 - 44 years,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,San Benito,40 - 44 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,40 - 44 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,40 - 44 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,40 - 44 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,45 - 49 years,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,San Benito,45 - 49 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Benito,45 - 49 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Benito,45 - 49 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,45 - 49 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,50 - 54 years,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,San Benito,50 - 54 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Benito,50 - 54 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,50 - 54 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,50 - 54 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,San Benito,55 - 59 years,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,San Benito,55 - 59 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Benito,55 - 59 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,55 - 59 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,55 - 59 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,San Benito,60 - 64 years,Married (including SRDP),16,06/10/2021
Death,2019,Place of Residence,San Benito,60 - 64 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Benito,60 - 64 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,60 - 64 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,60 - 64 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,65 - 69 years,Married (including SRDP),18,06/10/2021
Death,2019,Place of Residence,San Benito,65 - 69 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Benito,65 - 69 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,65 - 69 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,65 - 69 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,70 - 74 years,Married (including SRDP),24,06/10/2021
Death,2019,Place of Residence,San Benito,70 - 74 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Benito,70 - 74 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,70 - 74 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,70 - 74 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,75 - 79 years,Married (including SRDP),20,06/10/2021
Death,2019,Place of Residence,San Benito,75 - 79 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Benito,75 - 79 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,75 - 79 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,75 - 79 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,80 - 84 years,Married (including SRDP),18,06/10/2021
Death,2019,Place of Residence,San Benito,80 - 84 years,Widowed,15,06/10/2021
Death,2019,Place of Residence,San Benito,80 - 84 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,80 - 84 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,80 - 84 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,85 - 89 years,Married (including SRDP),17,06/10/2021
Death,2019,Place of Residence,San Benito,85 - 89 years,Widowed,25,06/10/2021
Death,2019,Place of Residence,San Benito,85 - 89 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,85 - 89 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,85 - 89 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,90 - 94 years,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,San Benito,90 - 94 years,Widowed,24,06/10/2021
Death,2019,Place of Residence,San Benito,90 - 94 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,90 - 94 years,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Benito,90 - 94 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,95 - 99 years,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,San Benito,95 - 99 years,Widowed,19,06/10/2021
Death,2019,Place of Residence,San Benito,95 - 99 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,95 - 99 years,Never Married,0,06/10/2021
Death,2019,Place of Residence,San Benito,95 - 99 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Benito,100 years and over,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Benito,100 years and over,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Benito,100 years and over,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Benito,100 years and over,Never Married,0,06/10/2021
Death,2019,Place of Residence,San Benito,100 years and over,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,Less than 1 year,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Bernardino,Less than 1 year,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,Less than 1 year,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,Less than 1 year,Never Married,157,06/10/2021
Death,2019,Place of Residence,San Bernardino,Less than 1 year,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,1 - 4 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Bernardino,1 - 4 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,1 - 4 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,1 - 4 years,Never Married,16,06/10/2021
Death,2019,Place of Residence,San Bernardino,1 - 4 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,5 - 9 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Bernardino,5 - 9 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,5 - 9 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,5 - 9 years,Never Married,15,06/10/2021
Death,2019,Place of Residence,San Bernardino,5 - 9 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,10 - 14 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Bernardino,10 - 14 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,10 - 14 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,10 - 14 years,Never Married,23,06/10/2021
Death,2019,Place of Residence,San Bernardino,10 - 14 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,15 - 19 years,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Bernardino,15 - 19 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,15 - 19 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,15 - 19 years,Never Married,83,06/10/2021
Death,2019,Place of Residence,San Bernardino,15 - 19 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,20 - 24 years,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,20 - 24 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,20 - 24 years,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,20 - 24 years,Never Married,161,06/10/2021
Death,2019,Place of Residence,San Bernardino,20 - 24 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,25 - 29 years,Married (including SRDP),39,06/10/2021
Death,2019,Place of Residence,San Bernardino,25 - 29 years,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,25 - 29 years,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,25 - 29 years,Never Married,184,06/10/2021
Death,2019,Place of Residence,San Bernardino,25 - 29 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,30 - 34 years,Married (including SRDP),51,06/10/2021
Death,2019,Place of Residence,San Bernardino,30 - 34 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,30 - 34 years,Divorced,12,06/10/2021
Death,2019,Place of Residence,San Bernardino,30 - 34 years,Never Married,160,06/10/2021
Death,2019,Place of Residence,San Bernardino,30 - 34 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,35 - 39 years,Married (including SRDP),74,06/10/2021
Death,2019,Place of Residence,San Bernardino,35 - 39 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,35 - 39 years,Divorced,41,06/10/2021
Death,2019,Place of Residence,San Bernardino,35 - 39 years,Never Married,135,06/10/2021
Death,2019,Place of Residence,San Bernardino,35 - 39 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,40 - 44 years,Married (including SRDP),116,06/10/2021
Death,2019,Place of Residence,San Bernardino,40 - 44 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,40 - 44 years,Divorced,50,06/10/2021
Death,2019,Place of Residence,San Bernardino,40 - 44 years,Never Married,117,06/10/2021
Death,2019,Place of Residence,San Bernardino,40 - 44 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,45 - 49 years,Married (including SRDP),187,06/10/2021
Death,2019,Place of Residence,San Bernardino,45 - 49 years,Widowed,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,45 - 49 years,Divorced,77,06/10/2021
Death,2019,Place of Residence,San Bernardino,45 - 49 years,Never Married,144,06/10/2021
Death,2019,Place of Residence,San Bernardino,45 - 49 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,50 - 54 years,Married (including SRDP),268,06/10/2021
Death,2019,Place of Residence,San Bernardino,50 - 54 years,Widowed,18,06/10/2021
Death,2019,Place of Residence,San Bernardino,50 - 54 years,Divorced,157,06/10/2021
Death,2019,Place of Residence,San Bernardino,50 - 54 years,Never Married,173,06/10/2021
Death,2019,Place of Residence,San Bernardino,50 - 54 years,Unknown,12,06/10/2021
Death,2019,Place of Residence,San Bernardino,55 - 59 years,Married (including SRDP),411,06/10/2021
Death,2019,Place of Residence,San Bernardino,55 - 59 years,Widowed,71,06/10/2021
Death,2019,Place of Residence,San Bernardino,55 - 59 years,Divorced,282,06/10/2021
Death,2019,Place of Residence,San Bernardino,55 - 59 years,Never Married,238,06/10/2021
Death,2019,Place of Residence,San Bernardino,55 - 59 years,Unknown,17,06/10/2021
Death,2019,Place of Residence,San Bernardino,60 - 64 years,Married (including SRDP),581,06/10/2021
Death,2019,Place of Residence,San Bernardino,60 - 64 years,Widowed,109,06/10/2021
Death,2019,Place of Residence,San Bernardino,60 - 64 years,Divorced,391,06/10/2021
Death,2019,Place of Residence,San Bernardino,60 - 64 years,Never Married,253,06/10/2021
Death,2019,Place of Residence,San Bernardino,60 - 64 years,Unknown,24,06/10/2021
Death,2019,Place of Residence,San Bernardino,65 - 69 years,Married (including SRDP),639,06/10/2021
Death,2019,Place of Residence,San Bernardino,65 - 69 years,Widowed,172,06/10/2021
Death,2019,Place of Residence,San Bernardino,65 - 69 years,Divorced,397,06/10/2021
Death,2019,Place of Residence,San Bernardino,65 - 69 years,Never Married,176,06/10/2021
Death,2019,Place of Residence,San Bernardino,65 - 69 years,Unknown,34,06/10/2021
Death,2019,Place of Residence,San Bernardino,70 - 74 years,Married (including SRDP),771,06/10/2021
Death,2019,Place of Residence,San Bernardino,70 - 74 years,Widowed,315,06/10/2021
Death,2019,Place of Residence,San Bernardino,70 - 74 years,Divorced,370,06/10/2021
Death,2019,Place of Residence,San Bernardino,70 - 74 years,Never Married,128,06/10/2021
Death,2019,Place of Residence,San Bernardino,70 - 74 years,Unknown,27,06/10/2021
Death,2019,Place of Residence,San Bernardino,75 - 79 years,Married (including SRDP),683,06/10/2021
Death,2019,Place of Residence,San Bernardino,75 - 79 years,Widowed,439,06/10/2021
Death,2019,Place of Residence,San Bernardino,75 - 79 years,Divorced,332,06/10/2021
Death,2019,Place of Residence,San Bernardino,75 - 79 years,Never Married,73,06/10/2021
Death,2019,Place of Residence,San Bernardino,75 - 79 years,Unknown,16,06/10/2021
Death,2019,Place of Residence,San Bernardino,80 - 84 years,Married (including SRDP),675,06/10/2021
Death,2019,Place of Residence,San Bernardino,80 - 84 years,Widowed,717,06/10/2021
Death,2019,Place of Residence,San Bernardino,80 - 84 years,Divorced,281,06/10/2021
Death,2019,Place of Residence,San Bernardino,80 - 84 years,Never Married,71,06/10/2021
Death,2019,Place of Residence,San Bernardino,80 - 84 years,Unknown,19,06/10/2021
Death,2019,Place of Residence,San Bernardino,85 - 89 years,Married (including SRDP),498,06/10/2021
Death,2019,Place of Residence,San Bernardino,85 - 89 years,Widowed,885,06/10/2021
Death,2019,Place of Residence,San Bernardino,85 - 89 years,Divorced,207,06/10/2021
Death,2019,Place of Residence,San Bernardino,85 - 89 years,Never Married,60,06/10/2021
Death,2019,Place of Residence,San Bernardino,85 - 89 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,90 - 94 years,Married (including SRDP),255,06/10/2021
Death,2019,Place of Residence,San Bernardino,90 - 94 years,Widowed,858,06/10/2021
Death,2019,Place of Residence,San Bernardino,90 - 94 years,Divorced,133,06/10/2021
Death,2019,Place of Residence,San Bernardino,90 - 94 years,Never Married,39,06/10/2021
Death,2019,Place of Residence,San Bernardino,90 - 94 years,Unknown,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,95 - 99 years,Married (including SRDP),75,06/10/2021
Death,2019,Place of Residence,San Bernardino,95 - 99 years,Widowed,415,06/10/2021
Death,2019,Place of Residence,San Bernardino,95 - 99 years,Divorced,39,06/10/2021
Death,2019,Place of Residence,San Bernardino,95 - 99 years,Never Married,16,06/10/2021
Death,2019,Place of Residence,San Bernardino,95 - 99 years,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,100 years and over,Married (including SRDP),<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,100 years and over,Widowed,83,06/10/2021
Death,2019,Place of Residence,San Bernardino,100 years and over,Divorced,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,100 years and over,Never Married,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,100 years and over,Unknown,0,06/10/2021
Death,2019,Place of Residence,San Diego,Less than 1 year,Married (including SRDP),0,06/10/2021
Death,2019,Place of Residence,San Diego,Less than 1 year,Widowed,0,06/10/2021
Death,2019,Place of Residence,San Diego,Less than 1 year,Divorced,0,06/10/2021
Death,2019,Place of Residence,San Diego,Less than 1 year,Never Married,141,06/10/2021
