Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Alameda,60 - 64 years,Widowed,16,06/10/2021
Death,2021,Place of Residence,Alameda,60 - 64 years,Divorced,69,06/10/2021
Death,2021,Place of Residence,Alameda,60 - 64 years,Never Married,78,06/10/2021
Death,2021,Place of Residence,Alameda,60 - 64 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,Married (including SRDP),140,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,Widowed,41,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,Divorced,62,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,Never Married,90,06/10/2021
Death,2021,Place of Residence,Alameda,65 - 69 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,Married (including SRDP),180,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,Widowed,66,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,Divorced,107,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,Never Married,75,06/10/2021
Death,2021,Place of Residence,Alameda,70 - 74 years,Unknown,16,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,Married (including SRDP),195,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,Widowed,110,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,Divorced,114,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,Never Married,53,06/10/2021
Death,2021,Place of Residence,Alameda,75 - 79 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,Married (including SRDP),204,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,Widowed,187,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,Divorced,78,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,Never Married,34,06/10/2021
Death,2021,Place of Residence,Alameda,80 - 84 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,Married (including SRDP),172,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,Widowed,250,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,Divorced,66,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,Never Married,21,06/10/2021
Death,2021,Place of Residence,Alameda,85 - 89 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,90 - 94 years,Married (including SRDP),128,06/10/2021
Death,2021,Place of Residence,Alameda,90 - 94 years,Widowed,314,06/10/2021
Death,2021,Place of Residence,Alameda,90 - 94 years,Divorced,47,06/10/2021
Death,2021,Place of Residence,Alameda,90 - 94 years,Never Married,29,06/10/2021
Death,2021,Place of Residence,Alameda,90 - 94 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,Married (including SRDP),28,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,Widowed,205,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,Divorced,21,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,Never Married,11,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,Unknown,<11,06/10/2021
