Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Sex,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Alpine,60 - 64 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,Female,0,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,Male,0,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,Male,0,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,Female,0,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,Female,0,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,Male,0,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,Male,0,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,Female,0,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,Male,0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,Female,0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,Male,0,06/10/2021
Death,2021,Place of Residence,Alpine,100 years and over,Female,0,06/10/2021
Death,2021,Place of Residence,Alpine,100 years and over,Male,0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,Female,0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,Male,0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,Female,0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,Male,0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,Female,0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,Male,0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,Female,0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,Male,0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,Female,0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,Male,0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,Female,0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,Male,0,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,Female,0,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,Female,0,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,Male,0,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Amador,55 - 59 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,55 - 59 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,Male,12,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,Male,17,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,Male,16,06/10/2021
Death,2021,Place of Residence,Amador,80 - 84 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,80 - 84 years,Male,17,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,Female,12,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,Female,<11,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,Male,0,06/10/2021
