Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Sex,Total_Deaths,Last_Data_Refresh
Death,2019,Place of Residence,Sacramento,10 - 14 years,Female,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,10 - 14 years,Male,<11,06/10/2021
Death,2019,Place of Residence,Sacramento,15 - 19 years,Female,11,06/10/2021
Death,2019,Place of Residence,Sacramento,15 - 19 years,Male,26,06/10/2021
Death,2019,Place of Residence,Sacramento,20 - 24 years,Female,24,06/10/2021
Death,2019,Place of Residence,Sacramento,20 - 24 years,Male,63,06/10/2021
Death,2019,Place of Residence,Sacramento,25 - 29 years,Female,27,06/10/2021
Death,2019,Place of Residence,Sacramento,25 - 29 years,Male,95,06/10/2021
Death,2019,Place of Residence,Sacramento,30 - 34 years,Female,53,06/10/2021
Death,2019,Place of Residence,Sacramento,30 - 34 years,Male,95,06/10/2021
Death,2019,Place of Residence,Sacramento,35 - 39 years,Female,69,06/10/2021
Death,2019,Place of Residence,Sacramento,35 - 39 years,Male,126,06/10/2021
Death,2019,Place of Residence,Sacramento,40 - 44 years,Female,72,06/10/2021
Death,2019,Place of Residence,Sacramento,40 - 44 years,Male,141,06/10/2021
Death,2019,Place of Residence,Sacramento,45 - 49 years,Female,121,06/10/2021
Death,2019,Place of Residence,Sacramento,45 - 49 years,Male,168,06/10/2021
Death,2019,Place of Residence,Sacramento,50 - 54 years,Female,172,06/10/2021
Death,2019,Place of Residence,Sacramento,50 - 54 years,Male,247,06/10/2021
Death,2019,Place of Residence,Sacramento,55 - 59 years,Female,264,06/10/2021
Death,2019,Place of Residence,Sacramento,55 - 59 years,Male,423,06/10/2021
Death,2019,Place of Residence,Sacramento,60 - 64 years,Female,391,06/10/2021
Death,2019,Place of Residence,Sacramento,60 - 64 years,Male,566,06/10/2021
Death,2019,Place of Residence,Sacramento,65 - 69 years,Female,472,06/10/2021
Death,2019,Place of Residence,Sacramento,65 - 69 years,Male,639,06/10/2021
Death,2019,Place of Residence,Sacramento,70 - 74 years,Female,583,06/10/2021
Death,2019,Place of Residence,Sacramento,70 - 74 years,Male,637,06/10/2021
Death,2019,Place of Residence,Sacramento,75 - 79 years,Female,559,06/10/2021
Death,2019,Place of Residence,Sacramento,75 - 79 years,Male,691,06/10/2021
Death,2019,Place of Residence,Sacramento,80 - 84 years,Female,755,06/10/2021
Death,2019,Place of Residence,Sacramento,80 - 84 years,Male,684,06/10/2021
Death,2019,Place of Residence,Sacramento,85 - 89 years,Female,819,06/10/2021
Death,2019,Place of Residence,Sacramento,85 - 89 years,Male,684,06/10/2021
Death,2019,Place of Residence,Sacramento,90 - 94 years,Female,781,06/10/2021
Death,2019,Place of Residence,Sacramento,90 - 94 years,Male,513,06/10/2021
Death,2019,Place of Residence,Sacramento,95 - 99 years,Female,459,06/10/2021
Death,2019,Place of Residence,Sacramento,95 - 99 years,Male,209,06/10/2021
Death,2019,Place of Residence,Sacramento,100 years and over,Female,108,06/10/2021
Death,2019,Place of Residence,Sacramento,100 years and over,Male,22,06/10/2021
Death,2019,Place of Residence,San Benito,Less than 1 year,Female,0,06/10/2021
Death,2019,Place of Residence,San Benito,Less than 1 year,Male,<11,06/10/2021
Death,2019,Place of Residence,San Benito,1 - 4 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Benito,1 - 4 years,Male,0,06/10/2021
Death,2019,Place of Residence,San Benito,5 - 9 years,Female,0,06/10/2021
Death,2019,Place of Residence,San Benito,5 - 9 years,Male,0,06/10/2021
Death,2019,Place of Residence,San Benito,10 - 14 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Benito,10 - 14 years,Male,0,06/10/2021
Death,2019,Place of Residence,San Benito,15 - 19 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Benito,15 - 19 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Benito,20 - 24 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Benito,20 - 24 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Benito,25 - 29 years,Female,0,06/10/2021
Death,2019,Place of Residence,San Benito,25 - 29 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Benito,30 - 34 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Benito,30 - 34 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Benito,35 - 39 years,Female,0,06/10/2021
Death,2019,Place of Residence,San Benito,35 - 39 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Benito,40 - 44 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Benito,40 - 44 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Benito,45 - 49 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Benito,45 - 49 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Benito,50 - 54 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Benito,50 - 54 years,Male,15,06/10/2021
Death,2019,Place of Residence,San Benito,55 - 59 years,Female,12,06/10/2021
Death,2019,Place of Residence,San Benito,55 - 59 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Benito,60 - 64 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Benito,60 - 64 years,Male,18,06/10/2021
Death,2019,Place of Residence,San Benito,65 - 69 years,Female,14,06/10/2021
Death,2019,Place of Residence,San Benito,65 - 69 years,Male,16,06/10/2021
Death,2019,Place of Residence,San Benito,70 - 74 years,Female,11,06/10/2021
Death,2019,Place of Residence,San Benito,70 - 74 years,Male,29,06/10/2021
Death,2019,Place of Residence,San Benito,75 - 79 years,Female,18,06/10/2021
Death,2019,Place of Residence,San Benito,75 - 79 years,Male,22,06/10/2021
Death,2019,Place of Residence,San Benito,80 - 84 years,Female,15,06/10/2021
Death,2019,Place of Residence,San Benito,80 - 84 years,Male,24,06/10/2021
Death,2019,Place of Residence,San Benito,85 - 89 years,Female,30,06/10/2021
Death,2019,Place of Residence,San Benito,85 - 89 years,Male,23,06/10/2021
Death,2019,Place of Residence,San Benito,90 - 94 years,Female,22,06/10/2021
Death,2019,Place of Residence,San Benito,90 - 94 years,Male,15,06/10/2021
Death,2019,Place of Residence,San Benito,95 - 99 years,Female,13,06/10/2021
Death,2019,Place of Residence,San Benito,95 - 99 years,Male,15,06/10/2021
Death,2019,Place of Residence,San Benito,100 years and over,Female,<11,06/10/2021
Death,2019,Place of Residence,San Benito,100 years and over,Male,0,06/10/2021
Death,2019,Place of Residence,San Bernardino,Less than 1 year,Female,78,06/10/2021
Death,2019,Place of Residence,San Bernardino,Less than 1 year,Male,79,06/10/2021
Death,2019,Place of Residence,San Bernardino,1 - 4 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,1 - 4 years,Male,13,06/10/2021
Death,2019,Place of Residence,San Bernardino,5 - 9 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,5 - 9 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,10 - 14 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Bernardino,10 - 14 years,Male,14,06/10/2021
Death,2019,Place of Residence,San Bernardino,15 - 19 years,Female,28,06/10/2021
Death,2019,Place of Residence,San Bernardino,15 - 19 years,Male,55,06/10/2021
Death,2019,Place of Residence,San Bernardino,20 - 24 years,Female,46,06/10/2021
Death,2019,Place of Residence,San Bernardino,20 - 24 years,Male,122,06/10/2021
Death,2019,Place of Residence,San Bernardino,25 - 29 years,Female,48,06/10/2021
Death,2019,Place of Residence,San Bernardino,25 - 29 years,Male,180,06/10/2021
Death,2019,Place of Residence,San Bernardino,30 - 34 years,Female,64,06/10/2021
Death,2019,Place of Residence,San Bernardino,30 - 34 years,Male,165,06/10/2021
Death,2019,Place of Residence,San Bernardino,35 - 39 years,Female,83,06/10/2021
Death,2019,Place of Residence,San Bernardino,35 - 39 years,Male,170,06/10/2021
Death,2019,Place of Residence,San Bernardino,40 - 44 years,Female,104,06/10/2021
Death,2019,Place of Residence,San Bernardino,40 - 44 years,Male,186,06/10/2021
Death,2019,Place of Residence,San Bernardino,45 - 49 years,Female,138,06/10/2021
Death,2019,Place of Residence,San Bernardino,45 - 49 years,Male,281,06/10/2021
Death,2019,Place of Residence,San Bernardino,50 - 54 years,Female,243,06/10/2021
Death,2019,Place of Residence,San Bernardino,50 - 54 years,Male,385,06/10/2021
Death,2019,Place of Residence,San Bernardino,55 - 59 years,Female,398,06/10/2021
Death,2019,Place of Residence,San Bernardino,55 - 59 years,Male,621,06/10/2021
Death,2019,Place of Residence,San Bernardino,60 - 64 years,Female,572,06/10/2021
Death,2019,Place of Residence,San Bernardino,60 - 64 years,Male,786,06/10/2021
Death,2019,Place of Residence,San Bernardino,65 - 69 years,Female,549,06/10/2021
Death,2019,Place of Residence,San Bernardino,65 - 69 years,Male,869,06/10/2021
Death,2019,Place of Residence,San Bernardino,70 - 74 years,Female,679,06/10/2021
Death,2019,Place of Residence,San Bernardino,70 - 74 years,Male,932,06/10/2021
Death,2019,Place of Residence,San Bernardino,75 - 79 years,Female,732,06/10/2021
Death,2019,Place of Residence,San Bernardino,75 - 79 years,Male,811,06/10/2021
Death,2019,Place of Residence,San Bernardino,80 - 84 years,Female,913,06/10/2021
Death,2019,Place of Residence,San Bernardino,80 - 84 years,Male,850,06/10/2021
Death,2019,Place of Residence,San Bernardino,85 - 89 years,Female,906,06/10/2021
Death,2019,Place of Residence,San Bernardino,85 - 89 years,Male,751,06/10/2021
Death,2019,Place of Residence,San Bernardino,90 - 94 years,Female,797,06/10/2021
Death,2019,Place of Residence,San Bernardino,90 - 94 years,Male,493,06/10/2021
Death,2019,Place of Residence,San Bernardino,95 - 99 years,Female,387,06/10/2021
Death,2019,Place of Residence,San Bernardino,95 - 99 years,Male,158,06/10/2021
Death,2019,Place of Residence,San Bernardino,100 years and over,Female,80,06/10/2021
Death,2019,Place of Residence,San Bernardino,100 years and over,Male,23,06/10/2021
Death,2019,Place of Residence,San Diego,Less than 1 year,Female,65,06/10/2021
Death,2019,Place of Residence,San Diego,Less than 1 year,Male,77,06/10/2021
Death,2019,Place of Residence,San Diego,1 - 4 years,Female,14,06/10/2021
Death,2019,Place of Residence,San Diego,1 - 4 years,Male,15,06/10/2021
Death,2019,Place of Residence,San Diego,5 - 9 years,Female,12,06/10/2021
Death,2019,Place of Residence,San Diego,5 - 9 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Diego,10 - 14 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Diego,10 - 14 years,Male,13,06/10/2021
Death,2019,Place of Residence,San Diego,15 - 19 years,Female,13,06/10/2021
Death,2019,Place of Residence,San Diego,15 - 19 years,Male,46,06/10/2021
Death,2019,Place of Residence,San Diego,20 - 24 years,Female,30,06/10/2021
Death,2019,Place of Residence,San Diego,20 - 24 years,Male,124,06/10/2021
Death,2019,Place of Residence,San Diego,25 - 29 years,Female,59,06/10/2021
Death,2019,Place of Residence,San Diego,25 - 29 years,Male,145,06/10/2021
Death,2019,Place of Residence,San Diego,30 - 34 years,Female,69,06/10/2021
Death,2019,Place of Residence,San Diego,30 - 34 years,Male,172,06/10/2021
Death,2019,Place of Residence,San Diego,35 - 39 years,Female,80,06/10/2021
Death,2019,Place of Residence,San Diego,35 - 39 years,Male,177,06/10/2021
Death,2019,Place of Residence,San Diego,40 - 44 years,Female,118,06/10/2021
Death,2019,Place of Residence,San Diego,40 - 44 years,Male,202,06/10/2021
Death,2019,Place of Residence,San Diego,45 - 49 years,Female,147,06/10/2021
Death,2019,Place of Residence,San Diego,45 - 49 years,Male,280,06/10/2021
Death,2019,Place of Residence,San Diego,50 - 54 years,Female,240,06/10/2021
Death,2019,Place of Residence,San Diego,50 - 54 years,Male,425,06/10/2021
Death,2019,Place of Residence,San Diego,55 - 59 years,Female,391,06/10/2021
Death,2019,Place of Residence,San Diego,55 - 59 years,Male,697,06/10/2021
Death,2019,Place of Residence,San Diego,60 - 64 years,Female,570,06/10/2021
Death,2019,Place of Residence,San Diego,60 - 64 years,Male,923,06/10/2021
Death,2019,Place of Residence,San Diego,65 - 69 years,Female,707,06/10/2021
Death,2019,Place of Residence,San Diego,65 - 69 years,Male,1043,06/10/2021
Death,2019,Place of Residence,San Diego,70 - 74 years,Female,908,06/10/2021
Death,2019,Place of Residence,San Diego,70 - 74 years,Male,1247,06/10/2021
Death,2019,Place of Residence,San Diego,75 - 79 years,Female,1055,06/10/2021
Death,2019,Place of Residence,San Diego,75 - 79 years,Male,1296,06/10/2021
Death,2019,Place of Residence,San Diego,80 - 84 years,Female,1329,06/10/2021
Death,2019,Place of Residence,San Diego,80 - 84 years,Male,1375,06/10/2021
Death,2019,Place of Residence,San Diego,85 - 89 years,Female,1707,06/10/2021
Death,2019,Place of Residence,San Diego,85 - 89 years,Male,1560,06/10/2021
Death,2019,Place of Residence,San Diego,90 - 94 years,Female,1820,06/10/2021
Death,2019,Place of Residence,San Diego,90 - 94 years,Male,1175,06/10/2021
Death,2019,Place of Residence,San Diego,95 - 99 years,Female,989,06/10/2021
Death,2019,Place of Residence,San Diego,95 - 99 years,Male,472,06/10/2021
Death,2019,Place of Residence,San Diego,100 years and over,Female,267,06/10/2021
Death,2019,Place of Residence,San Diego,100 years and over,Male,84,06/10/2021
Death,2019,Place of Residence,San Francisco,Less than 1 year,Female,<11,06/10/2021
Death,2019,Place of Residence,San Francisco,Less than 1 year,Male,18,06/10/2021
Death,2019,Place of Residence,San Francisco,1 - 4 years,Female,0,06/10/2021
Death,2019,Place of Residence,San Francisco,1 - 4 years,Male,0,06/10/2021
Death,2019,Place of Residence,San Francisco,5 - 9 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Francisco,5 - 9 years,Male,0,06/10/2021
Death,2019,Place of Residence,San Francisco,10 - 14 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Francisco,10 - 14 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Francisco,15 - 19 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Francisco,15 - 19 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Francisco,20 - 24 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Francisco,20 - 24 years,Male,17,06/10/2021
Death,2019,Place of Residence,San Francisco,25 - 29 years,Female,13,06/10/2021
Death,2019,Place of Residence,San Francisco,25 - 29 years,Male,30,06/10/2021
Death,2019,Place of Residence,San Francisco,30 - 34 years,Female,25,06/10/2021
Death,2019,Place of Residence,San Francisco,30 - 34 years,Male,49,06/10/2021
Death,2019,Place of Residence,San Francisco,35 - 39 years,Female,18,06/10/2021
Death,2019,Place of Residence,San Francisco,35 - 39 years,Male,68,06/10/2021
Death,2019,Place of Residence,San Francisco,40 - 44 years,Female,28,06/10/2021
Death,2019,Place of Residence,San Francisco,40 - 44 years,Male,68,06/10/2021
Death,2019,Place of Residence,San Francisco,45 - 49 years,Female,33,06/10/2021
Death,2019,Place of Residence,San Francisco,45 - 49 years,Male,103,06/10/2021
Death,2019,Place of Residence,San Francisco,50 - 54 years,Female,82,06/10/2021
Death,2019,Place of Residence,San Francisco,50 - 54 years,Male,146,06/10/2021
Death,2019,Place of Residence,San Francisco,55 - 59 years,Female,94,06/10/2021
Death,2019,Place of Residence,San Francisco,55 - 59 years,Male,201,06/10/2021
Death,2019,Place of Residence,San Francisco,60 - 64 years,Female,122,06/10/2021
Death,2019,Place of Residence,San Francisco,60 - 64 years,Male,251,06/10/2021
Death,2019,Place of Residence,San Francisco,65 - 69 years,Female,166,06/10/2021
Death,2019,Place of Residence,San Francisco,65 - 69 years,Male,299,06/10/2021
Death,2019,Place of Residence,San Francisco,70 - 74 years,Female,193,06/10/2021
Death,2019,Place of Residence,San Francisco,70 - 74 years,Male,306,06/10/2021
Death,2019,Place of Residence,San Francisco,75 - 79 years,Female,211,06/10/2021
Death,2019,Place of Residence,San Francisco,75 - 79 years,Male,290,06/10/2021
Death,2019,Place of Residence,San Francisco,80 - 84 years,Female,325,06/10/2021
Death,2019,Place of Residence,San Francisco,80 - 84 years,Male,356,06/10/2021
Death,2019,Place of Residence,San Francisco,85 - 89 years,Female,423,06/10/2021
Death,2019,Place of Residence,San Francisco,85 - 89 years,Male,462,06/10/2021
Death,2019,Place of Residence,San Francisco,90 - 94 years,Female,544,06/10/2021
Death,2019,Place of Residence,San Francisco,90 - 94 years,Male,315,06/10/2021
Death,2019,Place of Residence,San Francisco,95 - 99 years,Female,306,06/10/2021
Death,2019,Place of Residence,San Francisco,95 - 99 years,Male,150,06/10/2021
Death,2019,Place of Residence,San Francisco,100 years and over,Female,96,06/10/2021
Death,2019,Place of Residence,San Francisco,100 years and over,Male,18,06/10/2021
Death,2019,Place of Residence,San Joaquin,Less than 1 year,Female,26,06/10/2021
Death,2019,Place of Residence,San Joaquin,Less than 1 year,Male,41,06/10/2021
Death,2019,Place of Residence,San Joaquin,1 - 4 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Joaquin,1 - 4 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Joaquin,5 - 9 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Joaquin,5 - 9 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Joaquin,10 - 14 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Joaquin,10 - 14 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Joaquin,15 - 19 years,Female,11,06/10/2021
Death,2019,Place of Residence,San Joaquin,15 - 19 years,Male,22,06/10/2021
Death,2019,Place of Residence,San Joaquin,20 - 24 years,Female,13,06/10/2021
Death,2019,Place of Residence,San Joaquin,20 - 24 years,Male,42,06/10/2021
Death,2019,Place of Residence,San Joaquin,25 - 29 years,Female,20,06/10/2021
Death,2019,Place of Residence,San Joaquin,25 - 29 years,Male,40,06/10/2021
Death,2019,Place of Residence,San Joaquin,30 - 34 years,Female,11,06/10/2021
Death,2019,Place of Residence,San Joaquin,30 - 34 years,Male,51,06/10/2021
Death,2019,Place of Residence,San Joaquin,35 - 39 years,Female,32,06/10/2021
Death,2019,Place of Residence,San Joaquin,35 - 39 years,Male,92,06/10/2021
Death,2019,Place of Residence,San Joaquin,40 - 44 years,Female,43,06/10/2021
Death,2019,Place of Residence,San Joaquin,40 - 44 years,Male,71,06/10/2021
Death,2019,Place of Residence,San Joaquin,45 - 49 years,Female,55,06/10/2021
Death,2019,Place of Residence,San Joaquin,45 - 49 years,Male,101,06/10/2021
Death,2019,Place of Residence,San Joaquin,50 - 54 years,Female,92,06/10/2021
Death,2019,Place of Residence,San Joaquin,50 - 54 years,Male,142,06/10/2021
Death,2019,Place of Residence,San Joaquin,55 - 59 years,Female,128,06/10/2021
Death,2019,Place of Residence,San Joaquin,55 - 59 years,Male,223,06/10/2021
Death,2019,Place of Residence,San Joaquin,60 - 64 years,Female,168,06/10/2021
Death,2019,Place of Residence,San Joaquin,60 - 64 years,Male,278,06/10/2021
Death,2019,Place of Residence,San Joaquin,65 - 69 years,Female,229,06/10/2021
Death,2019,Place of Residence,San Joaquin,65 - 69 years,Male,307,06/10/2021
Death,2019,Place of Residence,San Joaquin,70 - 74 years,Female,257,06/10/2021
Death,2019,Place of Residence,San Joaquin,70 - 74 years,Male,360,06/10/2021
Death,2019,Place of Residence,San Joaquin,75 - 79 years,Female,284,06/10/2021
Death,2019,Place of Residence,San Joaquin,75 - 79 years,Male,366,06/10/2021
Death,2019,Place of Residence,San Joaquin,80 - 84 years,Female,314,06/10/2021
Death,2019,Place of Residence,San Joaquin,80 - 84 years,Male,308,06/10/2021
Death,2019,Place of Residence,San Joaquin,85 - 89 years,Female,342,06/10/2021
Death,2019,Place of Residence,San Joaquin,85 - 89 years,Male,309,06/10/2021
Death,2019,Place of Residence,San Joaquin,90 - 94 years,Female,367,06/10/2021
Death,2019,Place of Residence,San Joaquin,90 - 94 years,Male,175,06/10/2021
Death,2019,Place of Residence,San Joaquin,95 - 99 years,Female,194,06/10/2021
Death,2019,Place of Residence,San Joaquin,95 - 99 years,Male,98,06/10/2021
Death,2019,Place of Residence,San Joaquin,100 years and over,Female,41,06/10/2021
Death,2019,Place of Residence,San Joaquin,100 years and over,Male,16,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,Less than 1 year,Female,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,Less than 1 year,Male,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,1 - 4 years,Female,0,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,1 - 4 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,5 - 9 years,Female,0,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,5 - 9 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,10 - 14 years,Female,0,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,10 - 14 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,15 - 19 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,15 - 19 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,20 - 24 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,20 - 24 years,Male,11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,25 - 29 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,25 - 29 years,Male,16,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,30 - 34 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,30 - 34 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,35 - 39 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,35 - 39 years,Male,11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,40 - 44 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,40 - 44 years,Male,17,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,45 - 49 years,Female,15,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,45 - 49 years,Male,19,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,50 - 54 years,Female,23,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,50 - 54 years,Male,34,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,55 - 59 years,Female,30,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,55 - 59 years,Male,70,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,60 - 64 years,Female,60,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,60 - 64 years,Male,90,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,65 - 69 years,Female,68,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,65 - 69 years,Male,137,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,70 - 74 years,Female,79,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,70 - 74 years,Male,143,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,75 - 79 years,Female,104,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,75 - 79 years,Male,153,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,80 - 84 years,Female,154,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,80 - 84 years,Male,159,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,85 - 89 years,Female,199,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,85 - 89 years,Male,177,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,90 - 94 years,Female,201,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,90 - 94 years,Male,146,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,95 - 99 years,Female,132,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,95 - 99 years,Male,60,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,100 years and over,Female,26,06/10/2021
Death,2019,Place of Residence,San Luis Obispo,100 years and over,Male,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,Less than 1 year,Female,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,Less than 1 year,Male,21,06/10/2021
Death,2019,Place of Residence,San Mateo,1 - 4 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,1 - 4 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,5 - 9 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,5 - 9 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,10 - 14 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,10 - 14 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,15 - 19 years,Female,0,06/10/2021
Death,2019,Place of Residence,San Mateo,15 - 19 years,Male,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,20 - 24 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,20 - 24 years,Male,12,06/10/2021
Death,2019,Place of Residence,San Mateo,25 - 29 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,25 - 29 years,Male,23,06/10/2021
Death,2019,Place of Residence,San Mateo,30 - 34 years,Female,<11,06/10/2021
Death,2019,Place of Residence,San Mateo,30 - 34 years,Male,35,06/10/2021
Death,2019,Place of Residence,San Mateo,35 - 39 years,Female,15,06/10/2021
Death,2019,Place of Residence,San Mateo,35 - 39 years,Male,30,06/10/2021
Death,2019,Place of Residence,San Mateo,40 - 44 years,Female,16,06/10/2021
Death,2019,Place of Residence,San Mateo,40 - 44 years,Male,32,06/10/2021
Death,2019,Place of Residence,San Mateo,45 - 49 years,Female,19,06/10/2021
Death,2019,Place of Residence,San Mateo,45 - 49 years,Male,44,06/10/2021
Death,2019,Place of Residence,San Mateo,50 - 54 years,Female,46,06/10/2021
Death,2019,Place of Residence,San Mateo,50 - 54 years,Male,66,06/10/2021
Death,2019,Place of Residence,San Mateo,55 - 59 years,Female,75,06/10/2021
Death,2019,Place of Residence,San Mateo,55 - 59 years,Male,107,06/10/2021
Death,2019,Place of Residence,San Mateo,60 - 64 years,Female,95,06/10/2021
Death,2019,Place of Residence,San Mateo,60 - 64 years,Male,178,06/10/2021
Death,2019,Place of Residence,San Mateo,65 - 69 years,Female,107,06/10/2021
Death,2019,Place of Residence,San Mateo,65 - 69 years,Male,192,06/10/2021
Death,2019,Place of Residence,San Mateo,70 - 74 years,Female,191,06/10/2021
Death,2019,Place of Residence,San Mateo,70 - 74 years,Male,258,06/10/2021
Death,2019,Place of Residence,San Mateo,75 - 79 years,Female,226,06/10/2021
Death,2019,Place of Residence,San Mateo,75 - 79 years,Male,251,06/10/2021
Death,2019,Place of Residence,San Mateo,80 - 84 years,Female,301,06/10/2021
Death,2019,Place of Residence,San Mateo,80 - 84 years,Male,319,06/10/2021
Death,2019,Place of Residence,San Mateo,85 - 89 years,Female,414,06/10/2021
Death,2019,Place of Residence,San Mateo,85 - 89 years,Male,356,06/10/2021
Death,2019,Place of Residence,San Mateo,90 - 94 years,Female,426,06/10/2021
Death,2019,Place of Residence,San Mateo,90 - 94 years,Male,295,06/10/2021
Death,2019,Place of Residence,San Mateo,95 - 99 years,Female,272,06/10/2021
Death,2019,Place of Residence,San Mateo,95 - 99 years,Male,128,06/10/2021
Death,2019,Place of Residence,San Mateo,100 years and over,Female,87,06/10/2021
Death,2019,Place of Residence,San Mateo,100 years and over,Male,27,06/10/2021
Death,2019,Place of Residence,Santa Barbara,Less than 1 year,Female,17,06/10/2021
Death,2019,Place of Residence,Santa Barbara,Less than 1 year,Male,11,06/10/2021
Death,2019,Place of Residence,Santa Barbara,1 - 4 years,Female,<11,06/10/2021
Death,2019,Place of Residence,Santa Barbara,1 - 4 years,Male,<11,06/10/2021
Death,2019,Place of Residence,Santa Barbara,5 - 9 years,Female,<11,06/10/2021
Death,2019,Place of Residence,Santa Barbara,5 - 9 years,Male,<11,06/10/2021
