County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
Del Norte,45 - 49 years,11,20,10,60,50,60,0,6,0,6,6,30,0,0,36,6,36,0,30,36,36,6,24,36,36,36,6,24,rural,0,1,0
Del Norte,50 - 54 years,12,30,20,62,60,60,30,12,6,24,6,36,0,0,62,12,69,18,36,36,36,12,24,36,47,68,6,18,rural,0,1,0
Del Norte,55 - 59 years,13,20,10,67,60,60,40,12,6,24,12,30,0,0,105,30,120,18,36,42,36,24,30,48,70,112,18,36,rural,0,1,0
Del Norte,60 - 64 years,14,50,50,83,60,60,40,12,6,30,6,36,0,12,150,30,166,24,59,50,36,24,36,74,102,145,12,36,rural,0,1,0
Del Norte,65 - 69 years,15,60,40,84,60,71,50,6,12,24,18,36,0,0,184,36,197,18,64,86,30,24,36,58,143,139,24,67,rural,0,1,0
Del Norte,70 - 74 years,16,50,50,96,50,70,40,6,12,18,30,30,6,0,200,12,218,18,61,100,30,18,36,97,128,153,18,62,rural,0,1,0
Del Norte,75 - 79 years,17,60,30,80,60,66,40,6,6,30,12,36,0,6,183,36,195,12,36,84,30,0,56,91,116,143,12,56,rural,0,1,0
Del Norte,80 - 84 years,18,50,60,94,60,63,30,12,0,18,6,36,12,0,169,36,177,18,41,66,12,18,73,94,98,122,18,64,rural,0,1,0
Del Norte,85 - 89 years,19,50,50,104,62,60,20,12,6,24,6,24,0,0,203,30,200,18,36,70,24,6,119,115,101,141,0,77,rural,0,1,0
Del Norte,90 - 94 years,20,50,50,71,60,60,0,18,0,18,6,24,0,0,125,30,131,0,30,36,12,0,98,74,58,82,6,53,rural,0,1,0
Del Norte,95 - 99 years,21,40,10,60,60,50,0,0,0,6,0,12,0,0,42,12,41,0,18,36,0,0,36,36,36,36,0,36,rural,0,1,0
Del Norte,100 years and over,22,20,0,30,30,0,0,0,0,6,0,0,0,0,24,0,24,0,0,0,0,0,24,24,18,24,0,18,rural,0,1,0
El Dorado,Less than 1 year,1,0,0,0,60,0,0,0,0,24,0,0,6,0,36,0,36,0,0,0,36,0,0,30,36,36,0,0,rural,0,1,0
El Dorado,1 - 4 years,2,0,0,0,40,0,0,0,0,12,0,0,0,0,18,0,24,0,0,0,24,0,0,12,18,24,0,0,rural,0,1,0
El Dorado,5 - 9 years,3,0,0,0,20,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12,0,0,6,12,12,0,0,rural,0,1,0
El Dorado,10 - 14 years,4,0,0,0,50,0,0,0,6,12,0,0,0,0,12,0,30,0,0,0,30,0,0,24,12,30,0,0,rural,0,1,0
El Dorado,15 - 19 years,5,0,0,50,60,30,0,6,0,24,0,6,0,0,36,12,36,0,0,0,36,0,0,24,36,36,0,0,rural,0,1,0
El Dorado,20 - 24 years,6,20,10,50,30,50,0,6,0,24,18,0,0,0,36,24,36,0,0,18,36,0,0,36,36,36,0,0,rural,0,1,0
El Dorado,25 - 29 years,7,50,0,60,50,60,0,6,6,30,6,6,0,0,52,18,58,0,18,30,51,0,0,36,46,69,0,12,rural,0,1,0
El Dorado,30 - 34 years,8,30,10,60,50,60,0,6,0,30,6,0,0,0,59,18,64,6,18,30,48,0,0,36,49,67,0,18,rural,0,1,0
El Dorado,35 - 39 years,9,60,30,60,60,62,0,12,24,18,0,0,0,6,77,24,80,0,30,36,36,0,6,36,68,80,0,24,rural,0,1,0
El Dorado,40 - 44 years,10,50,40,60,60,60,0,12,0,36,6,12,6,0,65,24,83,0,36,36,36,0,0,36,52,87,0,12,rural,0,1,0
El Dorado,45 - 49 years,11,60,50,76,60,63,40,6,12,36,12,12,0,0,147,24,163,24,46,70,36,12,30,61,109,157,12,36,rural,0,1,0
El Dorado,50 - 54 years,12,60,50,119,60,88,30,24,12,36,30,30,6,0,242,36,263,12,87,116,67,12,24,112,177,265,24,36,rural,0,1,0
El Dorado,55 - 59 years,13,65,60,195,61,143,50,12,18,36,24,12,18,6,430,41,443,24,155,217,60,24,36,197,283,411,24,61,rural,0,1,0
El Dorado,60 - 64 years,14,85,60,231,61,227,60,36,12,36,30,24,0,6,587,36,603,24,213,302,69,24,43,253,389,551,18,87,rural,0,1,0
El Dorado,65 - 69 years,15,138,68,323,60,304,60,36,36,42,24,18,12,0,794,42,826,24,217,478,69,36,106,340,545,639,36,236,rural,0,1,0
El Dorado,70 - 74 years,16,149,78,333,70,316,60,30,18,36,18,24,0,0,897,48,887,30,222,534,36,24,140,396,559,674,24,273,rural,0,1,0
El Dorado,75 - 79 years,17,146,100,414,87,298,60,36,24,45,18,24,12,6,972,73,969,30,193,570,36,18,254,463,590,698,24,347,rural,0,1,0
El Dorado,80 - 84 years,18,206,105,447,111,338,60,36,30,36,36,30,6,6,1119,103,1106,18,172,584,36,6,434,554,663,755,18,459,rural,0,1,0
El Dorado,85 - 89 years,19,206,126,527,158,330,50,36,18,36,30,24,6,12,1278,118,1236,30,132,500,36,18,698,704,659,842,30,515,rural,0,1,0
El Dorado,90 - 94 years,20,154,90,494,143,242,60,36,12,36,18,18,12,0,1062,105,1022,36,95,257,30,0,773,678,459,709,12,426,rural,0,1,0
El Dorado,95 - 99 years,21,78,60,238,68,141,40,30,18,36,6,6,6,0,522,49,494,12,36,64,12,0,458,377,177,381,0,173,rural,0,1,0
El Dorado,100 years and over,22,40,40,62,50,60,10,12,6,12,6,12,0,0,74,24,80,0,24,24,12,0,76,70,36,74,0,36,rural,0,1,0
Fresno,Less than 1 year,1,0,0,0,584,0,0,56,64,331,36,12,6,0,113,0,584,0,0,0,584,0,0,271,311,584,0,0,urban,1,0,0
Fresno,1 - 4 years,2,0,0,0,85,0,0,24,18,41,18,0,0,0,36,18,73,0,0,0,77,0,0,36,43,77,0,0,urban,1,0,0
Fresno,5 - 9 years,3,0,0,0,60,0,0,6,24,36,6,0,0,6,36,0,36,0,0,0,36,0,0,36,36,36,0,0,urban,1,0,0
Fresno,10 - 14 years,4,0,0,0,66,0,0,30,18,41,0,0,0,0,36,12,49,0,0,0,54,0,0,36,36,54,0,0,urban,1,0,0
Fresno,15 - 19 years,5,0,0,60,138,60,10,30,30,124,24,0,0,6,36,36,189,6,0,0,207,0,0,69,138,207,0,0,urban,1,0,0
Fresno,20 - 24 years,6,30,30,160,119,109,10,36,36,211,12,30,6,0,101,36,352,6,18,36,369,0,0,90,305,390,0,30,urban,1,0,0
Fresno,25 - 29 years,7,60,40,205,124,111,20,37,47,230,24,18,6,12,136,61,407,6,36,71,370,6,12,138,335,459,6,36,urban,1,0,0
Fresno,30 - 34 years,8,60,50,197,167,149,40,63,56,282,30,24,6,0,129,132,418,24,36,151,346,24,18,174,380,532,6,30,urban,1,0,0
Fresno,35 - 39 years,9,62,60,217,168,164,50,51,51,302,18,30,0,18,172,146,462,12,70,194,330,24,6,206,404,591,6,36,urban,1,0,0
Fresno,40 - 44 years,10,60,60,254,214,188,40,36,77,360,30,36,6,0,223,203,524,24,147,288,285,12,36,254,479,698,6,36,urban,1,0,0
Fresno,45 - 49 years,11,81,60,383,304,246,50,98,101,427,36,36,6,12,399,272,777,36,238,420,363,36,36,413,648,1010,30,42,urban,1,0,0
Fresno,50 - 54 years,12,126,63,601,553,377,63,114,162,749,18,36,18,12,687,414,1301,30,404,730,496,36,82,669,1082,1669,36,68,urban,1,0,0
Fresno,55 - 59 years,13,156,75,870,769,582,84,173,246,913,36,36,18,24,1153,521,1961,41,661,1061,608,41,154,958,1570,2310,36,203,urban,1,0,0
Fresno,60 - 64 years,14,261,123,1101,786,771,111,231,277,1009,36,36,18,18,1580,609,2476,63,859,1392,559,71,268,1192,1961,2732,36,401,urban,1,0,0
Fresno,65 - 69 years,15,363,194,1103,878,948,85,291,275,1024,36,36,18,24,1913,718,2788,55,943,1691,452,41,435,1464,2103,2908,36,638,urban,1,0,0
Fresno,70 - 74 years,16,385,195,1191,1029,965,100,303,231,995,36,36,24,30,2272,787,3014,52,897,1907,284,36,726,1635,2227,3027,36,816,urban,1,0,0
Fresno,75 - 79 years,17,335,203,1302,1208,945,83,278,211,1064,36,36,18,24,2457,891,3133,41,793,1877,213,36,1150,1897,2173,3231,36,820,urban,1,0,0
Fresno,80 - 84 years,18,463,280,1543,1458,935,73,349,199,1116,30,36,24,36,3037,959,3755,36,629,1984,191,36,1918,2394,2356,3542,30,1190,urban,1,0,0
Fresno,85 - 89 years,19,546,299,1814,1546,935,62,348,190,1167,36,36,18,18,3446,909,4253,36,465,1771,168,36,2768,2836,2358,3782,30,1402,urban,1,0,0
Fresno,90 - 94 years,20,414,236,1737,1428,855,67,357,118,900,36,30,24,0,3319,791,3909,36,333,1011,110,30,3258,2884,1842,3437,24,1284,urban,1,0,0
Fresno,95 - 99 years,21,188,90,708,621,366,50,186,43,323,18,24,6,0,1410,339,1633,24,83,250,46,18,1585,1335,642,1522,12,453,urban,1,0,0
Fresno,100 years and over,22,60,60,157,137,63,50,47,36,46,12,6,0,0,290,82,331,12,36,36,30,6,358,323,94,374,6,36,urban,1,0,0
Glenn,Less than 1 year,1,0,0,0,60,0,0,0,0,30,0,0,0,0,36,0,36,0,0,0,36,0,0,30,30,36,0,0,rural,0,1,0
Glenn,1 - 4 years,2,0,0,0,30,0,0,0,0,0,6,0,0,0,12,0,18,0,0,0,18,0,0,6,12,18,0,0,rural,0,1,0
Glenn,5 - 9 years,3,0,0,0,20,0,0,6,0,0,0,0,0,0,6,0,12,0,0,0,12,0,0,6,6,12,0,0,rural,0,1,0
Glenn,10 - 14 years,4,0,0,0,20,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,12,0,0,12,0,12,0,0,rural,0,1,0
Glenn,15 - 19 years,5,0,0,10,40,10,0,0,0,18,12,0,0,0,30,0,30,0,0,0,30,0,0,18,18,30,0,0,rural,0,1,0
Glenn,20 - 24 years,6,0,0,50,20,10,0,0,0,24,0,0,0,0,30,6,30,0,0,6,30,0,0,6,30,36,0,6,rural,0,1,0
Glenn,25 - 29 years,7,0,0,30,30,30,0,0,0,36,0,0,0,0,24,24,30,0,12,18,30,0,0,30,24,36,0,0,rural,0,1,0
Glenn,30 - 34 years,8,10,10,20,30,50,0,6,0,18,12,0,0,0,36,18,30,0,6,18,36,0,0,30,30,36,0,6,rural,0,1,0
Glenn,35 - 39 years,9,0,0,50,30,40,0,0,0,30,0,0,0,0,30,6,36,0,18,18,30,0,6,18,36,36,0,0,rural,0,1,0
Glenn,40 - 44 years,10,10,10,50,40,40,0,6,0,18,6,6,0,0,30,18,30,0,18,30,18,0,6,24,36,36,0,12,rural,0,1,0
Glenn,45 - 49 years,11,10,0,60,50,30,10,0,0,30,0,6,0,0,36,24,36,6,24,36,30,6,6,30,36,36,6,18,rural,0,1,0
Glenn,50 - 54 years,12,10,20,60,40,50,0,6,0,36,0,6,0,0,36,36,36,6,30,36,30,6,0,36,36,42,0,6,rural,0,1,0
Glenn,55 - 59 years,13,20,10,60,50,60,20,12,6,30,6,6,0,0,62,30,70,0,36,36,24,12,24,36,41,81,0,18,rural,0,1,0
Glenn,60 - 64 years,14,40,0,69,50,60,20,0,6,30,6,18,0,0,101,30,112,0,56,36,30,0,30,54,67,104,12,30,rural,0,1,0
Glenn,65 - 69 years,15,50,40,61,60,60,20,6,6,30,0,6,0,0,110,36,110,0,36,48,30,12,36,36,71,101,0,36,rural,0,1,0
Glenn,70 - 74 years,16,60,30,61,60,61,30,30,6,30,6,6,6,0,126,36,127,6,36,65,36,12,36,56,79,109,12,42,rural,0,1,0
Glenn,75 - 79 years,17,60,30,84,60,62,10,24,12,36,12,6,0,0,153,36,149,0,35,67,30,0,49,83,98,139,6,36,rural,0,1,0
Glenn,80 - 84 years,18,60,50,89,63,60,0,12,12,30,12,6,6,0,173,36,179,6,36,83,24,0,78,96,107,134,0,63,rural,0,1,0
Glenn,85 - 89 years,19,60,10,102,67,64,20,12,6,36,12,6,0,6,192,36,196,0,30,79,6,0,113,104,109,140,6,72,rural,0,1,0
Glenn,90 - 94 years,20,60,30,93,61,60,20,24,0,24,0,6,0,0,161,36,161,0,36,36,18,0,128,113,53,125,6,49,rural,0,1,0
Glenn,95 - 99 years,21,50,10,62,60,60,0,6,0,18,6,0,0,0,80,24,75,0,24,30,12,0,64,47,36,55,0,36,rural,0,1,0
Glenn,100 years and over,22,10,10,40,30,20,0,0,0,12,0,0,0,0,30,12,30,0,0,6,0,0,30,30,24,30,0,6,rural,0,1,0
Humboldt,Less than 1 year,1,0,0,0,61,0,0,6,12,24,24,12,12,0,36,0,41,6,0,0,41,0,0,36,36,41,0,0,rural,0,1,0
Humboldt,1 - 4 years,2,0,0,0,60,0,0,0,0,6,0,12,0,0,30,0,36,0,0,0,36,0,0,30,24,36,0,0,rural,0,1,0
Humboldt,5 - 9 years,3,0,0,0,20,0,0,0,0,0,0,6,0,0,6,0,12,0,0,0,12,0,0,12,0,12,0,0,rural,0,1,0
Humboldt,10 - 14 years,4,0,0,0,40,0,0,0,0,18,6,0,0,0,24,12,24,0,0,0,24,0,0,18,24,24,0,0,rural,0,1,0
Humboldt,15 - 19 years,5,0,0,60,60,20,0,6,6,18,24,30,6,0,36,0,36,0,0,0,36,0,0,36,36,36,0,0,rural,0,1,0
Humboldt,20 - 24 years,6,20,0,60,60,60,10,0,6,36,12,30,0,0,36,6,49,0,0,12,48,0,0,36,36,44,0,6,rural,0,1,0
Humboldt,25 - 29 years,7,50,10,60,60,60,10,12,6,24,18,36,6,6,52,30,85,6,18,36,73,0,0,36,55,90,0,12,rural,0,1,0
Humboldt,30 - 34 years,8,50,0,66,50,62,30,0,12,30,30,30,6,0,77,18,110,12,30,36,79,24,12,43,67,109,18,18,rural,0,1,0
Humboldt,35 - 39 years,9,60,0,63,60,60,20,12,6,24,12,36,0,0,90,18,121,0,30,36,69,0,18,41,78,124,0,6,rural,0,1,0
Humboldt,40 - 44 years,10,50,20,70,60,60,50,18,18,30,24,30,0,0,95,24,126,12,36,36,61,6,6,36,96,126,6,30,rural,0,1,0
Humboldt,45 - 49 years,11,50,40,94,60,60,40,18,12,36,30,24,6,0,161,36,181,24,41,57,76,36,30,85,120,190,24,30,rural,0,1,0
Humboldt,50 - 54 years,12,60,60,148,65,76,60,24,24,36,30,36,12,0,266,36,312,24,107,100,105,24,30,125,208,290,30,42,rural,0,1,0
Humboldt,55 - 59 years,13,61,60,231,80,137,60,18,24,36,36,41,24,6,421,36,485,30,166,172,132,36,36,218,304,455,36,42,rural,0,1,0
Humboldt,60 - 64 years,14,65,60,313,95,194,60,18,30,36,36,50,24,6,604,36,685,30,255,240,152,30,49,274,445,581,30,115,rural,0,1,0
Humboldt,65 - 69 years,15,114,67,338,76,256,63,30,24,36,36,36,12,12,786,36,828,30,298,339,120,30,115,346,543,662,36,208,rural,0,1,0
Humboldt,70 - 74 years,16,120,69,285,83,214,62,12,24,36,36,36,12,12,702,36,746,36,237,339,74,30,144,333,471,574,36,214,rural,0,1,0
Humboldt,75 - 79 years,17,95,81,315,102,184,61,12,24,30,30,36,18,6,740,36,761,36,196,352,61,24,197,374,439,560,30,244,rural,0,1,0
Humboldt,80 - 84 years,18,98,79,370,146,181,60,24,24,36,36,41,6,0,803,57,826,30,154,364,36,30,333,439,457,593,24,292,rural,0,1,0
Humboldt,85 - 89 years,19,126,94,388,160,175,60,18,18,36,30,36,0,12,885,66,885,24,111,307,36,18,519,538,424,618,24,336,rural,0,1,0
Humboldt,90 - 94 years,20,104,73,354,134,146,60,24,18,30,30,30,0,0,788,69,758,18,74,168,36,6,572,482,352,523,12,308,rural,0,1,0
Humboldt,95 - 99 years,21,61,60,144,65,64,60,12,0,18,6,18,6,0,335,36,321,18,36,43,18,6,278,238,113,245,6,100,rural,0,1,0
Humboldt,100 years and over,22,40,60,60,40,50,10,0,6,0,0,6,0,0,67,24,64,0,30,18,6,0,56,54,36,64,0,30,rural,0,1,0
Imperial,Less than 1 year,1,0,0,0,67,0,10,0,0,45,6,0,0,0,12,0,50,6,0,0,55,0,0,36,36,55,6,0,suburban,0,0,1
Imperial,1 - 4 years,2,0,0,0,60,0,0,0,6,36,0,0,0,0,6,0,36,0,0,0,36,0,0,36,30,36,0,0,suburban,0,0,1
Imperial,5 - 9 years,3,0,0,0,50,0,0,0,0,30,0,0,0,0,0,6,30,0,0,0,30,0,0,24,18,30,0,0,suburban,0,0,1
Imperial,10 - 14 years,4,0,0,0,40,0,0,0,6,18,0,0,0,0,12,0,24,0,0,0,24,0,0,6,24,24,0,0,suburban,0,0,1
Imperial,15 - 19 years,5,0,0,50,50,30,0,0,0,36,0,0,0,0,6,12,36,0,0,0,36,0,0,30,36,36,12,0,suburban,0,0,1
Imperial,20 - 24 years,6,20,10,60,60,60,0,0,12,41,0,6,0,0,12,30,36,0,12,18,36,0,0,36,36,41,6,0,suburban,0,0,1
Imperial,25 - 29 years,7,20,20,60,60,60,30,6,6,47,0,12,12,0,24,36,50,6,0,36,46,18,6,36,43,59,18,12,suburban,0,0,1
Imperial,30 - 34 years,8,30,10,60,60,60,10,0,6,42,0,18,0,0,36,30,57,6,24,36,48,6,0,36,36,59,12,6,suburban,0,0,1
Imperial,35 - 39 years,9,40,20,61,60,50,30,0,18,93,12,36,0,0,36,36,105,6,36,41,56,18,18,36,89,120,18,18,suburban,0,0,1
Imperial,40 - 44 years,10,50,40,60,61,60,30,0,24,81,6,24,6,0,30,36,75,18,30,41,36,18,18,36,65,103,24,12,suburban,0,0,1
Imperial,45 - 49 years,11,50,40,70,63,60,40,6,24,127,6,24,0,6,36,70,110,18,41,63,62,18,30,52,119,175,12,24,suburban,0,0,1
Imperial,50 - 54 years,12,60,20,99,114,68,60,6,24,201,6,30,0,0,63,105,188,12,71,122,85,18,30,104,192,265,24,36,suburban,0,0,1
Imperial,55 - 59 years,13,60,60,129,147,74,60,6,24,246,12,30,6,0,132,178,211,12,85,186,85,36,36,122,274,360,30,36,suburban,0,0,1
Imperial,60 - 64 years,14,60,60,158,209,108,60,6,36,354,18,30,12,6,147,261,263,30,118,262,74,30,58,187,347,463,30,41,suburban,0,0,1
Imperial,65 - 69 years,15,60,60,170,254,127,60,18,36,387,12,30,24,0,215,280,345,36,118,338,67,36,91,246,396,541,36,77,suburban,0,0,1
Imperial,70 - 74 years,16,60,60,148,281,96,60,18,36,360,6,36,12,0,191,279,304,30,101,294,51,36,125,237,356,489,24,83,suburban,0,0,1
Imperial,75 - 79 years,17,60,51,171,370,101,60,24,36,468,6,30,12,6,221,376,338,30,99,358,52,30,197,284,438,602,36,102,suburban,0,0,1
Imperial,80 - 84 years,18,60,60,134,527,88,60,24,30,583,0,30,18,0,209,442,373,24,74,393,36,36,323,377,444,688,29,109,suburban,0,0,1
Imperial,85 - 89 years,19,60,60,154,599,80,60,30,30,627,6,24,6,0,250,414,483,30,52,311,36,30,482,476,432,738,24,149,suburban,0,0,1
Imperial,90 - 94 years,20,50,60,119,402,65,60,24,24,430,0,12,0,0,170,288,329,12,36,171,36,18,390,345,275,517,18,91,suburban,0,0,1
Imperial,95 - 99 years,21,60,20,61,171,60,60,12,24,171,0,18,0,0,85,125,138,18,24,36,30,18,197,161,107,232,24,36,suburban,0,0,1
Imperial,100 years and over,22,20,0,50,60,30,0,12,6,36,0,0,0,0,30,36,36,0,12,12,0,0,47,42,30,48,6,12,suburban,0,0,1
Inyo,Less than 1 year,1,0,0,0,50,0,0,0,0,18,6,12,0,0,6,0,30,0,0,0,30,0,0,18,24,30,0,0,rural,0,1,0
Inyo,1 - 4 years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
Inyo,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
Inyo,10 - 14 years,4,0,0,0,20,0,0,0,0,6,6,0,0,0,0,0,12,0,0,0,12,0,0,0,12,12,0,0,rural,0,1,0
Inyo,15 - 19 years,5,0,0,0,20,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,12,0,0,0,12,12,0,0,rural,0,1,0
Inyo,20 - 24 years,6,0,0,20,20,30,0,0,0,12,0,6,0,0,12,0,30,0,0,0,30,0,0,24,18,30,0,0,rural,0,1,0
Inyo,25 - 29 years,7,10,0,50,20,0,0,0,6,18,0,24,0,0,12,0,30,0,6,12,30,0,0,12,30,30,0,6,rural,0,1,0
Inyo,30 - 34 years,8,10,0,20,10,20,0,0,0,0,0,18,0,0,12,0,24,0,0,0,24,0,0,12,18,24,0,0,rural,0,1,0
Inyo,35 - 39 years,9,0,10,30,10,30,10,0,0,0,0,18,0,0,30,6,36,0,24,12,30,0,0,30,24,36,0,0,rural,0,1,0
Inyo,40 - 44 years,10,0,10,40,10,40,0,0,6,0,0,24,0,0,30,0,36,6,18,18,6,0,0,24,24,36,6,0,rural,0,1,0
Inyo,45 - 49 years,11,20,0,30,30,50,0,0,0,12,0,30,0,0,24,12,36,0,6,36,18,0,0,24,36,36,0,6,rural,0,1,0
Inyo,50 - 54 years,12,0,20,60,20,40,0,0,12,12,6,6,0,0,30,6,41,0,18,30,18,6,6,30,36,41,0,6,rural,0,1,0
Inyo,55 - 59 years,13,40,0,60,30,50,30,6,6,18,0,36,6,0,41,30,55,0,36,36,36,6,36,36,36,55,6,30,rural,0,1,0
Inyo,60 - 64 years,14,50,50,60,50,60,20,0,6,24,12,36,0,0,74,18,99,6,36,43,36,6,24,41,62,90,6,36,rural,0,1,0
Inyo,65 - 69 years,15,60,60,63,30,60,30,6,6,30,0,30,0,0,92,36,106,6,36,44,36,12,36,48,64,91,12,36,rural,0,1,0
Inyo,70 - 74 years,16,60,30,64,50,60,30,12,0,36,6,30,6,0,104,30,121,18,36,54,36,18,36,41,88,86,12,36,rural,0,1,0
Inyo,75 - 79 years,17,50,30,60,60,60,10,6,0,12,12,30,0,0,105,18,109,6,36,49,12,6,41,54,58,79,12,36,rural,0,1,0
Inyo,80 - 84 years,18,60,50,75,60,62,30,6,0,24,0,36,0,0,154,36,158,18,36,61,24,0,70,92,79,120,6,41,rural,0,1,0
Inyo,85 - 89 years,19,60,60,70,60,61,20,6,0,18,0,30,0,0,145,30,152,0,36,49,24,0,77,96,59,106,0,47,rural,0,1,0
Inyo,90 - 94 years,20,60,40,84,60,60,10,18,0,18,0,30,0,0,139,36,141,0,36,36,18,0,102,86,62,96,0,51,rural,0,1,0
Inyo,95 - 99 years,21,40,10,60,20,60,10,0,0,6,0,0,0,0,61,18,54,0,12,30,0,0,53,42,30,42,6,30,rural,0,1,0
Inyo,100 years and over,22,10,20,50,10,30,0,0,0,0,0,18,0,0,36,6,36,0,6,12,0,0,36,36,12,36,0,12,rural,0,1,0
Kern,Less than 1 year,1,0,0,0,467,0,10,36,41,283,30,6,12,0,104,0,467,6,0,0,467,0,6,233,235,468,0,0,suburban,0,0,1
Kern,1 - 4 years,2,0,0,0,95,0,0,0,30,53,12,12,0,6,30,0,95,0,0,0,95,0,0,48,41,95,0,0,suburban,0,0,1
Kern,5 - 9 years,3,0,0,0,60,0,10,12,24,36,0,0,0,0,30,12,36,0,0,0,41,0,0,36,36,41,0,0,suburban,0,0,1
Kern,10 - 14 years,4,0,0,0,71,0,0,0,18,43,6,0,0,0,36,6,57,0,0,0,59,0,0,36,41,59,6,0,suburban,0,0,1
Kern,15 - 19 years,5,10,0,84,106,61,10,18,30,140,36,6,0,0,44,36,203,0,0,0,220,0,0,41,178,215,6,12,suburban,0,0,1
Kern,20 - 24 years,6,30,30,217,107,91,30,30,36,242,24,6,0,18,122,49,367,18,30,36,396,6,0,100,328,417,18,30,suburban,0,0,1
Kern,25 - 29 years,7,60,20,279,122,95,60,36,50,268,30,24,0,12,180,62,458,24,36,76,422,18,6,131,401,506,24,36,suburban,0,0,1
Kern,30 - 34 years,8,60,40,237,150,131,60,36,49,277,36,12,0,6,225,87,471,36,43,156,352,36,12,163,409,543,12,36,suburban,0,0,1
Kern,35 - 39 years,9,60,60,272,182,139,60,30,52,281,24,6,0,12,274,100,537,24,108,217,302,24,36,233,410,622,18,36,suburban,0,0,1
Kern,40 - 44 years,10,64,60,305,206,158,60,36,75,315,36,18,12,0,323,171,573,36,145,316,275,36,30,276,483,718,36,36,suburban,0,0,1
Kern,45 - 49 years,11,68,60,466,315,234,64,36,108,437,18,36,6,6,561,241,883,36,280,428,385,36,41,412,740,1086,36,42,suburban,0,0,1
Kern,50 - 54 years,12,95,61,724,553,358,88,50,157,646,36,36,12,12,965,383,1432,47,481,764,503,36,86,743,1125,1729,36,104,suburban,0,0,1
Kern,55 - 59 years,13,144,70,1038,671,560,154,55,219,729,36,36,12,18,1560,405,2146,77,711,1106,565,67,189,1001,1635,2323,66,245,suburban,0,0,1
Kern,60 - 64 years,14,188,117,1276,724,739,176,97,295,783,36,36,18,12,1966,509,2612,99,909,1434,482,68,321,1253,1967,2706,78,434,suburban,0,0,1
Kern,65 - 69 years,15,269,157,1271,755,869,151,128,244,788,45,36,6,30,2231,577,2802,87,904,1688,323,65,497,1433,2039,2721,68,683,suburban,0,0,1
Kern,70 - 74 years,16,309,196,1271,866,931,148,115,223,741,36,36,6,18,2572,597,3027,97,795,1820,254,49,804,1595,2126,2756,66,896,suburban,0,0,1
Kern,75 - 79 years,17,277,191,1480,1022,839,101,131,184,770,36,36,24,6,2750,630,3221,54,691,1861,138,36,1183,1824,2085,2913,47,948,suburban,0,0,1
Kern,80 - 84 years,18,335,214,1508,1122,839,103,159,196,776,42,30,24,18,2922,654,3428,36,529,1705,150,30,1715,2031,2090,2932,36,1162,suburban,0,0,1
Kern,85 - 89 years,19,303,206,1431,1221,774,100,151,137,772,36,36,12,6,2905,619,3378,36,367,1299,90,30,2258,2242,1793,2833,36,1173,suburban,0,0,1
Kern,90 - 94 years,20,250,148,1111,862,492,66,95,88,519,30,36,6,12,2171,444,2452,36,217,580,56,24,2057,1783,1137,2048,36,861,suburban,0,0,1
Kern,95 - 99 years,21,104,62,423,359,176,60,42,41,194,24,30,6,0,825,176,942,30,64,119,36,0,908,798,328,882,12,242,suburban,0,0,1
Kern,100 years and over,22,50,40,81,83,60,20,30,30,36,12,0,0,6,159,36,178,6,30,30,6,6,186,160,51,190,6,36,suburban,0,0,1
Kings,Less than 1 year,1,0,0,0,69,0,0,0,18,36,12,0,0,0,36,0,57,0,0,0,57,0,0,36,36,56,6,0,rural,0,1,0
Kings,1 - 4 years,2,0,0,0,60,0,0,0,0,30,0,6,0,0,18,0,36,0,0,0,36,0,0,18,30,36,0,0,rural,0,1,0
Kings,5 - 9 years,3,0,0,0,30,0,0,0,0,12,0,6,0,0,6,0,18,0,0,0,18,0,0,6,18,18,0,0,rural,0,1,0
Kings,10 - 14 years,4,0,0,0,60,0,0,0,0,30,12,0,0,0,12,0,36,0,0,0,36,0,0,6,30,36,0,0,rural,0,1,0
Kings,15 - 19 years,5,0,0,60,60,10,0,6,6,36,6,18,0,0,24,12,36,0,0,6,36,0,0,30,36,36,0,0,rural,0,1,0
Kings,20 - 24 years,6,0,0,60,50,50,10,6,18,36,6,6,0,0,30,12,49,0,0,18,51,0,0,36,41,51,0,12,rural,0,1,0
Kings,25 - 29 years,7,20,0,60,60,60,0,0,24,42,6,12,0,0,36,36,50,0,30,36,49,0,6,36,51,62,0,18,rural,0,1,0
Kings,30 - 34 years,8,20,10,60,60,60,20,0,18,46,6,12,0,0,36,36,52,6,24,36,36,0,6,36,44,63,0,12,rural,0,1,0
