County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
Alpine,45 - 49 years,11,0,0,40,10,10,0,0,18,6,0,12,0,6,0,0,30,0,18,6,12,0,0,12,18,30,0,0,rural,0,1,0
Alpine,50 - 54 years,12,0,0,30,10,10,0,0,6,12,0,6,0,0,6,6,24,0,6,12,12,0,0,12,24,18,0,12,rural,0,1,0
Alpine,55 - 59 years,13,10,10,20,20,40,0,6,6,12,12,6,0,0,24,12,36,0,18,18,12,0,0,30,24,36,0,6,rural,0,1,0
Alpine,60 - 64 years,14,10,30,30,40,40,0,6,18,0,0,12,0,0,36,6,36,0,24,30,12,0,6,30,30,36,0,6,rural,0,1,0
Alpine,65 - 69 years,15,20,20,40,10,50,0,0,0,6,12,18,0,0,30,6,36,0,24,36,12,0,0,18,36,30,6,30,rural,0,1,0
Alpine,70 - 74 years,16,0,0,40,10,10,0,0,6,6,6,0,0,0,18,18,18,0,18,12,6,0,6,12,18,18,0,12,rural,0,1,0
Alpine,75 - 79 years,17,10,20,30,10,0,0,0,0,0,0,6,0,0,24,0,24,0,12,18,6,0,18,18,18,24,0,12,rural,0,1,0
Alpine,80 - 84 years,18,40,40,10,20,20,10,0,6,18,0,12,0,0,36,6,36,0,12,36,0,0,24,24,36,30,6,30,rural,0,1,0
Alpine,85 - 89 years,19,10,30,30,20,20,0,6,6,0,6,0,0,0,36,6,36,0,12,24,6,0,30,30,30,36,0,24,rural,0,1,0
Alpine,90 - 94 years,20,30,10,10,20,20,0,6,6,0,0,0,0,0,24,18,24,0,0,12,6,0,30,18,24,24,6,12,rural,0,1,0
Alpine,95 - 99 years,21,0,0,10,0,10,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,12,12,0,12,0,0,rural,0,1,0
Alpine,100 years and over,22,0,0,20,0,0,0,0,0,6,0,0,0,0,6,0,12,0,0,0,0,0,12,12,0,12,0,0,rural,0,1,0
Amador,Less than 1 year,1,0,0,0,50,0,0,0,6,6,0,0,0,0,24,0,30,0,0,0,30,0,0,6,24,30,0,0,rural,0,1,0
Amador,1 - 4 years,2,0,0,0,20,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12,0,0,6,6,12,0,0,rural,0,1,0
Amador,5 - 9 years,3,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
Amador,10 - 14 years,4,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
Amador,15 - 19 years,5,0,0,20,30,0,0,0,0,0,0,0,0,0,30,6,24,0,0,0,30,0,0,0,30,30,0,0,rural,0,1,0
Amador,20 - 24 years,6,0,0,40,10,10,0,6,0,12,0,0,0,0,12,12,18,0,0,0,24,0,0,12,24,24,0,0,rural,0,1,0
Amador,25 - 29 years,7,0,0,50,30,30,0,6,0,12,6,0,0,0,36,6,36,0,12,6,36,0,0,18,36,36,0,6,rural,0,1,0
Amador,30 - 34 years,8,10,0,40,10,30,0,0,0,18,0,6,0,0,30,6,36,0,6,24,30,0,0,18,36,36,0,6,rural,0,1,0
Amador,35 - 39 years,9,30,0,60,10,50,0,0,0,30,0,0,0,0,36,18,36,0,18,30,36,0,0,18,36,36,0,6,rural,0,1,0
Amador,40 - 44 years,10,40,0,60,20,40,0,6,0,18,0,6,0,0,36,6,36,0,36,30,30,0,6,30,36,36,0,0,rural,0,1,0
Amador,45 - 49 years,11,20,20,60,10,40,10,0,6,12,0,12,6,0,30,6,36,6,18,30,30,6,12,24,36,36,12,18,rural,0,1,0
Amador,50 - 54 years,12,10,20,60,50,60,10,6,6,18,0,6,0,0,62,18,63,6,30,36,36,0,12,36,36,58,0,30,rural,0,1,0
Amador,55 - 59 years,13,50,20,78,50,60,30,18,12,24,0,18,0,0,130,24,135,12,42,54,36,24,24,49,99,118,24,36,rural,0,1,0
