Year_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths_veteran,age_cat,veteran_cat,Description
2014,Alpine,65 - 69 years,Unknown,0,15,2,rural
2014,Alpine,65 - 69 years,Yes,6,15,3,rural
2014,Alpine,70 - 74 years,Yes,0,16,3,rural
2014,Alpine,70 - 74 years,Unknown,0,16,2,rural
2014,Alpine,70 - 74 years,No,0,16,1,rural
2014,Alpine,75 - 79 years,No,6,17,1,rural
2014,Alpine,75 - 79 years,Unknown,0,17,2,rural
2014,Alpine,75 - 79 years,Yes,0,17,3,rural
2014,Alpine,80 - 84 years,Unknown,0,18,2,rural
2014,Alpine,80 - 84 years,Yes,6,18,3,rural
2014,Alpine,80 - 84 years,No,0,18,1,rural
2014,Alpine,85 - 89 years,No,6,19,1,rural
2014,Alpine,85 - 89 years,Yes,6,19,3,rural
2014,Alpine,85 - 89 years,Unknown,0,19,2,rural
2014,Alpine,90 - 94 years,Yes,0,20,3,rural
2014,Alpine,90 - 94 years,Unknown,0,20,2,rural
2014,Alpine,90 - 94 years,No,6,20,1,rural
2014,Alpine,95 - 99 years,Yes,0,21,3,rural
2014,Alpine,95 - 99 years,Unknown,0,21,2,rural
2014,Alpine,95 - 99 years,No,0,21,1,rural
2014,Alpine,100 years and over,Yes,0,22,3,rural
2014,Alpine,100 years and over,Unknown,0,22,2,rural
2014,Alpine,100 years and over,No,0,22,1,rural
2014,Amador,Less than 1 year,No,6,1,1,rural
2014,Amador,Less than 1 year,Yes,0,1,3,rural
2014,Amador,Less than 1 year,Unknown,0,1,2,rural
2014,Amador,1 - 4 years,Unknown,0,2,2,rural
2014,Amador,1 - 4 years,No,0,2,1,rural
2014,Amador,1 - 4 years,Yes,0,2,3,rural
2014,Amador,5 - 9 years,Unknown,0,3,2,rural
2014,Amador,5 - 9 years,Yes,0,3,3,rural
2014,Amador,5 - 9 years,No,0,3,1,rural
2014,Amador,10 - 14 years,Unknown,0,4,2,rural
