Year_of_Death,County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
2015,Lassen,60 - 64 years,14,10,10,10,10,10,0,0,0,6,0,6,0,0,21,6,23,0,6,11,6,0,6,6,16,18,0,6,rural,0,1,0
2015,Lassen,65 - 69 years,15,10,10,10,0,12,0,0,6,6,0,6,0,0,23,0,27,0,6,16,6,0,6,6,17,14,6,12,rural,0,1,0
2015,Lassen,70 - 74 years,16,10,10,10,10,10,0,0,0,0,0,0,0,0,24,0,24,0,6,16,6,0,6,6,17,16,0,6,rural,0,1,0
2015,Lassen,75 - 79 years,17,10,10,10,10,10,10,0,6,0,0,6,0,0,17,0,20,0,6,6,6,0,6,6,11,14,6,6,rural,0,1,0
2015,Lassen,80 - 84 years,18,10,10,11,10,10,10,0,0,6,6,6,0,0,28,0,29,6,6,6,0,0,15,17,14,19,0,12,rural,0,1,0
2015,Lassen,85 - 89 years,19,10,0,13,10,10,0,0,0,0,0,6,0,0,22,6,22,0,6,6,0,0,16,13,6,12,0,11,rural,0,1,0
2015,Lassen,90 - 94 years,20,10,0,15,10,10,0,0,0,6,6,0,0,0,28,6,28,6,6,6,0,0,25,17,13,18,0,12,rural,0,1,0
2015,Lassen,95 - 99 years,21,10,0,10,10,10,0,0,0,0,0,0,0,0,6,0,6,6,6,6,0,0,6,6,6,6,0,6,rural,0,1,0
2015,Lassen,100 years and over,22,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,6,0,6,0,0,rural,0,1,0
2015,Los Angeles,Less than 1 year,1,0,0,0,510,0,0,51,84,284,16,0,6,6,71,0,509,6,0,0,510,0,0,218,290,510,0,0,urban,1,0,0
2015,Los Angeles,1 - 4 years,2,0,0,0,82,0,0,6,16,39,6,6,0,0,14,0,82,0,0,0,82,0,0,36,46,82,0,0,urban,1,0,0
2015,Los Angeles,5 - 9 years,3,0,0,0,54,0,0,6,6,33,6,0,0,0,6,6,52,0,0,0,54,0,0,22,32,54,0,0,urban,1,0,0
2015,Los Angeles,10 - 14 years,4,0,0,0,73,0,10,6,6,44,6,0,0,0,19,6,69,0,0,0,74,0,0,31,43,74,0,0,urban,1,0,0
2015,Los Angeles,15 - 19 years,5,0,0,75,141,27,0,15,31,147,6,0,6,6,39,23,220,0,0,0,243,0,0,66,177,242,0,6,urban,1,0,0
2015,Los Angeles,20 - 24 years,6,23,10,198,107,149,10,31,70,264,6,6,0,6,108,71,410,0,6,13,465,0,0,108,373,474,0,6,urban,1,0,0
2015,Los Angeles,25 - 29 years,7,58,14,201,127,129,10,38,100,267,12,6,0,6,115,109,425,6,6,64,460,6,0,137,398,516,6,13,urban,1,0,0
2015,Los Angeles,30 - 34 years,8,74,25,223,135,157,10,56,106,282,6,6,6,6,163,158,458,6,35,114,465,6,6,188,435,605,6,13,urban,1,0,0
2015,Los Angeles,35 - 39 years,9,96,37,270,181,158,17,58,133,341,6,6,6,6,211,248,503,6,76,208,458,12,6,255,504,723,18,18,urban,1,0,0
2015,Los Angeles,40 - 44 years,10,140,43,362,273,255,15,104,185,501,11,6,6,6,281,428,655,6,161,405,498,6,15,388,700,1045,11,32,urban,1,0,0
2015,Los Angeles,45 - 49 years,11,182,77,570,407,331,48,132,253,709,20,6,6,6,475,675,909,31,273,622,650,32,38,611,1004,1526,34,55,urban,1,0,0
2015,Los Angeles,50 - 54 years,12,303,124,901,557,543,123,222,497,905,21,6,12,14,872,928,1555,68,493,1023,882,74,79,978,1573,2378,70,103,urban,1,0,0
2015,Los Angeles,55 - 59 years,13,405,191,1301,763,814,169,352,726,1157,33,12,13,21,1329,1308,2241,94,820,1474,1074,102,173,1300,2343,3314,88,241,urban,1,0,0
2015,Los Angeles,60 - 64 years,14,545,322,1372,937,1043,236,482,777,1327,30,14,21,15,1789,1656,2668,131,1002,1973,1005,152,323,1748,2707,3951,134,370,urban,1,0,0
2015,Los Angeles,65 - 69 years,15,713,399,1545,1030,1146,253,573,832,1392,38,6,23,21,2197,1911,3030,145,1150,2324,836,164,612,2137,2949,4147,146,793,urban,1,0,0
2015,Los Angeles,70 - 74 years,16,726,467,1642,1173,1185,257,641,844,1452,35,15,25,15,2423,2059,3229,162,1190,2505,653,143,959,2428,3022,4465,144,841,urban,1,0,0
2015,Los Angeles,75 - 79 years,17,804,546,1978,1461,1233,229,807,920,1529,34,21,23,14,2903,2486,3624,141,1102,2773,611,98,1667,2976,3275,5062,106,1083,urban,1,0,0
2015,Los Angeles,80 - 84 years,18,1025,679,2462,1876,1345,215,1073,831,1795,28,20,25,18,3812,3062,4417,123,1021,3024,548,90,2919,3848,3754,5866,95,1641,urban,1,0,0
2015,Los Angeles,85 - 89 years,19,1204,780,3049,2289,1506,216,1250,760,2004,33,12,23,15,4947,3332,5606,106,967,2889,536,61,4591,5020,4024,6913,65,2066,urban,1,0,0
2015,Los Angeles,90 - 94 years,20,933,639,2917,1866,1359,162,1111,565,1418,29,12,15,6,4720,2776,5029,71,638,1678,343,28,5189,4876,3000,6070,41,1765,urban,1,0,0
2015,Los Angeles,95 - 99 years,21,398,220,1241,857,582,58,488,282,556,6,6,6,6,2009,1089,2248,19,227,425,148,14,2542,2304,1052,2752,22,582,urban,1,0,0
2015,Los Angeles,100 years and over,22,98,61,310,260,120,22,140,94,124,6,0,6,0,507,339,527,6,47,60,38,6,724,646,225,800,6,69,urban,1,0,0
2015,Madera,Less than 1 year,1,0,0,0,17,0,0,6,6,6,0,0,0,0,6,0,17,0,0,0,17,0,0,12,6,17,0,0,rural,0,1,0
2015,Madera,1 - 4 years,2,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
2015,Madera,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Madera,10 - 14 years,4,0,0,0,10,0,0,0,0,6,0,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Madera,15 - 19 years,5,0,0,10,10,0,0,0,0,6,0,0,0,0,6,6,6,0,0,0,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Madera,20 - 24 years,6,0,0,10,10,0,0,0,0,6,0,6,0,0,6,0,6,0,0,6,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Madera,25 - 29 years,7,0,10,10,10,10,0,0,0,6,0,0,0,0,6,6,6,0,6,6,6,6,0,6,12,11,6,6,rural,0,1,0
2015,Madera,30 - 34 years,8,10,0,10,10,10,0,0,6,6,0,0,0,0,6,6,6,0,6,6,6,0,0,6,6,11,0,0,rural,0,1,0
2015,Madera,35 - 39 years,9,0,10,10,10,10,0,0,6,6,0,6,0,0,6,6,13,0,6,6,6,0,0,6,6,14,0,6,rural,0,1,0
2015,Madera,40 - 44 years,10,0,0,10,10,10,0,0,0,6,0,0,0,0,6,6,6,0,0,6,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Madera,45 - 49 years,11,10,10,10,10,10,10,0,6,6,0,0,0,0,15,6,18,0,6,13,6,0,0,6,18,22,0,6,rural,0,1,0
2015,Madera,50 - 54 years,12,10,10,12,21,11,10,0,6,20,6,6,0,6,26,6,42,0,15,24,6,0,6,21,30,48,6,6,rural,0,1,0
2015,Madera,55 - 59 years,13,10,10,28,19,19,10,0,6,24,0,6,0,0,45,6,66,0,27,29,16,6,6,32,43,68,6,6,rural,0,1,0
2015,Madera,60 - 64 years,14,10,10,29,10,20,10,6,6,13,0,6,0,0,46,6,57,6,18,29,6,6,6,23,42,55,6,6,rural,0,1,0
2015,Madera,65 - 69 years,15,10,10,28,25,36,10,0,6,19,6,6,0,0,82,6,95,6,23,59,6,6,16,43,64,76,6,28,rural,0,1,0
2015,Madera,70 - 74 years,16,10,10,32,23,37,10,6,6,20,6,6,0,0,77,14,90,6,14,69,6,6,17,40,65,75,0,30,rural,0,1,0
2015,Madera,75 - 79 years,17,10,11,53,33,22,10,6,6,18,6,0,0,0,99,19,105,6,21,67,6,6,29,56,72,91,6,35,rural,0,1,0
2015,Madera,80 - 84 years,18,10,10,64,41,31,10,6,6,33,6,6,0,0,112,21,136,6,19,81,6,6,54,59,99,97,0,61,rural,0,1,0
2015,Madera,85 - 89 years,19,12,10,56,40,24,10,6,6,22,0,6,0,0,109,17,122,6,21,42,6,6,75,83,58,102,0,39,rural,0,1,0
2015,Madera,90 - 94 years,20,10,10,45,39,27,0,6,6,17,6,0,0,0,98,12,109,0,6,27,6,0,80,70,51,79,6,41,rural,0,1,0
2015,Madera,95 - 99 years,21,10,0,10,15,10,0,0,0,6,0,0,0,0,33,6,35,0,0,6,0,0,31,22,16,26,0,12,rural,0,1,0
2015,Madera,100 years and over,22,10,0,10,10,0,0,0,0,6,0,6,0,0,6,6,6,0,6,6,0,0,6,6,6,6,0,6,rural,0,1,0
2015,Marin,Less than 1 year,1,0,0,0,10,0,0,0,6,6,0,0,0,0,6,0,6,0,0,0,6,0,0,0,6,6,0,0,suburban,0,0,1
2015,Marin,1 - 4 years,2,0,0,0,10,0,0,0,0,6,0,0,0,0,0,6,6,0,0,0,6,0,0,0,6,6,0,0,suburban,0,0,1
2015,Marin,5 - 9 years,3,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,0,6,0,0,suburban,0,0,1
2015,Marin,10 - 14 years,4,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,6,0,0,suburban,0,0,1
2015,Marin,15 - 19 years,5,0,0,0,10,10,0,0,0,6,0,0,0,0,6,6,6,0,0,0,6,0,0,6,6,6,0,0,suburban,0,0,1
2015,Marin,20 - 24 years,6,0,0,10,0,10,0,0,6,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,suburban,0,0,1
2015,Marin,25 - 29 years,7,10,10,0,10,10,0,0,6,6,0,0,0,0,6,6,6,0,0,0,6,0,0,0,6,6,0,0,suburban,0,0,1
2015,Marin,30 - 34 years,8,10,0,10,10,10,0,0,6,0,0,0,0,6,6,0,6,0,0,6,6,0,0,6,6,6,0,0,suburban,0,0,1
2015,Marin,35 - 39 years,9,10,0,10,10,10,0,0,0,6,0,0,0,0,6,6,6,0,6,6,6,0,0,6,6,6,0,0,suburban,0,0,1
2015,Marin,40 - 44 years,10,10,10,10,10,10,0,6,6,0,6,0,0,0,6,6,6,6,6,6,6,6,0,6,11,11,6,6,suburban,0,0,1
2015,Marin,45 - 49 years,11,10,10,10,10,10,10,0,6,6,0,0,6,0,18,6,23,6,6,12,6,6,0,6,17,24,6,6,suburban,0,0,1
2015,Marin,50 - 54 years,12,10,10,12,10,10,10,0,6,6,6,0,0,0,30,6,32,0,6,6,16,6,0,16,20,36,0,0,suburban,0,0,1
2015,Marin,55 - 59 years,13,16,10,30,10,13,10,6,6,6,0,6,6,0,62,13,59,6,18,27,26,6,6,26,48,69,6,6,suburban,0,0,1
2015,Marin,60 - 64 years,14,27,10,29,10,19,10,0,6,6,0,0,0,0,80,6,79,0,27,38,16,6,6,29,60,77,6,6,suburban,0,0,1
2015,Marin,65 - 69 years,15,29,29,32,10,37,10,6,6,11,0,0,6,0,119,18,115,6,33,62,30,6,6,52,85,101,6,30,suburban,0,0,1
2015,Marin,70 - 74 years,16,50,39,34,10,50,10,6,6,6,6,0,0,0,167,38,143,6,44,89,28,6,19,81,101,136,6,44,suburban,0,0,1
2015,Marin,75 - 79 years,17,48,45,39,10,37,10,11,6,6,6,0,0,6,158,38,136,6,42,85,13,6,36,82,95,125,6,51,suburban,0,0,1
2015,Marin,80 - 84 years,18,85,54,54,10,54,10,11,6,6,0,6,0,6,237,41,213,6,42,114,6,6,89,121,136,170,6,84,suburban,0,0,1
2015,Marin,85 - 89 years,19,104,67,98,24,72,10,20,6,6,6,6,6,0,335,79,286,6,49,140,21,0,158,201,167,253,6,114,suburban,0,0,1
2015,Marin,90 - 94 years,20,93,60,108,12,82,10,6,6,6,6,0,0,0,341,68,289,6,39,93,13,0,213,221,137,242,0,116,suburban,0,0,1
2015,Marin,95 - 99 years,21,43,18,64,19,32,0,6,0,6,6,6,0,0,164,24,152,0,14,20,6,0,134,134,42,139,6,36,suburban,0,0,1
2015,Marin,100 years and over,22,10,10,21,10,10,0,0,6,6,0,0,0,0,39,13,28,6,6,6,6,6,32,32,6,41,0,6,suburban,0,0,1
2015,Mariposa,Less than 1 year,1,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
2015,Mariposa,1 - 4 years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Mariposa,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Mariposa,10 - 14 years,4,0,0,0,10,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
2015,Mariposa,15 - 19 years,5,0,0,10,0,10,0,0,0,0,6,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Mariposa,20 - 24 years,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Mariposa,25 - 29 years,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Mariposa,30 - 34 years,8,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
2015,Mariposa,35 - 39 years,9,0,0,10,0,10,0,0,0,0,6,0,0,0,6,0,6,0,0,6,6,0,0,0,6,6,0,0,rural,0,1,0
2015,Mariposa,40 - 44 years,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Mariposa,45 - 49 years,11,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,6,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Mariposa,50 - 54 years,12,0,0,10,10,0,0,0,0,6,6,0,0,0,6,0,6,6,6,6,6,0,0,6,6,6,0,6,rural,0,1,0
2015,Mariposa,55 - 59 years,13,0,0,10,10,10,0,0,0,0,0,0,0,0,6,0,6,0,6,6,6,0,0,6,6,6,0,6,rural,0,1,0
2015,Mariposa,60 - 64 years,14,10,10,10,10,10,0,0,0,0,0,6,0,0,12,0,13,0,6,6,6,0,6,6,6,13,0,0,rural,0,1,0
2015,Mariposa,65 - 69 years,15,10,0,12,0,10,0,0,0,0,6,6,0,0,20,0,23,0,6,13,6,0,6,6,17,14,6,6,rural,0,1,0
2015,Mariposa,70 - 74 years,16,10,10,10,10,10,10,0,0,0,6,6,0,0,23,0,25,0,6,14,0,0,6,6,19,14,0,11,rural,0,1,0
2015,Mariposa,75 - 79 years,17,10,10,11,10,10,0,0,0,0,0,6,0,0,23,6,23,0,6,13,0,0,6,11,13,13,0,11,rural,0,1,0
2015,Mariposa,80 - 84 years,18,10,10,10,10,10,0,0,0,0,6,0,0,0,17,0,18,0,6,6,0,0,11,13,6,13,0,6,rural,0,1,0
2015,Mariposa,85 - 89 years,19,10,10,17,10,13,0,0,0,6,0,6,0,0,36,6,38,0,6,22,6,0,13,16,24,20,0,20,rural,0,1,0
2015,Mariposa,90 - 94 years,20,10,10,10,10,10,0,0,0,0,0,0,0,0,12,0,11,6,6,6,6,0,6,6,6,6,0,6,rural,0,1,0
2015,Mariposa,95 - 99 years,21,0,0,10,10,10,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,0,6,6,6,6,0,6,rural,0,1,0
2015,Mariposa,100 years and over,22,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,6,6,6,0,6,rural,0,1,0
2015,Mendocino,Less than 1 year,1,0,0,0,10,0,0,0,0,6,0,0,0,0,6,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
2015,Mendocino,1 - 4 years,2,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
2015,Mendocino,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Mendocino,10 - 14 years,4,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
2015,Mendocino,15 - 19 years,5,0,0,10,10,0,0,0,0,6,0,6,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Mendocino,20 - 24 years,6,0,0,10,0,10,0,0,0,0,6,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Mendocino,25 - 29 years,7,10,0,10,0,10,0,0,0,6,6,0,0,0,6,6,6,0,0,6,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Mendocino,30 - 34 years,8,0,10,10,10,10,0,0,0,6,0,6,0,0,6,6,6,0,6,6,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Mendocino,35 - 39 years,9,10,0,10,0,10,0,0,0,0,6,6,0,0,6,0,11,0,6,6,6,6,0,6,6,6,0,6,rural,0,1,0
2015,Mendocino,40 - 44 years,10,10,10,10,10,10,0,0,0,6,0,6,0,0,6,6,12,0,6,6,6,0,0,6,6,13,0,0,rural,0,1,0
2015,Mendocino,45 - 49 years,11,10,0,10,10,10,0,0,0,6,0,0,0,0,11,6,12,0,6,6,6,0,6,6,6,13,0,6,rural,0,1,0
2015,Mendocino,50 - 54 years,12,10,0,17,11,10,10,6,0,6,6,6,0,0,29,6,35,0,13,15,6,0,6,15,23,34,6,6,rural,0,1,0
2015,Mendocino,55 - 59 years,13,10,0,23,11,10,0,0,6,6,6,6,0,0,41,6,42,0,13,17,11,0,6,22,24,41,0,6,rural,0,1,0
2015,Mendocino,60 - 64 years,14,10,10,33,10,24,0,6,0,6,6,6,0,0,63,6,66,6,25,38,6,0,6,27,48,65,0,6,rural,0,1,0
2015,Mendocino,65 - 69 years,15,10,10,30,11,31,10,0,0,6,6,6,0,0,84,6,79,6,25,37,14,6,13,34,57,67,6,21,rural,0,1,0
2015,Mendocino,70 - 74 years,16,10,10,29,15,18,10,6,0,6,6,6,0,0,73,11,70,6,24,34,6,6,15,29,53,55,6,25,rural,0,1,0
2015,Mendocino,75 - 79 years,17,11,10,35,12,20,10,0,0,6,6,6,0,6,80,6,80,6,20,38,6,6,22,41,47,65,6,22,rural,0,1,0
2015,Mendocino,80 - 84 years,18,18,10,39,16,19,10,6,0,6,6,6,0,0,90,6,91,6,26,43,6,6,25,40,59,55,0,44,rural,0,1,0
2015,Mendocino,85 - 89 years,19,12,10,36,23,24,10,6,0,6,6,6,0,0,89,11,91,0,6,42,0,0,54,56,46,65,0,37,rural,0,1,0
2015,Mendocino,90 - 94 years,20,14,10,47,17,15,10,0,0,6,0,6,0,0,97,6,94,0,14,23,6,0,63,59,42,60,0,41,rural,0,1,0
2015,Mendocino,95 - 99 years,21,10,10,23,10,10,0,0,6,6,0,0,0,0,41,6,38,6,6,6,0,0,31,25,19,30,0,14,rural,0,1,0
2015,Mendocino,100 years and over,22,10,10,10,10,10,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,6,6,6,6,0,0,rural,0,1,0
2015,Merced,Less than 1 year,1,0,0,0,23,0,0,6,6,18,0,0,0,0,6,0,23,0,0,0,23,0,0,13,6,23,0,0,suburban,0,0,1
2015,Merced,1 - 4 years,2,0,0,0,10,0,0,0,0,6,0,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,suburban,0,0,1
2015,Merced,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suburban,0,0,1
2015,Merced,10 - 14 years,4,0,0,0,10,0,0,0,0,6,0,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,suburban,0,0,1
2015,Merced,15 - 19 years,5,0,0,10,10,10,0,6,0,6,0,0,0,0,6,6,6,0,0,0,11,0,0,6,6,11,0,0,suburban,0,0,1
2015,Merced,20 - 24 years,6,0,0,17,10,10,0,6,0,21,0,0,0,0,6,6,24,0,0,6,25,0,0,6,22,26,0,6,suburban,0,0,1
2015,Merced,25 - 29 years,7,0,0,14,10,15,0,6,6,18,0,0,0,0,11,6,30,0,6,6,27,0,0,6,27,33,0,6,suburban,0,0,1
2015,Merced,30 - 34 years,8,10,10,12,10,10,10,0,6,14,0,0,0,0,6,6,19,0,6,6,15,6,0,6,17,24,0,0,suburban,0,0,1
2015,Merced,35 - 39 years,9,0,0,10,17,10,0,0,6,19,0,0,0,0,11,13,19,0,6,11,18,0,6,13,19,31,0,6,suburban,0,0,1
2015,Merced,40 - 44 years,10,10,0,12,10,10,0,0,6,6,6,0,0,0,19,6,26,0,6,6,15,0,6,11,18,29,0,0,suburban,0,0,1
2015,Merced,45 - 49 years,11,10,10,32,18,10,0,6,6,23,6,0,0,0,31,18,44,0,16,25,20,0,6,22,40,61,0,6,suburban,0,0,1
2015,Merced,50 - 54 years,12,10,10,44,21,18,10,6,6,37,0,0,0,6,38,25,61,6,23,39,21,0,6,43,44,83,0,6,suburban,0,0,1
2015,Merced,55 - 59 years,13,10,10,44,26,30,10,6,6,27,0,0,0,0,74,24,88,6,42,47,15,6,6,52,62,101,0,13,suburban,0,0,1
2015,Merced,60 - 64 years,14,11,10,52,33,29,10,6,12,39,6,0,0,6,70,31,99,6,41,58,18,6,13,48,85,111,0,22,suburban,0,0,1
2015,Merced,65 - 69 years,15,10,10,58,35,36,10,6,6,29,6,0,0,6,95,30,113,6,41,70,6,6,20,59,85,104,6,38,suburban,0,0,1
2015,Merced,70 - 74 years,16,16,10,54,54,32,10,6,6,38,6,0,0,6,108,38,124,6,37,78,6,6,38,68,96,127,6,36,suburban,0,0,1
2015,Merced,75 - 79 years,17,12,10,59,48,37,10,6,13,42,6,6,0,6,103,32,130,6,26,91,6,6,41,74,91,108,6,56,suburban,0,0,1
2015,Merced,80 - 84 years,18,10,10,68,83,40,10,11,6,47,0,6,0,6,140,58,150,6,14,80,6,6,110,106,105,154,0,57,suburban,0,0,1
2015,Merced,85 - 89 years,19,15,10,72,70,33,10,6,6,44,6,0,6,0,142,37,164,6,11,66,6,0,121,120,82,157,0,45,suburban,0,0,1
2015,Merced,90 - 94 years,20,10,10,47,61,21,10,6,6,36,0,0,0,0,103,35,109,6,6,32,6,0,99,81,65,103,6,41,suburban,0,0,1
2015,Merced,95 - 99 years,21,0,10,34,29,10,10,6,0,6,6,0,0,0,67,12,61,6,6,6,0,0,65,54,20,60,0,14,suburban,0,0,1
2015,Merced,100 years and over,22,10,0,10,10,10,0,0,0,6,0,0,0,0,6,6,6,0,0,0,0,0,12,12,0,12,0,0,suburban,0,0,1
2015,Modoc,Less than 1 year,1,0,0,0,10,0,0,0,0,0,6,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,rural,0,1,0
2015,Modoc,1 - 4 years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Modoc,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Modoc,10 - 14 years,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Modoc,15 - 19 years,5,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
2015,Modoc,20 - 24 years,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Modoc,25 - 29 years,7,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
2015,Modoc,30 - 34 years,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Modoc,35 - 39 years,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Modoc,40 - 44 years,10,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,0,0,6,0,6,0,0,rural,0,1,0
2015,Modoc,45 - 49 years,11,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,0,0,0,6,6,0,0,rural,0,1,0
2015,Modoc,50 - 54 years,12,0,0,10,0,10,0,0,0,0,0,6,0,0,6,0,6,0,6,6,6,0,0,6,6,6,0,6,rural,0,1,0
2015,Modoc,55 - 59 years,13,0,0,10,10,10,0,0,0,0,0,6,0,0,6,0,6,0,6,6,6,0,0,6,6,6,0,6,rural,0,1,0
2015,Modoc,60 - 64 years,14,10,10,10,0,10,10,0,0,6,0,6,0,0,6,0,6,0,6,6,0,0,6,6,6,6,6,6,rural,0,1,0
2015,Modoc,65 - 69 years,15,0,10,10,0,10,10,0,0,0,0,0,0,0,6,0,6,0,6,6,6,0,6,0,6,6,0,6,rural,0,1,0
2015,Modoc,70 - 74 years,16,10,0,10,0,10,0,0,6,6,0,0,0,0,6,0,6,0,6,6,0,0,6,6,6,6,0,6,rural,0,1,0
2015,Modoc,75 - 79 years,17,0,0,13,10,10,0,0,0,0,0,0,0,0,25,0,25,0,6,16,6,0,6,6,16,20,0,6,rural,0,1,0
2015,Modoc,80 - 84 years,18,10,0,10,10,10,0,0,6,6,0,0,0,0,13,6,14,0,6,6,6,0,6,6,6,12,0,6,rural,0,1,0
2015,Modoc,85 - 89 years,19,10,0,10,10,10,0,6,6,0,0,0,0,0,16,6,17,0,6,6,0,0,6,11,6,13,0,6,rural,0,1,0
2015,Modoc,90 - 94 years,20,10,10,10,10,10,0,0,0,0,0,0,0,0,11,6,6,0,0,6,0,0,6,6,6,6,0,6,rural,0,1,0
2015,Modoc,95 - 99 years,21,0,0,10,10,10,0,0,0,6,0,0,0,0,6,0,6,0,0,0,0,0,6,0,6,6,0,6,rural,0,1,0
2015,Modoc,100 years and over,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Mono,Less than 1 year,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Mono,1 - 4 years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Mono,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2015,Mono,10 - 14 years,4,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
2015,Mono,15 - 19 years,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
