Year_of_Death,County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
2014,Alpine,45 - 49 years,11,0,0,10,0,0,0,0,0,0,0,6,0,6,0,0,6,0,6,0,0,0,0,6,0,6,0,0,rural,0,1,0
2014,Alpine,50 - 54 years,12,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,rural,0,1,0
2014,Alpine,55 - 59 years,13,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,6,0,0,rural,0,1,0
2014,Alpine,60 - 64 years,14,10,0,0,0,10,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,0,0,6,6,6,0,0,rural,0,1,0
2014,Alpine,65 - 69 years,15,10,10,10,0,10,0,0,0,6,0,6,0,0,6,0,6,0,6,6,6,0,0,6,6,6,0,6,rural,0,1,0
2014,Alpine,70 - 74 years,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Alpine,75 - 79 years,17,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,6,6,0,0,rural,0,1,0
2014,Alpine,80 - 84 years,18,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,0,0,0,6,0,0,6,rural,0,1,0
2014,Alpine,85 - 89 years,19,0,0,10,0,0,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,6,6,6,0,6,rural,0,1,0
2014,Alpine,90 - 94 years,20,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6,0,6,0,0,rural,0,1,0
2014,Alpine,95 - 99 years,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Alpine,100 years and over,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Amador,Less than 1 year,1,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
2014,Amador,1 - 4 years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Amador,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Amador,10 - 14 years,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Amador,15 - 19 years,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Amador,20 - 24 years,6,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
2014,Amador,25 - 29 years,7,0,0,10,10,10,0,0,0,0,0,0,0,0,6,0,6,0,6,6,6,0,0,6,6,6,0,0,rural,0,1,0
2014,Amador,30 - 34 years,8,0,0,10,0,10,0,0,0,0,0,6,0,0,6,0,6,0,6,6,6,0,0,6,6,6,0,6,rural,0,1,0
2014,Amador,35 - 39 years,9,0,0,10,0,10,0,0,0,0,0,0,0,0,6,0,6,0,6,6,6,0,0,0,6,6,0,0,rural,0,1,0
2014,Amador,40 - 44 years,10,0,0,10,0,10,0,0,0,0,0,0,0,0,6,0,6,0,6,6,6,0,0,6,6,6,0,0,rural,0,1,0
2014,Amador,45 - 49 years,11,0,10,10,0,0,0,0,0,6,0,6,0,0,6,6,6,0,6,0,6,0,0,6,6,6,6,0,rural,0,1,0
2014,Amador,50 - 54 years,12,0,0,10,10,10,0,0,0,0,0,0,0,0,14,0,13,6,6,6,6,0,6,6,6,13,0,6,rural,0,1,0
2014,Amador,55 - 59 years,13,10,0,12,10,10,0,6,0,6,0,0,0,0,21,0,24,0,6,6,6,0,6,6,19,19,0,6,rural,0,1,0
2014,Amador,60 - 64 years,14,10,0,14,10,10,0,6,6,6,0,6,0,0,23,6,24,0,6,13,6,0,6,13,15,24,0,6,rural,0,1,0
2014,Amador,65 - 69 years,15,10,10,16,10,12,10,0,0,6,0,0,0,0,37,6,35,0,11,20,6,0,6,6,28,24,0,14,rural,0,1,0
2014,Amador,70 - 74 years,16,10,10,13,10,18,0,0,0,6,0,0,0,0,41,0,42,0,6,25,6,0,6,13,29,26,0,16,rural,0,1,0
2014,Amador,75 - 79 years,17,10,10,16,10,18,10,0,6,0,0,0,0,0,44,6,42,6,6,27,6,6,6,16,29,22,6,21,rural,0,1,0
2014,Amador,80 - 84 years,18,10,10,19,10,17,10,0,0,6,0,0,0,0,47,6,47,0,6,24,6,0,19,23,26,30,0,19,rural,0,1,0
2014,Amador,85 - 89 years,19,10,10,36,15,15,10,0,0,6,0,0,0,0,76,6,76,6,6,32,6,0,37,37,42,44,0,35,rural,0,1,0
2014,Amador,90 - 94 years,20,10,10,38,10,10,0,6,0,6,0,6,0,0,58,6,60,0,6,19,6,0,40,37,26,40,0,23,rural,0,1,0
2014,Amador,95 - 99 years,21,10,10,17,10,10,10,0,6,6,0,0,0,0,29,6,30,0,6,6,6,0,24,18,13,21,0,6,rural,0,1,0
2014,Amador,100 years and over,22,0,10,0,10,10,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,6,6,6,0,0,rural,0,1,0
2014,Butte,Less than 1 year,1,0,0,0,11,0,0,0,6,6,6,0,0,0,6,0,11,0,0,0,11,0,0,6,6,11,0,0,suburban,0,0,1
2014,Butte,1 - 4 years,2,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,0,6,6,0,0,suburban,0,0,1
2014,Butte,5 - 9 years,3,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,suburban,0,0,1
2014,Butte,10 - 14 years,4,0,0,0,10,0,0,0,0,6,0,0,0,0,6,0,6,0,0,0,6,0,0,0,6,6,0,0,suburban,0,0,1
2014,Butte,15 - 19 years,5,0,0,10,10,10,0,6,0,6,0,0,0,0,6,6,6,0,0,0,6,6,0,6,6,6,0,0,suburban,0,0,1
2014,Butte,20 - 24 years,6,0,0,10,10,10,0,6,0,6,6,0,0,0,6,6,15,0,0,6,15,0,0,6,11,16,0,0,suburban,0,0,1
2014,Butte,25 - 29 years,7,10,0,10,0,10,0,0,6,0,6,6,0,0,12,0,15,0,6,6,12,0,0,6,13,14,0,6,suburban,0,0,1
2014,Butte,30 - 34 years,8,10,0,10,10,10,0,6,0,6,6,6,0,0,6,6,6,0,6,6,6,0,0,6,6,6,0,6,suburban,0,0,1
2014,Butte,35 - 39 years,9,0,0,13,10,10,0,6,0,6,6,0,0,0,17,6,18,0,6,6,6,0,6,11,11,21,0,6,suburban,0,0,1
2014,Butte,40 - 44 years,10,10,0,10,10,11,10,0,6,6,6,6,0,0,19,6,19,6,6,6,6,6,0,6,16,21,6,6,suburban,0,0,1
2014,Butte,45 - 49 years,11,10,10,13,10,14,0,6,6,6,0,0,0,0,39,6,38,0,19,12,12,0,6,12,32,41,0,6,suburban,0,0,1
2014,Butte,50 - 54 years,12,10,10,27,20,25,10,0,0,6,0,6,0,0,70,6,78,6,25,28,24,0,6,27,55,73,6,6,suburban,0,0,1
2014,Butte,55 - 59 years,13,18,10,58,29,27,10,6,6,6,6,6,0,0,121,6,128,6,54,45,31,6,6,51,89,119,6,18,suburban,0,0,1
2014,Butte,60 - 64 years,14,16,10,69,30,58,10,6,6,6,6,6,0,6,165,6,170,6,73,73,26,6,6,79,105,146,6,36,suburban,0,0,1
2014,Butte,65 - 69 years,15,30,11,55,30,49,10,6,6,6,6,6,0,6,158,11,167,6,67,75,19,6,15,77,103,124,6,54,suburban,0,0,1
2014,Butte,70 - 74 years,16,15,10,82,30,42,10,0,6,6,6,6,0,0,166,6,168,6,53,75,6,0,40,84,94,132,6,43,suburban,0,0,1
2014,Butte,75 - 79 years,17,23,17,84,34,53,10,6,6,6,6,6,0,0,194,19,197,6,41,107,6,6,64,106,112,155,6,60,suburban,0,0,1
2014,Butte,80 - 84 years,18,34,20,110,48,60,10,6,6,6,6,6,0,0,259,15,261,6,36,102,6,0,130,132,145,163,6,112,suburban,0,0,1
2014,Butte,85 - 89 years,19,40,23,122,64,65,10,6,6,17,6,6,0,0,289,27,289,0,30,92,6,0,188,172,144,197,6,117,suburban,0,0,1
2014,Butte,90 - 94 years,20,38,12,110,31,55,10,6,6,6,6,6,0,0,238,13,237,0,13,61,6,6,169,153,97,156,6,92,suburban,0,0,1
2014,Butte,95 - 99 years,21,10,10,52,18,30,10,0,0,6,0,0,0,0,115,6,109,6,6,14,6,0,96,83,37,91,0,29,suburban,0,0,1
2014,Butte,100 years and over,22,10,0,12,10,10,0,0,0,0,0,0,0,0,17,6,16,0,0,6,0,0,16,13,6,16,0,6,suburban,0,0,1
2014,Calaveras,Less than 1 year,1,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,rural,0,1,0
2014,Calaveras,1 - 4 years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Calaveras,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Calaveras,10 - 14 years,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Calaveras,15 - 19 years,5,0,0,10,10,0,0,0,0,6,0,0,0,0,6,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
2014,Calaveras,20 - 24 years,6,0,0,10,0,10,0,0,0,0,0,0,6,0,6,0,6,0,0,0,6,0,6,6,6,6,0,0,rural,0,1,0
