Year_of_Death,County_of_Residence,Age,Education_level,Total_Deaths_Education,age_cat,education_cat,Description
2014,Alameda,70 - 74 years,Less than High School,116,16,4,urban
2014,Alameda,70 - 74 years,Graduate Degree,101,16,2,urban
2014,Alameda,70 - 74 years,Bachelor's Degree,139,16,1,urban
2014,Alameda,70 - 74 years,"Some College Credit, No 4-Year Degree",170,16,5,urban
2014,Alameda,70 - 74 years,High School Graduate or GED Completed,259,16,3,urban
2014,Alameda,70 - 74 years,Unknown,26,16,6,urban
2014,Alameda,75 - 79 years,Graduate Degree,115,17,2,urban
2014,Alameda,75 - 79 years,Less than High School,160,17,4,urban
2014,Alameda,75 - 79 years,Bachelor's Degree,113,17,1,urban
2014,Alameda,75 - 79 years,Unknown,21,17,6,urban
2014,Alameda,75 - 79 years,High School Graduate or GED Completed,328,17,3,urban
2014,Alameda,75 - 79 years,"Some College Credit, No 4-Year Degree",171,17,5,urban
2014,Alameda,80 - 84 years,Graduate Degree,113,18,2,urban
2014,Alameda,80 - 84 years,Bachelor's Degree,185,18,1,urban
2014,Alameda,80 - 84 years,Less than High School,194,18,4,urban
2014,Alameda,80 - 84 years,High School Graduate or GED Completed,387,18,3,urban
2014,Alameda,80 - 84 years,Unknown,18,18,6,urban
2014,Alameda,80 - 84 years,"Some College Credit, No 4-Year Degree",207,18,5,urban
2014,Alameda,85 - 89 years,Bachelor's Degree,196,19,1,urban
2014,Alameda,85 - 89 years,High School Graduate or GED Completed,502,19,3,urban
2014,Alameda,85 - 89 years,Unknown,15,19,6,urban
2014,Alameda,85 - 89 years,Less than High School,281,19,4,urban
2014,Alameda,85 - 89 years,Graduate Degree,135,19,2,urban
2014,Alameda,85 - 89 years,"Some College Credit, No 4-Year Degree",216,19,5,urban
2014,Alameda,90 - 94 years,Bachelor's Degree,165,20,1,urban
2014,Alameda,90 - 94 years,Graduate Degree,131,20,2,urban
2014,Alameda,90 - 94 years,"Some College Credit, No 4-Year Degree",223,20,5,urban
2014,Alameda,90 - 94 years,High School Graduate or GED Completed,496,20,3,urban
2014,Alameda,90 - 94 years,Unknown,16,20,6,urban
2014,Alameda,90 - 94 years,Less than High School,260,20,4,urban
2014,Alameda,95 - 99 years,"Some College Credit, No 4-Year Degree",84,21,5,urban
2014,Alameda,95 - 99 years,High School Graduate or GED Completed,175,21,3,urban
2014,Alameda,95 - 99 years,Unknown,10,21,6,urban
2014,Alameda,95 - 99 years,Graduate Degree,47,21,2,urban
2014,Alameda,95 - 99 years,Bachelor's Degree,65,21,1,urban
2014,Alameda,95 - 99 years,Less than High School,120,21,4,urban
2014,Alameda,100 years and over,Bachelor's Degree,17,22,1,urban
2014,Alameda,100 years and over,Less than High School,52,22,4,urban
2014,Alameda,100 years and over,High School Graduate or GED Completed,48,22,3,urban
2014,Alameda,100 years and over,Unknown,10,22,6,urban
2014,Alameda,100 years and over,"Some College Credit, No 4-Year Degree",11,22,5,urban
2014,Alameda,100 years and over,Graduate Degree,10,22,2,urban
2014,Alpine,Less than 1 year,"Some College Credit, No 4-Year Degree",0,1,5,rural
2014,Alpine,Less than 1 year,Graduate Degree,0,1,2,rural
2014,Alpine,Less than 1 year,Unknown,0,1,6,rural
2014,Alpine,Less than 1 year,Less than High School,0,1,4,rural
2014,Alpine,Less than 1 year,High School Graduate or GED Completed,0,1,3,rural
2014,Alpine,Less than 1 year,Bachelor's Degree,0,1,1,rural
2014,Alpine,1 - 4 years,Bachelor's Degree,0,2,1,rural
2014,Alpine,1 - 4 years,"Some College Credit, No 4-Year Degree",0,2,5,rural
2014,Alpine,1 - 4 years,High School Graduate or GED Completed,0,2,3,rural
2014,Alpine,1 - 4 years,Less than High School,0,2,4,rural
