Year_of_Death,County_of_Residence,Age,Sex,Total_Deaths_sex,age_cat,sex_cat,Description
2014,San Francisco,5 - 9 years,Male,6,3,2,urban
2014,San Francisco,10 - 14 years,Female,6,4,1,urban
2014,San Francisco,10 - 14 years,Male,6,4,2,urban
2014,San Francisco,15 - 19 years,Female,6,5,1,urban
2014,San Francisco,15 - 19 years,Male,6,5,2,urban
2014,San Francisco,20 - 24 years,Male,24,6,2,urban
2014,San Francisco,20 - 24 years,Female,6,6,1,urban
2014,San Francisco,25 - 29 years,Female,6,7,1,urban
2014,San Francisco,25 - 29 years,Male,29,7,2,urban
2014,San Francisco,30 - 34 years,Male,37,8,2,urban
2014,San Francisco,30 - 34 years,Female,15,8,1,urban
2014,San Francisco,35 - 39 years,Female,17,9,1,urban
2014,San Francisco,35 - 39 years,Male,33,9,2,urban
2014,San Francisco,40 - 44 years,Female,33,10,1,urban
2014,San Francisco,40 - 44 years,Male,61,10,2,urban
2014,San Francisco,45 - 49 years,Male,115,11,2,urban
2014,San Francisco,45 - 49 years,Female,34,11,1,urban
2014,San Francisco,50 - 54 years,Male,148,12,2,urban
2014,San Francisco,50 - 54 years,Female,66,12,1,urban
2014,San Francisco,55 - 59 years,Female,99,13,1,urban
2014,San Francisco,55 - 59 years,Male,197,13,2,urban
2014,San Francisco,60 - 64 years,Female,151,14,1,urban
2014,San Francisco,60 - 64 years,Male,279,14,2,urban
2014,San Francisco,65 - 69 years,Male,264,15,2,urban
2014,San Francisco,65 - 69 years,Female,158,15,1,urban
2014,San Francisco,70 - 74 years,Male,245,16,2,urban
2014,San Francisco,70 - 74 years,Female,165,16,1,urban
2014,San Francisco,75 - 79 years,Female,189,17,1,urban
2014,San Francisco,75 - 79 years,Male,291,17,2,urban
2014,San Francisco,80 - 84 years,Male,341,18,2,urban
2014,San Francisco,80 - 84 years,Female,305,18,1,urban
2014,San Francisco,85 - 89 years,Male,373,19,2,urban
2014,San Francisco,85 - 89 years,Female,495,19,1,urban
2014,San Francisco,90 - 94 years,Male,290,20,2,urban
2014,San Francisco,90 - 94 years,Female,439,20,1,urban
2014,San Francisco,95 - 99 years,Female,243,21,1,urban
2014,San Francisco,95 - 99 years,Male,103,21,2,urban
2014,San Francisco,100 years and over,Male,20,22,2,urban
2014,San Francisco,100 years and over,Female,84,22,1,urban
2014,San Joaquin,Less than 1 year,Male,29,1,2,urban
2014,San Joaquin,Less than 1 year,Female,31,1,1,urban
2014,San Joaquin,1 - 4 years,Female,6,2,1,urban
2014,San Joaquin,1 - 4 years,Male,6,2,2,urban
2014,San Joaquin,5 - 9 years,Female,6,3,1,urban
2014,San Joaquin,5 - 9 years,Male,6,3,2,urban
2014,San Joaquin,10 - 14 years,Male,6,4,2,urban
2014,San Joaquin,10 - 14 years,Female,6,4,1,urban
2014,San Joaquin,15 - 19 years,Female,6,5,1,urban
2014,San Joaquin,15 - 19 years,Male,30,5,2,urban
2014,San Joaquin,20 - 24 years,Male,41,6,2,urban
2014,San Joaquin,20 - 24 years,Female,6,6,1,urban
2014,San Joaquin,25 - 29 years,Female,14,7,1,urban
2014,San Joaquin,25 - 29 years,Male,43,7,2,urban
2014,San Joaquin,30 - 34 years,Male,33,8,2,urban
2014,San Joaquin,30 - 34 years,Female,26,8,1,urban
2014,San Joaquin,35 - 39 years,Male,34,9,2,urban
2014,San Joaquin,35 - 39 years,Female,28,9,1,urban
2014,San Joaquin,40 - 44 years,Female,30,10,1,urban
2014,San Joaquin,40 - 44 years,Male,65,10,2,urban
2014,San Joaquin,45 - 49 years,Female,62,11,1,urban
2014,San Joaquin,45 - 49 years,Male,111,11,2,urban
2014,San Joaquin,50 - 54 years,Female,94,12,1,urban
2014,San Joaquin,50 - 54 years,Male,172,12,2,urban
2014,San Joaquin,55 - 59 years,Male,216,13,2,urban
2014,San Joaquin,55 - 59 years,Female,150,13,1,urban
2014,San Joaquin,60 - 64 years,Female,172,14,1,urban
2014,San Joaquin,60 - 64 years,Male,240,14,2,urban
2014,San Joaquin,65 - 69 years,Female,187,15,1,urban
2014,San Joaquin,65 - 69 years,Male,252,15,2,urban
2014,San Joaquin,70 - 74 years,Female,227,16,1,urban
2014,San Joaquin,70 - 74 years,Male,254,16,2,urban
2014,San Joaquin,75 - 79 years,Female,247,17,1,urban
2014,San Joaquin,75 - 79 years,Male,304,17,2,urban
2014,San Joaquin,80 - 84 years,Female,300,18,1,urban
2014,San Joaquin,80 - 84 years,Male,281,18,2,urban
2014,San Joaquin,85 - 89 years,Female,390,19,1,urban
2014,San Joaquin,85 - 89 years,Male,303,19,2,urban
2014,San Joaquin,90 - 94 years,Male,231,20,2,urban
2014,San Joaquin,90 - 94 years,Female,353,20,1,urban
2014,San Joaquin,95 - 99 years,Female,147,21,1,urban
2014,San Joaquin,95 - 99 years,Male,70,21,2,urban
2014,San Joaquin,100 years and over,Male,6,22,2,urban
2014,San Joaquin,100 years and over,Female,36,22,1,urban
2014,San Luis Obispo,Less than 1 year,Female,6,1,1,suburban
2014,San Luis Obispo,Less than 1 year,Male,6,1,2,suburban
2014,San Luis Obispo,1 - 4 years,Female,6,2,1,suburban
2014,San Luis Obispo,1 - 4 years,Male,6,2,2,suburban
2014,San Luis Obispo,5 - 9 years,Female,6,3,1,suburban
2014,San Luis Obispo,5 - 9 years,Male,0,3,2,suburban
2014,San Luis Obispo,10 - 14 years,Male,6,4,2,suburban
2014,San Luis Obispo,10 - 14 years,Female,6,4,1,suburban
2014,San Luis Obispo,15 - 19 years,Female,6,5,1,suburban
2014,San Luis Obispo,15 - 19 years,Male,6,5,2,suburban
2014,San Luis Obispo,20 - 24 years,Male,6,6,2,suburban
2014,San Luis Obispo,20 - 24 years,Female,6,6,1,suburban
2014,San Luis Obispo,25 - 29 years,Male,6,7,2,suburban
2014,San Luis Obispo,25 - 29 years,Female,6,7,1,suburban
2014,San Luis Obispo,30 - 34 years,Female,6,8,1,suburban
2014,San Luis Obispo,30 - 34 years,Male,12,8,2,suburban
2014,San Luis Obispo,35 - 39 years,Male,6,9,2,suburban
2014,San Luis Obispo,35 - 39 years,Female,6,9,1,suburban
2014,San Luis Obispo,40 - 44 years,Female,17,10,1,suburban
2014,San Luis Obispo,40 - 44 years,Male,14,10,2,suburban
2014,San Luis Obispo,45 - 49 years,Male,28,11,2,suburban
2014,San Luis Obispo,45 - 49 years,Female,20,11,1,suburban
2014,San Luis Obispo,50 - 54 years,Male,49,12,2,suburban
2014,San Luis Obispo,50 - 54 years,Female,32,12,1,suburban
2014,San Luis Obispo,55 - 59 years,Male,60,13,2,suburban
2014,San Luis Obispo,55 - 59 years,Female,38,13,1,suburban
2014,San Luis Obispo,60 - 64 years,Female,66,14,1,suburban
2014,San Luis Obispo,60 - 64 years,Male,74,14,2,suburban
2014,San Luis Obispo,65 - 69 years,Female,74,15,1,suburban
2014,San Luis Obispo,65 - 69 years,Male,116,15,2,suburban
2014,San Luis Obispo,70 - 74 years,Male,103,16,2,suburban
2014,San Luis Obispo,70 - 74 years,Female,89,16,1,suburban
2014,San Luis Obispo,75 - 79 years,Female,86,17,1,suburban
2014,San Luis Obispo,75 - 79 years,Male,104,17,2,suburban
2014,San Luis Obispo,80 - 84 years,Female,146,18,1,suburban
2014,San Luis Obispo,80 - 84 years,Male,140,18,2,suburban
2014,San Luis Obispo,85 - 89 years,Male,187,19,2,suburban
2014,San Luis Obispo,85 - 89 years,Female,201,19,1,suburban
2014,San Luis Obispo,90 - 94 years,Male,137,20,2,suburban
2014,San Luis Obispo,90 - 94 years,Female,221,20,1,suburban
2014,San Luis Obispo,95 - 99 years,Male,48,21,2,suburban
2014,San Luis Obispo,95 - 99 years,Female,105,21,1,suburban
2014,San Luis Obispo,100 years and over,Female,18,22,1,suburban
2014,San Luis Obispo,100 years and over,Male,6,22,2,suburban
2014,San Mateo,Less than 1 year,Male,19,1,2,urban
2014,San Mateo,Less than 1 year,Female,6,1,1,urban
2014,San Mateo,1 - 4 years,Female,6,2,1,urban
2014,San Mateo,1 - 4 years,Male,6,2,2,urban
2014,San Mateo,5 - 9 years,Male,6,3,2,urban
2014,San Mateo,5 - 9 years,Female,6,3,1,urban
2014,San Mateo,10 - 14 years,Female,6,4,1,urban
2014,San Mateo,10 - 14 years,Male,6,4,2,urban
2014,San Mateo,15 - 19 years,Female,6,5,1,urban
2014,San Mateo,15 - 19 years,Male,6,5,2,urban
2014,San Mateo,20 - 24 years,Female,6,6,1,urban
2014,San Mateo,20 - 24 years,Male,6,6,2,urban
2014,San Mateo,25 - 29 years,Female,6,7,1,urban
2014,San Mateo,25 - 29 years,Male,15,7,2,urban
2014,San Mateo,30 - 34 years,Male,21,8,2,urban
2014,San Mateo,30 - 34 years,Female,6,8,1,urban
2014,San Mateo,35 - 39 years,Male,20,9,2,urban
2014,San Mateo,35 - 39 years,Female,20,9,1,urban
2014,San Mateo,40 - 44 years,Female,23,10,1,urban
2014,San Mateo,40 - 44 years,Male,35,10,2,urban
2014,San Mateo,45 - 49 years,Male,49,11,2,urban
2014,San Mateo,45 - 49 years,Female,25,11,1,urban
2014,San Mateo,50 - 54 years,Male,82,12,2,urban
2014,San Mateo,50 - 54 years,Female,53,12,1,urban
2014,San Mateo,55 - 59 years,Male,122,13,2,urban
2014,San Mateo,55 - 59 years,Female,87,13,1,urban
2014,San Mateo,60 - 64 years,Female,82,14,1,urban
2014,San Mateo,60 - 64 years,Male,180,14,2,urban
2014,San Mateo,65 - 69 years,Male,202,15,2,urban
2014,San Mateo,65 - 69 years,Female,138,15,1,urban
2014,San Mateo,70 - 74 years,Male,193,16,2,urban
2014,San Mateo,70 - 74 years,Female,161,16,1,urban
2014,San Mateo,75 - 79 years,Female,202,17,1,urban
2014,San Mateo,75 - 79 years,Male,250,17,2,urban
2014,San Mateo,80 - 84 years,Female,322,18,1,urban
2014,San Mateo,80 - 84 years,Male,311,18,2,urban
2014,San Mateo,85 - 89 years,Female,412,19,1,urban
2014,San Mateo,85 - 89 years,Male,356,19,2,urban
2014,San Mateo,90 - 94 years,Female,448,20,1,urban
2014,San Mateo,90 - 94 years,Male,264,20,2,urban
2014,San Mateo,95 - 99 years,Female,213,21,1,urban
2014,San Mateo,95 - 99 years,Male,92,21,2,urban
2014,San Mateo,100 years and over,Male,18,22,2,urban
2014,San Mateo,100 years and over,Female,62,22,1,urban
2014,Santa Barbara,Less than 1 year,Female,12,1,1,suburban
2014,Santa Barbara,Less than 1 year,Male,6,1,2,suburban
2014,Santa Barbara,1 - 4 years,Female,0,2,1,suburban
2014,Santa Barbara,1 - 4 years,Male,6,2,2,suburban
2014,Santa Barbara,5 - 9 years,Male,6,3,2,suburban
2014,Santa Barbara,5 - 9 years,Female,0,3,1,suburban
2014,Santa Barbara,10 - 14 years,Female,0,4,1,suburban
2014,Santa Barbara,10 - 14 years,Male,6,4,2,suburban
2014,Santa Barbara,15 - 19 years,Male,6,5,2,suburban
2014,Santa Barbara,15 - 19 years,Female,0,5,1,suburban
2014,Santa Barbara,20 - 24 years,Male,15,6,2,suburban
2014,Santa Barbara,20 - 24 years,Female,6,6,1,suburban
2014,Santa Barbara,25 - 29 years,Female,6,7,1,suburban
2014,Santa Barbara,25 - 29 years,Male,13,7,2,suburban
2014,Santa Barbara,30 - 34 years,Male,21,8,2,suburban
2014,Santa Barbara,30 - 34 years,Female,6,8,1,suburban
2014,Santa Barbara,35 - 39 years,Male,12,9,2,suburban
2014,Santa Barbara,35 - 39 years,Female,17,9,1,suburban
2014,Santa Barbara,40 - 44 years,Female,14,10,1,suburban
2014,Santa Barbara,40 - 44 years,Male,27,10,2,suburban
2014,Santa Barbara,45 - 49 years,Male,43,11,2,suburban
2014,Santa Barbara,45 - 49 years,Female,18,11,1,suburban
2014,Santa Barbara,50 - 54 years,Male,74,12,2,suburban
2014,Santa Barbara,50 - 54 years,Female,47,12,1,suburban
2014,Santa Barbara,55 - 59 years,Male,78,13,2,suburban
2014,Santa Barbara,55 - 59 years,Female,61,13,1,suburban
2014,Santa Barbara,60 - 64 years,Female,67,14,1,suburban
2014,Santa Barbara,60 - 64 years,Male,126,14,2,suburban
2014,Santa Barbara,65 - 69 years,Male,100,15,2,suburban
2014,Santa Barbara,65 - 69 years,Female,91,15,1,suburban
2014,Santa Barbara,70 - 74 years,Female,102,16,1,suburban
2014,Santa Barbara,70 - 74 years,Male,132,16,2,suburban
2014,Santa Barbara,75 - 79 years,Female,123,17,1,suburban
2014,Santa Barbara,75 - 79 years,Male,144,17,2,suburban
2014,Santa Barbara,80 - 84 years,Female,205,18,1,suburban
2014,Santa Barbara,80 - 84 years,Male,221,18,2,suburban
2014,Santa Barbara,85 - 89 years,Female,266,19,1,suburban
2014,Santa Barbara,85 - 89 years,Male,219,19,2,suburban
2014,Santa Barbara,90 - 94 years,Female,266,20,1,suburban
2014,Santa Barbara,90 - 94 years,Male,186,20,2,suburban
2014,Santa Barbara,95 - 99 years,Male,57,21,2,suburban
2014,Santa Barbara,95 - 99 years,Female,142,21,1,suburban
2014,Santa Barbara,100 years and over,Male,6,22,2,suburban
2014,Santa Barbara,100 years and over,Female,35,22,1,suburban
2014,Santa Clara,Less than 1 year,Male,40,1,2,urban
2014,Santa Clara,Less than 1 year,Female,26,1,1,urban
2014,Santa Clara,1 - 4 years,Female,0,2,1,urban
2014,Santa Clara,1 - 4 years,Male,6,2,2,urban
2014,Santa Clara,5 - 9 years,Female,6,3,1,urban
2014,Santa Clara,5 - 9 years,Male,6,3,2,urban
2014,Santa Clara,10 - 14 years,Female,6,4,1,urban
2014,Santa Clara,10 - 14 years,Male,6,4,2,urban
2014,Santa Clara,15 - 19 years,Female,13,5,1,urban
2014,Santa Clara,15 - 19 years,Male,21,5,2,urban
2014,Santa Clara,20 - 24 years,Female,6,6,1,urban
2014,Santa Clara,20 - 24 years,Male,53,6,2,urban
2014,Santa Clara,25 - 29 years,Male,47,7,2,urban
2014,Santa Clara,25 - 29 years,Female,19,7,1,urban
2014,Santa Clara,30 - 34 years,Female,22,8,1,urban
2014,Santa Clara,30 - 34 years,Male,45,8,2,urban
2014,Santa Clara,35 - 39 years,Female,31,9,1,urban
2014,Santa Clara,35 - 39 years,Male,53,9,2,urban
2014,Santa Clara,40 - 44 years,Male,68,10,2,urban
2014,Santa Clara,40 - 44 years,Female,55,10,1,urban
2014,Santa Clara,45 - 49 years,Male,136,11,2,urban
2014,Santa Clara,45 - 49 years,Female,97,11,1,urban
2014,Santa Clara,50 - 54 years,Female,145,12,1,urban
2014,Santa Clara,50 - 54 years,Male,261,12,2,urban
2014,Santa Clara,55 - 59 years,Female,190,13,1,urban
2014,Santa Clara,55 - 59 years,Male,322,13,2,urban
2014,Santa Clara,60 - 64 years,Female,247,14,1,urban
2014,Santa Clara,60 - 64 years,Male,375,14,2,urban
2014,Santa Clara,65 - 69 years,Female,283,15,1,urban
2014,Santa Clara,65 - 69 years,Male,458,15,2,urban
2014,Santa Clara,70 - 74 years,Female,358,16,1,urban
2014,Santa Clara,70 - 74 years,Male,419,16,2,urban
2014,Santa Clara,75 - 79 years,Female,446,17,1,urban
2014,Santa Clara,75 - 79 years,Male,470,17,2,urban
2014,Santa Clara,80 - 84 years,Male,662,18,2,urban
2014,Santa Clara,80 - 84 years,Female,630,18,1,urban
2014,Santa Clara,85 - 89 years,Male,693,19,2,urban
2014,Santa Clara,85 - 89 years,Female,880,19,1,urban
2014,Santa Clara,90 - 94 years,Female,812,20,1,urban
2014,Santa Clara,90 - 94 years,Male,535,20,2,urban
2014,Santa Clara,95 - 99 years,Male,167,21,2,urban
2014,Santa Clara,95 - 99 years,Female,424,21,1,urban
2014,Santa Clara,100 years and over,Female,102,22,1,urban
2014,Santa Clara,100 years and over,Male,26,22,2,urban
2014,Santa Cruz,Less than 1 year,Female,6,1,1,suburban
2014,Santa Cruz,Less than 1 year,Male,6,1,2,suburban
2014,Santa Cruz,1 - 4 years,Male,0,2,2,suburban
2014,Santa Cruz,1 - 4 years,Female,6,2,1,suburban
2014,Santa Cruz,5 - 9 years,Female,6,3,1,suburban
2014,Santa Cruz,5 - 9 years,Male,0,3,2,suburban
2014,Santa Cruz,10 - 14 years,Female,6,4,1,suburban
2014,Santa Cruz,10 - 14 years,Male,6,4,2,suburban
2014,Santa Cruz,15 - 19 years,Female,6,5,1,suburban
2014,Santa Cruz,15 - 19 years,Male,6,5,2,suburban
2014,Santa Cruz,20 - 24 years,Male,12,6,2,suburban
2014,Santa Cruz,20 - 24 years,Female,6,6,1,suburban
2014,Santa Cruz,25 - 29 years,Male,6,7,2,suburban
2014,Santa Cruz,25 - 29 years,Female,6,7,1,suburban
2014,Santa Cruz,30 - 34 years,Female,6,8,1,suburban
2014,Santa Cruz,30 - 34 years,Male,12,8,2,suburban
2014,Santa Cruz,35 - 39 years,Female,6,9,1,suburban
2014,Santa Cruz,35 - 39 years,Male,14,9,2,suburban
2014,Santa Cruz,40 - 44 years,Female,6,10,1,suburban
2014,Santa Cruz,40 - 44 years,Male,21,10,2,suburban
2014,Santa Cruz,45 - 49 years,Male,31,11,2,suburban
2014,Santa Cruz,45 - 49 years,Female,12,11,1,suburban
2014,Santa Cruz,50 - 54 years,Female,24,12,1,suburban
2014,Santa Cruz,50 - 54 years,Male,44,12,2,suburban
2014,Santa Cruz,55 - 59 years,Male,47,13,2,suburban
2014,Santa Cruz,55 - 59 years,Female,38,13,1,suburban
2014,Santa Cruz,60 - 64 years,Female,50,14,1,suburban
2014,Santa Cruz,60 - 64 years,Male,83,14,2,suburban
2014,Santa Cruz,65 - 69 years,Female,52,15,1,suburban
2014,Santa Cruz,65 - 69 years,Male,105,15,2,suburban
2014,Santa Cruz,70 - 74 years,Female,51,16,1,suburban
2014,Santa Cruz,70 - 74 years,Male,79,16,2,suburban
2014,Santa Cruz,75 - 79 years,Male,72,17,2,suburban
2014,Santa Cruz,75 - 79 years,Female,63,17,1,suburban
2014,Santa Cruz,80 - 84 years,Male,96,18,2,suburban
2014,Santa Cruz,80 - 84 years,Female,108,18,1,suburban
2014,Santa Cruz,85 - 89 years,Male,108,19,2,suburban
2014,Santa Cruz,85 - 89 years,Female,138,19,1,suburban
2014,Santa Cruz,90 - 94 years,Female,156,20,1,suburban
2014,Santa Cruz,90 - 94 years,Male,93,20,2,suburban
2014,Santa Cruz,95 - 99 years,Male,26,21,2,suburban
2014,Santa Cruz,95 - 99 years,Female,81,21,1,suburban
2014,Santa Cruz,100 years and over,Male,6,22,2,suburban
2014,Santa Cruz,100 years and over,Female,18,22,1,suburban
2014,Shasta,Less than 1 year,Female,6,1,1,suburban
2014,Shasta,Less than 1 year,Male,6,1,2,suburban
2014,Shasta,1 - 4 years,Female,0,2,1,suburban
2014,Shasta,1 - 4 years,Male,0,2,2,suburban
2014,Shasta,5 - 9 years,Female,0,3,1,suburban
2014,Shasta,5 - 9 years,Male,0,3,2,suburban
2014,Shasta,10 - 14 years,Male,6,4,2,suburban
2014,Shasta,10 - 14 years,Female,6,4,1,suburban
2014,Shasta,15 - 19 years,Male,6,5,2,suburban
2014,Shasta,15 - 19 years,Female,6,5,1,suburban
2014,Shasta,20 - 24 years,Female,6,6,1,suburban
2014,Shasta,20 - 24 years,Male,6,6,2,suburban
2014,Shasta,25 - 29 years,Female,6,7,1,suburban
2014,Shasta,25 - 29 years,Male,6,7,2,suburban
2014,Shasta,30 - 34 years,Female,6,8,1,suburban
2014,Shasta,30 - 34 years,Male,11,8,2,suburban
2014,Shasta,35 - 39 years,Male,14,9,2,suburban
2014,Shasta,35 - 39 years,Female,6,9,1,suburban
2014,Shasta,40 - 44 years,Male,16,10,2,suburban
2014,Shasta,40 - 44 years,Female,6,10,1,suburban
2014,Shasta,45 - 49 years,Male,37,11,2,suburban
2014,Shasta,45 - 49 years,Female,16,11,1,suburban
2014,Shasta,50 - 54 years,Male,45,12,2,suburban
2014,Shasta,50 - 54 years,Female,35,12,1,suburban
2014,Shasta,55 - 59 years,Female,63,13,1,suburban
2014,Shasta,55 - 59 years,Male,77,13,2,suburban
2014,Shasta,60 - 64 years,Male,117,14,2,suburban
2014,Shasta,60 - 64 years,Female,73,14,1,suburban
2014,Shasta,65 - 69 years,Female,78,15,1,suburban
2014,Shasta,65 - 69 years,Male,128,15,2,suburban
2014,Shasta,70 - 74 years,Female,87,16,1,suburban
2014,Shasta,70 - 74 years,Male,108,16,2,suburban
2014,Shasta,75 - 79 years,Female,112,17,1,suburban
2014,Shasta,75 - 79 years,Male,103,17,2,suburban
2014,Shasta,80 - 84 years,Female,136,18,1,suburban
2014,Shasta,80 - 84 years,Male,146,18,2,suburban
2014,Shasta,85 - 89 years,Male,117,19,2,suburban
2014,Shasta,85 - 89 years,Female,165,19,1,suburban
2014,Shasta,90 - 94 years,Female,139,20,1,suburban
2014,Shasta,90 - 94 years,Male,85,20,2,suburban
2014,Shasta,95 - 99 years,Female,65,21,1,suburban
2014,Shasta,95 - 99 years,Male,24,21,2,suburban
2014,Shasta,100 years and over,Male,6,22,2,suburban
2014,Shasta,100 years and over,Female,12,22,1,suburban
2014,Sierra,Less than 1 year,Male,0,1,2,rural
2014,Sierra,Less than 1 year,Female,0,1,1,rural
2014,Sierra,1 - 4 years,Male,0,2,2,rural
2014,Sierra,1 - 4 years,Female,0,2,1,rural
2014,Sierra,5 - 9 years,Female,0,3,1,rural
2014,Sierra,5 - 9 years,Male,0,3,2,rural
2014,Sierra,10 - 14 years,Female,0,4,1,rural
2014,Sierra,10 - 14 years,Male,0,4,2,rural
2014,Sierra,15 - 19 years,Female,6,5,1,rural
2014,Sierra,15 - 19 years,Male,0,5,2,rural
2014,Sierra,20 - 24 years,Male,0,6,2,rural
2014,Sierra,20 - 24 years,Female,0,6,1,rural
2014,Sierra,25 - 29 years,Female,0,7,1,rural
2014,Sierra,25 - 29 years,Male,0,7,2,rural
2014,Sierra,30 - 34 years,Male,0,8,2,rural
2014,Sierra,30 - 34 years,Female,0,8,1,rural
2014,Sierra,35 - 39 years,Male,0,9,2,rural
2014,Sierra,35 - 39 years,Female,0,9,1,rural
2014,Sierra,40 - 44 years,Male,0,10,2,rural
2014,Sierra,40 - 44 years,Female,0,10,1,rural
2014,Sierra,45 - 49 years,Female,0,11,1,rural
2014,Sierra,45 - 49 years,Male,6,11,2,rural
2014,Sierra,50 - 54 years,Male,6,12,2,rural
2014,Sierra,50 - 54 years,Female,0,12,1,rural
2014,Sierra,55 - 59 years,Female,0,13,1,rural
2014,Sierra,55 - 59 years,Male,6,13,2,rural
2014,Sierra,60 - 64 years,Female,6,14,1,rural
2014,Sierra,60 - 64 years,Male,6,14,2,rural
2014,Sierra,65 - 69 years,Male,6,15,2,rural
2014,Sierra,65 - 69 years,Female,6,15,1,rural
2014,Sierra,70 - 74 years,Female,6,16,1,rural
2014,Sierra,70 - 74 years,Male,6,16,2,rural
2014,Sierra,75 - 79 years,Male,6,17,2,rural
2014,Sierra,75 - 79 years,Female,6,17,1,rural
2014,Sierra,80 - 84 years,Male,6,18,2,rural
2014,Sierra,80 - 84 years,Female,0,18,1,rural
2014,Sierra,85 - 89 years,Female,6,19,1,rural
2014,Sierra,85 - 89 years,Male,6,19,2,rural
2014,Sierra,90 - 94 years,Male,0,20,2,rural
2014,Sierra,90 - 94 years,Female,6,20,1,rural
2014,Sierra,95 - 99 years,Female,6,21,1,rural
2014,Sierra,95 - 99 years,Male,6,21,2,rural
2014,Sierra,100 years and over,Female,0,22,1,rural
2014,Sierra,100 years and over,Male,0,22,2,rural
2014,Siskiyou,Less than 1 year,Male,6,1,2,rural
2014,Siskiyou,Less than 1 year,Female,6,1,1,rural
2014,Siskiyou,1 - 4 years,Female,0,2,1,rural
2014,Siskiyou,1 - 4 years,Male,0,2,2,rural
2014,Siskiyou,5 - 9 years,Male,0,3,2,rural
2014,Siskiyou,5 - 9 years,Female,0,3,1,rural
2014,Siskiyou,10 - 14 years,Male,0,4,2,rural
2014,Siskiyou,10 - 14 years,Female,0,4,1,rural
2014,Siskiyou,15 - 19 years,Female,0,5,1,rural
2014,Siskiyou,15 - 19 years,Male,0,5,2,rural
2014,Siskiyou,20 - 24 years,Male,6,6,2,rural
2014,Siskiyou,20 - 24 years,Female,6,6,1,rural
2014,Siskiyou,25 - 29 years,Male,6,7,2,rural
2014,Siskiyou,25 - 29 years,Female,0,7,1,rural
2014,Siskiyou,30 - 34 years,Female,0,8,1,rural
2014,Siskiyou,30 - 34 years,Male,6,8,2,rural
2014,Siskiyou,35 - 39 years,Female,6,9,1,rural
2014,Siskiyou,35 - 39 years,Male,6,9,2,rural
2014,Siskiyou,40 - 44 years,Male,6,10,2,rural
2014,Siskiyou,40 - 44 years,Female,6,10,1,rural
2014,Siskiyou,45 - 49 years,Male,6,11,2,rural
2014,Siskiyou,45 - 49 years,Female,6,11,1,rural
2014,Siskiyou,50 - 54 years,Female,15,12,1,rural
2014,Siskiyou,50 - 54 years,Male,18,12,2,rural
2014,Siskiyou,55 - 59 years,Female,13,13,1,rural
2014,Siskiyou,55 - 59 years,Male,22,13,2,rural
2014,Siskiyou,60 - 64 years,Female,17,14,1,rural
2014,Siskiyou,60 - 64 years,Male,27,14,2,rural
2014,Siskiyou,65 - 69 years,Female,19,15,1,rural
2014,Siskiyou,65 - 69 years,Male,37,15,2,rural
2014,Siskiyou,70 - 74 years,Male,36,16,2,rural
2014,Siskiyou,70 - 74 years,Female,24,16,1,rural
2014,Siskiyou,75 - 79 years,Female,26,17,1,rural
2014,Siskiyou,75 - 79 years,Male,28,17,2,rural
2014,Siskiyou,80 - 84 years,Female,34,18,1,rural
2014,Siskiyou,80 - 84 years,Male,30,18,2,rural
2014,Siskiyou,85 - 89 years,Male,28,19,2,rural
2014,Siskiyou,85 - 89 years,Female,44,19,1,rural
2014,Siskiyou,90 - 94 years,Male,20,20,2,rural
2014,Siskiyou,90 - 94 years,Female,43,20,1,rural
2014,Siskiyou,95 - 99 years,Female,18,21,1,rural
2014,Siskiyou,95 - 99 years,Male,6,21,2,rural
2014,Siskiyou,100 years and over,Female,6,22,1,rural
2014,Siskiyou,100 years and over,Male,6,22,2,rural
2014,Solano,Less than 1 year,Male,21,1,2,suburban
2014,Solano,Less than 1 year,Female,17,1,1,suburban
2014,Solano,1 - 4 years,Male,6,2,2,suburban
2014,Solano,1 - 4 years,Female,6,2,1,suburban
2014,Solano,5 - 9 years,Male,0,3,2,suburban
2014,Solano,5 - 9 years,Female,0,3,1,suburban
2014,Solano,10 - 14 years,Male,6,4,2,suburban
2014,Solano,10 - 14 years,Female,6,4,1,suburban
2014,Solano,15 - 19 years,Male,13,5,2,suburban
2014,Solano,15 - 19 years,Female,6,5,1,suburban
2014,Solano,20 - 24 years,Male,22,6,2,suburban
2014,Solano,20 - 24 years,Female,6,6,1,suburban
2014,Solano,25 - 29 years,Female,6,7,1,suburban
2014,Solano,25 - 29 years,Male,28,7,2,suburban
2014,Solano,30 - 34 years,Female,6,8,1,suburban
2014,Solano,30 - 34 years,Male,18,8,2,suburban
2014,Solano,35 - 39 years,Male,22,9,2,suburban
2014,Solano,35 - 39 years,Female,12,9,1,suburban
2014,Solano,40 - 44 years,Female,23,10,1,suburban
2014,Solano,40 - 44 years,Male,34,10,2,suburban
2014,Solano,45 - 49 years,Female,32,11,1,suburban
2014,Solano,45 - 49 years,Male,69,11,2,suburban
2014,Solano,50 - 54 years,Female,58,12,1,suburban
2014,Solano,50 - 54 years,Male,91,12,2,suburban
2014,Solano,55 - 59 years,Male,118,13,2,suburban
2014,Solano,55 - 59 years,Female,80,13,1,suburban
2014,Solano,60 - 64 years,Female,102,14,1,suburban
2014,Solano,60 - 64 years,Male,151,14,2,suburban
2014,Solano,65 - 69 years,Female,138,15,1,suburban
2014,Solano,65 - 69 years,Male,173,15,2,suburban
