Year_of_Death,County_of_Residence,Age,Sex,Total_Deaths_sex,age_cat,sex_cat,Description
2014,Amador,20 - 24 years,Male,6,6,2,rural
2014,Amador,20 - 24 years,Female,0,6,1,rural
2014,Amador,25 - 29 years,Female,6,7,1,rural
2014,Amador,25 - 29 years,Male,6,7,2,rural
2014,Amador,30 - 34 years,Female,6,8,1,rural
2014,Amador,30 - 34 years,Male,6,8,2,rural
2014,Amador,35 - 39 years,Male,6,9,2,rural
2014,Amador,35 - 39 years,Female,0,9,1,rural
2014,Amador,40 - 44 years,Male,6,10,2,rural
2014,Amador,40 - 44 years,Female,6,10,1,rural
2014,Amador,45 - 49 years,Female,6,11,1,rural
2014,Amador,45 - 49 years,Male,6,11,2,rural
2014,Amador,50 - 54 years,Male,6,12,2,rural
2014,Amador,50 - 54 years,Female,6,12,1,rural
2014,Amador,55 - 59 years,Male,19,13,2,rural
2014,Amador,55 - 59 years,Female,6,13,1,rural
2014,Amador,60 - 64 years,Female,13,14,1,rural
2014,Amador,60 - 64 years,Male,15,14,2,rural
2014,Amador,65 - 69 years,Female,6,15,1,rural
2014,Amador,65 - 69 years,Male,28,15,2,rural
2014,Amador,70 - 74 years,Female,13,16,1,rural
2014,Amador,70 - 74 years,Male,29,16,2,rural
2014,Amador,75 - 79 years,Female,16,17,1,rural
2014,Amador,75 - 79 years,Male,29,17,2,rural
2014,Amador,80 - 84 years,Female,23,18,1,rural
2014,Amador,80 - 84 years,Male,26,18,2,rural
2014,Amador,85 - 89 years,Female,37,19,1,rural
2014,Amador,85 - 89 years,Male,42,19,2,rural
2014,Amador,90 - 94 years,Male,26,20,2,rural
2014,Amador,90 - 94 years,Female,37,20,1,rural
2014,Amador,95 - 99 years,Female,18,21,1,rural
2014,Amador,95 - 99 years,Male,13,21,2,rural
2014,Amador,100 years and over,Female,6,22,1,rural
2014,Amador,100 years and over,Male,6,22,2,rural
2014,Butte,Less than 1 year,Male,6,1,2,suburban
2014,Butte,Less than 1 year,Female,6,1,1,suburban
2014,Butte,1 - 4 years,Male,6,2,2,suburban
2014,Butte,1 - 4 years,Female,0,2,1,suburban
2014,Butte,5 - 9 years,Female,6,3,1,suburban
2014,Butte,5 - 9 years,Male,0,3,2,suburban
2014,Butte,10 - 14 years,Female,0,4,1,suburban
2014,Butte,10 - 14 years,Male,6,4,2,suburban
2014,Butte,15 - 19 years,Male,6,5,2,suburban
2014,Butte,15 - 19 years,Female,6,5,1,suburban
