Year_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths_veteran
2021,Alpine,95 - 99 years,Unknown,0
2021,Alpine,95 - 99 years,Yes,0
2021,Alpine,100 years and over,No,0
2021,Alpine,100 years and over,Unknown,0
2021,Alpine,100 years and over,Yes,0
2021,Amador,Less than 1 year,No,0
2021,Amador,Less than 1 year,Unknown,0
2021,Amador,Less than 1 year,Yes,0
2021,Amador,1 - 4 years,No,0
2021,Amador,1 - 4 years,Unknown,0
2021,Amador,1 - 4 years,Yes,0
2021,Amador,5 - 9 years,No,0
2021,Amador,5 - 9 years,Unknown,0
2021,Amador,5 - 9 years,Yes,0
2021,Amador,10 - 14 years,No,0
2021,Amador,10 - 14 years,Unknown,0
2021,Amador,10 - 14 years,Yes,0
2021,Amador,15 - 19 years,No,0
2021,Amador,15 - 19 years,Unknown,0
2021,Amador,15 - 19 years,Yes,0
2021,Amador,20 - 24 years,No,0
2021,Amador,20 - 24 years,Unknown,0
2021,Amador,20 - 24 years,Yes,0
2021,Amador,25 - 29 years,No,6
2021,Amador,25 - 29 years,Unknown,0
2021,Amador,25 - 29 years,Yes,0
2021,Amador,30 - 34 years,No,6
2021,Amador,30 - 34 years,Unknown,0
2021,Amador,30 - 34 years,Yes,6
2021,Amador,35 - 39 years,No,6
2021,Amador,35 - 39 years,Unknown,0
2021,Amador,35 - 39 years,Yes,0
2021,Amador,40 - 44 years,No,6
2021,Amador,40 - 44 years,Unknown,0
2021,Amador,40 - 44 years,Yes,0
2021,Amador,45 - 49 years,No,6
2021,Amador,45 - 49 years,Unknown,0
2021,Amador,45 - 49 years,Yes,0
2021,Amador,50 - 54 years,No,6
2021,Amador,50 - 54 years,Unknown,0
2021,Amador,50 - 54 years,Yes,0
2021,Amador,55 - 59 years,No,6
2021,Amador,55 - 59 years,Unknown,0
2021,Amador,55 - 59 years,Yes,0
2021,Amador,60 - 64 years,No,6
2021,Amador,60 - 64 years,Unknown,6
2021,Amador,60 - 64 years,Yes,6
2021,Amador,65 - 69 years,No,14
2021,Amador,65 - 69 years,Unknown,0
2021,Amador,65 - 69 years,Yes,6
2021,Amador,70 - 74 years,No,19
2021,Amador,70 - 74 years,Unknown,0
2021,Amador,70 - 74 years,Yes,6
2021,Amador,75 - 79 years,No,17
2021,Amador,75 - 79 years,Unknown,6
2021,Amador,75 - 79 years,Yes,6
2021,Amador,80 - 84 years,No,15
2021,Amador,80 - 84 years,Unknown,6
2021,Amador,80 - 84 years,Yes,6
2021,Amador,85 - 89 years,No,12
2021,Amador,85 - 89 years,Unknown,0
2021,Amador,85 - 89 years,Yes,6
2021,Amador,90 - 94 years,No,17
2021,Amador,90 - 94 years,Unknown,0
2021,Amador,90 - 94 years,Yes,6
2021,Amador,95 - 99 years,No,6
2021,Amador,95 - 99 years,Unknown,0
2021,Amador,95 - 99 years,Yes,6
2021,Amador,100 years and over,No,6
2021,Amador,100 years and over,Unknown,0
2021,Amador,100 years and over,Yes,0
2021,Butte,Less than 1 year,No,6
2021,Butte,Less than 1 year,Unknown,0
2021,Butte,Less than 1 year,Yes,0
2021,Butte,1 - 4 years,No,6
2021,Butte,1 - 4 years,Unknown,0
2021,Butte,1 - 4 years,Yes,0
2021,Butte,5 - 9 years,No,6
2021,Butte,5 - 9 years,Unknown,0
2021,Butte,5 - 9 years,Yes,0
2021,Butte,10 - 14 years,No,0
2021,Butte,10 - 14 years,Unknown,0
2021,Butte,10 - 14 years,Yes,0
2021,Butte,15 - 19 years,No,6
2021,Butte,15 - 19 years,Unknown,0
2021,Butte,15 - 19 years,Yes,0
2021,Butte,20 - 24 years,No,6
2021,Butte,20 - 24 years,Unknown,0
2021,Butte,20 - 24 years,Yes,0
2021,Butte,25 - 29 years,No,6
2021,Butte,25 - 29 years,Unknown,0
2021,Butte,25 - 29 years,Yes,0
2021,Butte,30 - 34 years,No,6
2021,Butte,30 - 34 years,Unknown,0
2021,Butte,30 - 34 years,Yes,0
2021,Butte,35 - 39 years,No,15
2021,Butte,35 - 39 years,Unknown,0
2021,Butte,35 - 39 years,Yes,6
2021,Butte,40 - 44 years,No,15
2021,Butte,40 - 44 years,Unknown,0
2021,Butte,40 - 44 years,Yes,0
2021,Butte,45 - 49 years,No,16
2021,Butte,45 - 49 years,Unknown,0
2021,Butte,45 - 49 years,Yes,6
2021,Butte,50 - 54 years,No,17
2021,Butte,50 - 54 years,Unknown,6
2021,Butte,50 - 54 years,Yes,6
2021,Butte,55 - 59 years,No,37
2021,Butte,55 - 59 years,Unknown,6
2021,Butte,55 - 59 years,Yes,6
2021,Butte,60 - 64 years,No,56
2021,Butte,60 - 64 years,Unknown,6
2021,Butte,60 - 64 years,Yes,6
2021,Butte,65 - 69 years,No,65
2021,Butte,65 - 69 years,Unknown,6
2021,Butte,65 - 69 years,Yes,13
2021,Butte,70 - 74 years,No,72
2021,Butte,70 - 74 years,Unknown,0
2021,Butte,70 - 74 years,Yes,32
2021,Butte,75 - 79 years,No,52
2021,Butte,75 - 79 years,Unknown,6
2021,Butte,75 - 79 years,Yes,28
2021,Butte,80 - 84 years,No,64
2021,Butte,80 - 84 years,Unknown,0
2021,Butte,80 - 84 years,Yes,33
2021,Butte,85 - 89 years,No,68
2021,Butte,85 - 89 years,Unknown,6
2021,Butte,85 - 89 years,Yes,33
2021,Butte,90 - 94 years,No,78
2021,Butte,90 - 94 years,Unknown,0
2021,Butte,90 - 94 years,Yes,17
2021,Butte,95 - 99 years,No,34
2021,Butte,95 - 99 years,Unknown,0
2021,Butte,95 - 99 years,Yes,12
2021,Butte,100 years and over,No,6
2021,Butte,100 years and over,Unknown,0
2021,Butte,100 years and over,Yes,6
2021,Calaveras,Less than 1 year,No,0
2021,Calaveras,Less than 1 year,Unknown,0
2021,Calaveras,Less than 1 year,Yes,0
2021,Calaveras,1 - 4 years,No,0
2021,Calaveras,1 - 4 years,Unknown,0
2021,Calaveras,1 - 4 years,Yes,0
2021,Calaveras,5 - 9 years,No,0
2021,Calaveras,5 - 9 years,Unknown,0
2021,Calaveras,5 - 9 years,Yes,0
2021,Calaveras,10 - 14 years,No,0
2021,Calaveras,10 - 14 years,Unknown,0
2021,Calaveras,10 - 14 years,Yes,0
2021,Calaveras,15 - 19 years,No,0
2021,Calaveras,15 - 19 years,Unknown,0
2021,Calaveras,15 - 19 years,Yes,0
2021,Calaveras,20 - 24 years,No,6
2021,Calaveras,20 - 24 years,Unknown,0
2021,Calaveras,20 - 24 years,Yes,0
2021,Calaveras,25 - 29 years,No,6
2021,Calaveras,25 - 29 years,Unknown,0
2021,Calaveras,25 - 29 years,Yes,0
2021,Calaveras,30 - 34 years,No,6
2021,Calaveras,30 - 34 years,Unknown,0
2021,Calaveras,30 - 34 years,Yes,0
2021,Calaveras,35 - 39 years,No,6
2021,Calaveras,35 - 39 years,Unknown,0
2021,Calaveras,35 - 39 years,Yes,0
2021,Calaveras,40 - 44 years,No,0
2021,Calaveras,40 - 44 years,Unknown,0
2021,Calaveras,40 - 44 years,Yes,0
2021,Calaveras,45 - 49 years,No,6
2021,Calaveras,45 - 49 years,Unknown,0
2021,Calaveras,45 - 49 years,Yes,0
2021,Calaveras,50 - 54 years,No,6
2021,Calaveras,50 - 54 years,Unknown,0
2021,Calaveras,50 - 54 years,Yes,6
2021,Calaveras,55 - 59 years,No,6
2021,Calaveras,55 - 59 years,Unknown,0
2021,Calaveras,55 - 59 years,Yes,0
2021,Calaveras,60 - 64 years,No,18
2021,Calaveras,60 - 64 years,Unknown,6
2021,Calaveras,60 - 64 years,Yes,6
2021,Calaveras,65 - 69 years,No,17
2021,Calaveras,65 - 69 years,Unknown,6
