Year_of_Death,County_of_Residence,Age,Total_Deaths
2021,Contra Costa,100 years and over,49
2021,Del Norte,Less than 1 year,0
2021,Del Norte,1 - 4 years,0
2021,Del Norte,5 - 9 years,0
2021,Del Norte,10 - 14 years,0
2021,Del Norte,15 - 19 years,0
2021,Del Norte,20 - 24 years,6
2021,Del Norte,25 - 29 years,6
2021,Del Norte,30 - 34 years,6
2021,Del Norte,35 - 39 years,6
2021,Del Norte,40 - 44 years,6
2021,Del Norte,45 - 49 years,6
2021,Del Norte,50 - 54 years,6
2021,Del Norte,55 - 59 years,11
2021,Del Norte,60 - 64 years,15
2021,Del Norte,65 - 69 years,6
2021,Del Norte,70 - 74 years,16
2021,Del Norte,75 - 79 years,12
2021,Del Norte,80 - 84 years,12
2021,Del Norte,85 - 89 years,6
2021,Del Norte,90 - 94 years,6
2021,Del Norte,95 - 99 years,6
2021,Del Norte,100 years and over,0
2021,El Dorado,Less than 1 year,6
2021,El Dorado,1 - 4 years,6
2021,El Dorado,5 - 9 years,0
2021,El Dorado,10 - 14 years,6
2021,El Dorado,15 - 19 years,6
2021,El Dorado,20 - 24 years,6
2021,El Dorado,25 - 29 years,6
2021,El Dorado,30 - 34 years,6
2021,El Dorado,35 - 39 years,6
2021,El Dorado,40 - 44 years,6
2021,El Dorado,45 - 49 years,6
2021,El Dorado,50 - 54 years,6
2021,El Dorado,55 - 59 years,24
2021,El Dorado,60 - 64 years,42
2021,El Dorado,65 - 69 years,61
2021,El Dorado,70 - 74 years,59
2021,El Dorado,75 - 79 years,84
2021,El Dorado,80 - 84 years,77
2021,El Dorado,85 - 89 years,82
2021,El Dorado,90 - 94 years,72
2021,El Dorado,95 - 99 years,51
2021,El Dorado,100 years and over,11
2021,Fresno,Less than 1 year,24
2021,Fresno,1 - 4 years,6
2021,Fresno,5 - 9 years,6
2021,Fresno,10 - 14 years,6
2021,Fresno,15 - 19 years,14
2021,Fresno,20 - 24 years,31
2021,Fresno,25 - 29 years,37
2021,Fresno,30 - 34 years,56
2021,Fresno,35 - 39 years,70
2021,Fresno,40 - 44 years,74
2021,Fresno,45 - 49 years,98
2021,Fresno,50 - 54 years,146
2021,Fresno,55 - 59 years,193
2021,Fresno,60 - 64 years,312
2021,Fresno,65 - 69 years,304
2021,Fresno,70 - 74 years,360
2021,Fresno,75 - 79 years,374
2021,Fresno,80 - 84 years,380
2021,Fresno,85 - 89 years,369
2021,Fresno,90 - 94 years,324
2021,Fresno,95 - 99 years,158
2021,Fresno,100 years and over,26
2021,Glenn,Less than 1 year,6
2021,Glenn,1 - 4 years,0
2021,Glenn,5 - 9 years,0
2021,Glenn,10 - 14 years,6
2021,Glenn,15 - 19 years,0
2021,Glenn,20 - 24 years,0
2021,Glenn,25 - 29 years,6
2021,Glenn,30 - 34 years,6
2021,Glenn,35 - 39 years,0
2021,Glenn,40 - 44 years,6
2021,Glenn,45 - 49 years,6
