Year_of_Death,County_of_Residence,Age,Total_Deaths
2020,Lassen,55 - 59 years,6
2020,Lassen,60 - 64 years,22
2020,Lassen,65 - 69 years,18
2020,Lassen,70 - 74 years,30
2020,Lassen,75 - 79 years,26
2020,Lassen,80 - 84 years,16
2020,Lassen,85 - 89 years,22
2020,Lassen,90 - 94 years,15
2020,Lassen,95 - 99 years,11
2020,Lassen,100 years and over,6
2020,Los Angeles,Less than 1 year,377
2020,Los Angeles,1 - 4 years,68
2020,Los Angeles,5 - 9 years,40
2020,Los Angeles,10 - 14 years,72
2020,Los Angeles,15 - 19 years,284
2020,Los Angeles,20 - 24 years,607
2020,Los Angeles,25 - 29 years,864
2020,Los Angeles,30 - 34 years,1051
2020,Los Angeles,35 - 39 years,1176
2020,Los Angeles,40 - 44 years,1439
2020,Los Angeles,45 - 49 years,2118
2020,Los Angeles,50 - 54 years,3087
2020,Los Angeles,55 - 59 years,4588
2020,Los Angeles,60 - 64 years,6068
2020,Los Angeles,65 - 69 years,7195
2020,Los Angeles,70 - 74 years,7992
2020,Los Angeles,75 - 79 years,8422
2020,Los Angeles,80 - 84 years,9693
2020,Los Angeles,85 - 89 years,10403
2020,Los Angeles,90 - 94 years,9338
2020,Los Angeles,95 - 99 years,4971
2020,Los Angeles,100 years and over,1241
2020,Madera,Less than 1 year,6
2020,Madera,1 - 4 years,6
2020,Madera,5 - 9 years,6
2020,Madera,10 - 14 years,6
2020,Madera,15 - 19 years,6
2020,Madera,20 - 24 years,17
2020,Madera,25 - 29 years,16
2020,Madera,30 - 34 years,18
2020,Madera,35 - 39 years,19
2020,Madera,40 - 44 years,25
2020,Madera,45 - 49 years,49
2020,Madera,50 - 54 years,52
2020,Madera,55 - 59 years,76
2020,Madera,60 - 64 years,106
2020,Madera,65 - 69 years,118
2020,Madera,70 - 74 years,146
2020,Madera,75 - 79 years,167
2020,Madera,80 - 84 years,144
2020,Madera,85 - 89 years,172
2020,Madera,90 - 94 years,112
2020,Madera,95 - 99 years,63
2020,Madera,100 years and over,6
2020,Marin,Less than 1 year,0
2020,Marin,1 - 4 years,0
2020,Marin,5 - 9 years,0
2020,Marin,10 - 14 years,6
2020,Marin,15 - 19 years,6
2020,Marin,20 - 24 years,6
2020,Marin,25 - 29 years,12
2020,Marin,30 - 34 years,16
2020,Marin,35 - 39 years,25
2020,Marin,40 - 44 years,18
2020,Marin,45 - 49 years,31
2020,Marin,50 - 54 years,40
2020,Marin,55 - 59 years,79
2020,Marin,60 - 64 years,92
2020,Marin,65 - 69 years,154
2020,Marin,70 - 74 years,198
2020,Marin,75 - 79 years,254
2020,Marin,80 - 84 years,272
2020,Marin,85 - 89 years,311
2020,Marin,90 - 94 years,333
2020,Marin,95 - 99 years,199
2020,Marin,100 years and over,50
2020,Mariposa,Less than 1 year,0
2020,Mariposa,1 - 4 years,0
2020,Mariposa,5 - 9 years,0
2020,Mariposa,10 - 14 years,0
2020,Mariposa,15 - 19 years,0
2020,Mariposa,20 - 24 years,6
2020,Mariposa,25 - 29 years,0
2020,Mariposa,30 - 34 years,6
2020,Mariposa,35 - 39 years,6
2020,Mariposa,40 - 44 years,6
2020,Mariposa,45 - 49 years,6
2020,Mariposa,50 - 54 years,6
2020,Mariposa,55 - 59 years,6
2020,Mariposa,60 - 64 years,15
2020,Mariposa,65 - 69 years,22
2020,Mariposa,70 - 74 years,31
2020,Mariposa,75 - 79 years,33
2020,Mariposa,80 - 84 years,22
2020,Mariposa,85 - 89 years,22
2020,Mariposa,90 - 94 years,17
2020,Mariposa,95 - 99 years,6
2020,Mariposa,100 years and over,6
2020,Mendocino,Less than 1 year,6
2020,Mendocino,1 - 4 years,0
2020,Mendocino,5 - 9 years,0
2020,Mendocino,10 - 14 years,6
2020,Mendocino,15 - 19 years,6
2020,Mendocino,20 - 24 years,6
2020,Mendocino,25 - 29 years,12
2020,Mendocino,30 - 34 years,15
2020,Mendocino,35 - 39 years,16
2020,Mendocino,40 - 44 years,21
2020,Mendocino,45 - 49 years,23
2020,Mendocino,50 - 54 years,36
2020,Mendocino,55 - 59 years,54
2020,Mendocino,60 - 64 years,71
2020,Mendocino,65 - 69 years,123
2020,Mendocino,70 - 74 years,120
2020,Mendocino,75 - 79 years,132
2020,Mendocino,80 - 84 years,99
2020,Mendocino,85 - 89 years,114
2020,Mendocino,90 - 94 years,113
2020,Mendocino,95 - 99 years,55
2020,Mendocino,100 years and over,6
2020,Merced,Less than 1 year,14
2020,Merced,1 - 4 years,6
2020,Merced,5 - 9 years,6
2020,Merced,10 - 14 years,6
2020,Merced,15 - 19 years,13
2020,Merced,20 - 24 years,26
2020,Merced,25 - 29 years,26
2020,Merced,30 - 34 years,39
2020,Merced,35 - 39 years,38
2020,Merced,40 - 44 years,47
2020,Merced,45 - 49 years,74
2020,Merced,50 - 54 years,108
2020,Merced,55 - 59 years,163
2020,Merced,60 - 64 years,187
2020,Merced,65 - 69 years,226
2020,Merced,70 - 74 years,245
2020,Merced,75 - 79 years,249
2020,Merced,80 - 84 years,269
2020,Merced,85 - 89 years,235
2020,Merced,90 - 94 years,172
2020,Merced,95 - 99 years,100
2020,Merced,100 years and over,18
2020,Modoc,Less than 1 year,0
2020,Modoc,1 - 4 years,0
2020,Modoc,5 - 9 years,0
2020,Modoc,10 - 14 years,0
2020,Modoc,15 - 19 years,0
2020,Modoc,20 - 24 years,0
2020,Modoc,25 - 29 years,0
2020,Modoc,30 - 34 years,6
2020,Modoc,35 - 39 years,6
2020,Modoc,40 - 44 years,6
2020,Modoc,45 - 49 years,6
2020,Modoc,50 - 54 years,6
2020,Modoc,55 - 59 years,6
2020,Modoc,60 - 64 years,6
2020,Modoc,65 - 69 years,6
2020,Modoc,70 - 74 years,14
2020,Modoc,75 - 79 years,6
2020,Modoc,80 - 84 years,6
2020,Modoc,85 - 89 years,13
2020,Modoc,90 - 94 years,6
2020,Modoc,95 - 99 years,6
2020,Modoc,100 years and over,6
2020,Mono,Less than 1 year,0
2020,Mono,1 - 4 years,0
2020,Mono,5 - 9 years,0
2020,Mono,10 - 14 years,0
2020,Mono,15 - 19 years,0
2020,Mono,20 - 24 years,0
2020,Mono,25 - 29 years,6
2020,Mono,30 - 34 years,6
2020,Mono,35 - 39 years,0
2020,Mono,40 - 44 years,0
2020,Mono,45 - 49 years,0
2020,Mono,50 - 54 years,6
2020,Mono,55 - 59 years,6
2020,Mono,60 - 64 years,6
2020,Mono,65 - 69 years,6
2020,Mono,70 - 74 years,6
2020,Mono,75 - 79 years,6
2020,Mono,80 - 84 years,6
2020,Mono,85 - 89 years,6
2020,Mono,90 - 94 years,6
2020,Mono,95 - 99 years,6
2020,Mono,100 years and over,0
2020,Monterey,Less than 1 year,18
2020,Monterey,1 - 4 years,6
2020,Monterey,5 - 9 years,6
2020,Monterey,10 - 14 years,6
2020,Monterey,15 - 19 years,15
2020,Monterey,20 - 24 years,28
2020,Monterey,25 - 29 years,27
2020,Monterey,30 - 34 years,35
2020,Monterey,35 - 39 years,44
2020,Monterey,40 - 44 years,44
2020,Monterey,45 - 49 years,71
2020,Monterey,50 - 54 years,99
2020,Monterey,55 - 59 years,187
2020,Monterey,60 - 64 years,209
2020,Monterey,65 - 69 years,258
2020,Monterey,70 - 74 years,280
2020,Monterey,75 - 79 years,297
2020,Monterey,80 - 84 years,352
2020,Monterey,85 - 89 years,393
2020,Monterey,90 - 94 years,392
2020,Monterey,95 - 99 years,184
2020,Monterey,100 years and over,60
2020,Napa,Less than 1 year,6
2020,Napa,1 - 4 years,6
2020,Napa,5 - 9 years,0
2020,Napa,10 - 14 years,6
2020,Napa,15 - 19 years,6
2020,Napa,20 - 24 years,6
2020,Napa,25 - 29 years,6
2020,Napa,30 - 34 years,12
2020,Napa,35 - 39 years,6
2020,Napa,40 - 44 years,11
2020,Napa,45 - 49 years,17
2020,Napa,50 - 54 years,27
2020,Napa,55 - 59 years,59
2020,Napa,60 - 64 years,65
2020,Napa,65 - 69 years,75
2020,Napa,70 - 74 years,121
2020,Napa,75 - 79 years,142
2020,Napa,80 - 84 years,177
2020,Napa,85 - 89 years,199
2020,Napa,90 - 94 years,185
2020,Napa,95 - 99 years,105
2020,Napa,100 years and over,19
2020,Nevada,Less than 1 year,6
2020,Nevada,1 - 4 years,0
2020,Nevada,5 - 9 years,0
2020,Nevada,10 - 14 years,6
2020,Nevada,15 - 19 years,6
2020,Nevada,20 - 24 years,6
2020,Nevada,25 - 29 years,6
2020,Nevada,30 - 34 years,15
2020,Nevada,35 - 39 years,13
2020,Nevada,40 - 44 years,21
2020,Nevada,45 - 49 years,13
2020,Nevada,50 - 54 years,17
2020,Nevada,55 - 59 years,27
2020,Nevada,60 - 64 years,72
2020,Nevada,65 - 69 years,104
2020,Nevada,70 - 74 years,124
2020,Nevada,75 - 79 years,134
2020,Nevada,80 - 84 years,154
2020,Nevada,85 - 89 years,164
2020,Nevada,90 - 94 years,157
2020,Nevada,95 - 99 years,76
2020,Nevada,100 years and over,23
2020,Orange,Less than 1 year,89
2020,Orange,1 - 4 years,18
2020,Orange,5 - 9 years,14
2020,Orange,10 - 14 years,20
2020,Orange,15 - 19 years,69
2020,Orange,20 - 24 years,159
2020,Orange,25 - 29 years,230
2020,Orange,30 - 34 years,244
2020,Orange,35 - 39 years,247
2020,Orange,40 - 44 years,312
2020,Orange,45 - 49 years,491
2020,Orange,50 - 54 years,760
2020,Orange,55 - 59 years,1108
2020,Orange,60 - 64 years,1495
2020,Orange,65 - 69 years,1750
2020,Orange,70 - 74 years,2105
2020,Orange,75 - 79 years,2554
2020,Orange,80 - 84 years,3090
2020,Orange,85 - 89 years,3672
2020,Orange,90 - 94 years,3066
2020,Orange,95 - 99 years,1640
2020,Orange,100 years and over,321
2020,Placer,Less than 1 year,6
2020,Placer,1 - 4 years,6
2020,Placer,5 - 9 years,6
2020,Placer,10 - 14 years,6
2020,Placer,15 - 19 years,12
2020,Placer,20 - 24 years,26
2020,Placer,25 - 29 years,16
2020,Placer,30 - 34 years,22
2020,Placer,35 - 39 years,26
2020,Placer,40 - 44 years,35
2020,Placer,45 - 49 years,40
2020,Placer,50 - 54 years,78
2020,Placer,55 - 59 years,129
2020,Placer,60 - 64 years,183
2020,Placer,65 - 69 years,270
2020,Placer,70 - 74 years,365
2020,Placer,75 - 79 years,422
2020,Placer,80 - 84 years,538
2020,Placer,85 - 89 years,577
2020,Placer,90 - 94 years,499
2020,Placer,95 - 99 years,253
2020,Placer,100 years and over,46
2020,Plumas,Less than 1 year,6
2020,Plumas,1 - 4 years,0
2020,Plumas,5 - 9 years,0
2020,Plumas,10 - 14 years,0
2020,Plumas,15 - 19 years,0
2020,Plumas,20 - 24 years,0
2020,Plumas,25 - 29 years,6
2020,Plumas,30 - 34 years,6
2020,Plumas,35 - 39 years,6
2020,Plumas,40 - 44 years,6
2020,Plumas,45 - 49 years,6
2020,Plumas,50 - 54 years,6
2020,Plumas,55 - 59 years,6
2020,Plumas,60 - 64 years,20
2020,Plumas,65 - 69 years,15
2020,Plumas,70 - 74 years,28
2020,Plumas,75 - 79 years,30
2020,Plumas,80 - 84 years,31
2020,Plumas,85 - 89 years,14
2020,Plumas,90 - 94 years,19
2020,Plumas,95 - 99 years,13
2020,Plumas,100 years and over,6
2020,Riverside,Less than 1 year,94
2020,Riverside,1 - 4 years,26
2020,Riverside,5 - 9 years,6
2020,Riverside,10 - 14 years,23
2020,Riverside,15 - 19 years,93
2020,Riverside,20 - 24 years,202
2020,Riverside,25 - 29 years,241
2020,Riverside,30 - 34 years,271
2020,Riverside,35 - 39 years,318
2020,Riverside,40 - 44 years,396
2020,Riverside,45 - 49 years,510
2020,Riverside,50 - 54 years,753
2020,Riverside,55 - 59 years,1241
2020,Riverside,60 - 64 years,1703
2020,Riverside,65 - 69 years,1930
2020,Riverside,70 - 74 years,2392
2020,Riverside,75 - 79 years,2664
2020,Riverside,80 - 84 years,2661
2020,Riverside,85 - 89 years,2738
2020,Riverside,90 - 94 years,2117
2020,Riverside,95 - 99 years,948
2020,Riverside,100 years and over,199
2020,Sacramento,Less than 1 year,93
2020,Sacramento,1 - 4 years,16
2020,Sacramento,5 - 9 years,6
2020,Sacramento,10 - 14 years,19
2020,Sacramento,15 - 19 years,62
2020,Sacramento,20 - 24 years,105
2020,Sacramento,25 - 29 years,141
2020,Sacramento,30 - 34 years,165
2020,Sacramento,35 - 39 years,222
2020,Sacramento,40 - 44 years,232
2020,Sacramento,45 - 49 years,292
2020,Sacramento,50 - 54 years,461
2020,Sacramento,55 - 59 years,733
2020,Sacramento,60 - 64 years,1105
2020,Sacramento,65 - 69 years,1255
2020,Sacramento,70 - 74 years,1326
2020,Sacramento,75 - 79 years,1399
2020,Sacramento,80 - 84 years,1571
2020,Sacramento,85 - 89 years,1723
2020,Sacramento,90 - 94 years,1517
2020,Sacramento,95 - 99 years,767
2020,Sacramento,100 years and over,163
2020,San Benito,Less than 1 year,6
2020,San Benito,1 - 4 years,6
2020,San Benito,5 - 9 years,0
2020,San Benito,10 - 14 years,6
2020,San Benito,15 - 19 years,6
2020,San Benito,20 - 24 years,6
2020,San Benito,25 - 29 years,6
2020,San Benito,30 - 34 years,6
2020,San Benito,35 - 39 years,6
2020,San Benito,40 - 44 years,13
2020,San Benito,45 - 49 years,6
2020,San Benito,50 - 54 years,6
2020,San Benito,55 - 59 years,22
2020,San Benito,60 - 64 years,34
2020,San Benito,65 - 69 years,43
2020,San Benito,70 - 74 years,30
2020,San Benito,75 - 79 years,39
2020,San Benito,80 - 84 years,60
2020,San Benito,85 - 89 years,51
2020,San Benito,90 - 94 years,55
2020,San Benito,95 - 99 years,22
2020,San Benito,100 years and over,6
2020,San Bernardino,Less than 1 year,152
2020,San Bernardino,1 - 4 years,27
2020,San Bernardino,5 - 9 years,25
2020,San Bernardino,10 - 14 years,33
2020,San Bernardino,15 - 19 years,102
2020,San Bernardino,20 - 24 years,207
2020,San Bernardino,25 - 29 years,265
2020,San Bernardino,30 - 34 years,317
2020,San Bernardino,35 - 39 years,367
2020,San Bernardino,40 - 44 years,468
2020,San Bernardino,45 - 49 years,551
2020,San Bernardino,50 - 54 years,849
2020,San Bernardino,55 - 59 years,1292
2020,San Bernardino,60 - 64 years,1711
2020,San Bernardino,65 - 69 years,2052
2020,San Bernardino,70 - 74 years,2173
2020,San Bernardino,75 - 79 years,2136
2020,San Bernardino,80 - 84 years,2168
2020,San Bernardino,85 - 89 years,2007
2020,San Bernardino,90 - 94 years,1477
2020,San Bernardino,95 - 99 years,660
2020,San Bernardino,100 years and over,142
2020,San Diego,Less than 1 year,121
2020,San Diego,1 - 4 years,17
2020,San Diego,5 - 9 years,6
2020,San Diego,10 - 14 years,18
2020,San Diego,15 - 19 years,92
2020,San Diego,20 - 24 years,197
2020,San Diego,25 - 29 years,225
2020,San Diego,30 - 34 years,303
2020,San Diego,35 - 39 years,306
2020,San Diego,40 - 44 years,331
2020,San Diego,45 - 49 years,471
2020,San Diego,50 - 54 years,777
2020,San Diego,55 - 59 years,1179
2020,San Diego,60 - 64 years,1728
2020,San Diego,65 - 69 years,1987
2020,San Diego,70 - 74 years,2488
2020,San Diego,75 - 79 years,2623
2020,San Diego,80 - 84 years,3009
2020,San Diego,85 - 89 years,3515
2020,San Diego,90 - 94 years,3129
2020,San Diego,95 - 99 years,1686
2020,San Diego,100 years and over,358
2020,San Francisco,Less than 1 year,17
2020,San Francisco,1 - 4 years,6
2020,San Francisco,5 - 9 years,6
2020,San Francisco,10 - 14 years,6
2020,San Francisco,15 - 19 years,6
2020,San Francisco,20 - 24 years,39
2020,San Francisco,25 - 29 years,73
2020,San Francisco,30 - 34 years,81
2020,San Francisco,35 - 39 years,131
2020,San Francisco,40 - 44 years,133
2020,San Francisco,45 - 49 years,172
2020,San Francisco,50 - 54 years,263
2020,San Francisco,55 - 59 years,317
2020,San Francisco,60 - 64 years,433
2020,San Francisco,65 - 69 years,505
2020,San Francisco,70 - 74 years,552
2020,San Francisco,75 - 79 years,528
2020,San Francisco,80 - 84 years,713
2020,San Francisco,85 - 89 years,822
2020,San Francisco,90 - 94 years,891
2020,San Francisco,95 - 99 years,469
2020,San Francisco,100 years and over,145
2020,San Joaquin,Less than 1 year,45
2020,San Joaquin,1 - 4 years,6
2020,San Joaquin,5 - 9 years,6
2020,San Joaquin,10 - 14 years,11
2020,San Joaquin,15 - 19 years,44
2020,San Joaquin,20 - 24 years,64
2020,San Joaquin,25 - 29 years,64
2020,San Joaquin,30 - 34 years,87
2020,San Joaquin,35 - 39 years,137
2020,San Joaquin,40 - 44 years,142
2020,San Joaquin,45 - 49 years,207
2020,San Joaquin,50 - 54 years,250
2020,San Joaquin,55 - 59 years,467
2020,San Joaquin,60 - 64 years,601
2020,San Joaquin,65 - 69 years,665
2020,San Joaquin,70 - 74 years,784
2020,San Joaquin,75 - 79 years,807
2020,San Joaquin,80 - 84 years,791
2020,San Joaquin,85 - 89 years,778
2020,San Joaquin,90 - 94 years,656
2020,San Joaquin,95 - 99 years,311
2020,San Joaquin,100 years and over,68
2020,San Luis Obispo,Less than 1 year,6
2020,San Luis Obispo,1 - 4 years,0
2020,San Luis Obispo,5 - 9 years,6
2020,San Luis Obispo,10 - 14 years,6
2020,San Luis Obispo,15 - 19 years,6
2020,San Luis Obispo,20 - 24 years,11
2020,San Luis Obispo,25 - 29 years,20
2020,San Luis Obispo,30 - 34 years,33
2020,San Luis Obispo,35 - 39 years,28
2020,San Luis Obispo,40 - 44 years,28
2020,San Luis Obispo,45 - 49 years,35
2020,San Luis Obispo,50 - 54 years,72
2020,San Luis Obispo,55 - 59 years,84
2020,San Luis Obispo,60 - 64 years,158
2020,San Luis Obispo,65 - 69 years,211
2020,San Luis Obispo,70 - 74 years,221
2020,San Luis Obispo,75 - 79 years,295
2020,San Luis Obispo,80 - 84 years,315
2020,San Luis Obispo,85 - 89 years,369
2020,San Luis Obispo,90 - 94 years,361
2020,San Luis Obispo,95 - 99 years,196
2020,San Luis Obispo,100 years and over,42
2020,San Mateo,Less than 1 year,24
2020,San Mateo,1 - 4 years,6
2020,San Mateo,5 - 9 years,6
2020,San Mateo,10 - 14 years,6
2020,San Mateo,15 - 19 years,13
2020,San Mateo,20 - 24 years,22
2020,San Mateo,25 - 29 years,38
2020,San Mateo,30 - 34 years,37
2020,San Mateo,35 - 39 years,50
2020,San Mateo,40 - 44 years,54
2020,San Mateo,45 - 49 years,92
2020,San Mateo,50 - 54 years,134
2020,San Mateo,55 - 59 years,233
2020,San Mateo,60 - 64 years,299
2020,San Mateo,65 - 69 years,346
2020,San Mateo,70 - 74 years,424
2020,San Mateo,75 - 79 years,498
2020,San Mateo,80 - 84 years,602
2020,San Mateo,85 - 89 years,786
2020,San Mateo,90 - 94 years,765
2020,San Mateo,95 - 99 years,441
2020,San Mateo,100 years and over,133
2020,Santa Barbara,Less than 1 year,19
2020,Santa Barbara,1 - 4 years,6
2020,Santa Barbara,5 - 9 years,6
2020,Santa Barbara,10 - 14 years,6
2020,Santa Barbara,15 - 19 years,16
2020,Santa Barbara,20 - 24 years,22
2020,Santa Barbara,25 - 29 years,35
2020,Santa Barbara,30 - 34 years,45
2020,Santa Barbara,35 - 39 years,49
2020,Santa Barbara,40 - 44 years,45
2020,Santa Barbara,45 - 49 years,54
2020,Santa Barbara,50 - 54 years,87
2020,Santa Barbara,55 - 59 years,156
2020,Santa Barbara,60 - 64 years,209
2020,Santa Barbara,65 - 69 years,246
2020,Santa Barbara,70 - 74 years,287
2020,Santa Barbara,75 - 79 years,352
2020,Santa Barbara,80 - 84 years,423
2020,Santa Barbara,85 - 89 years,543
2020,Santa Barbara,90 - 94 years,507
2020,Santa Barbara,95 - 99 years,307
2020,Santa Barbara,100 years and over,70
2020,Santa Clara,Less than 1 year,46
2020,Santa Clara,1 - 4 years,6
2020,Santa Clara,5 - 9 years,6
2020,Santa Clara,10 - 14 years,14
2020,Santa Clara,15 - 19 years,49
2020,Santa Clara,20 - 24 years,74
2020,Santa Clara,25 - 29 years,90
2020,Santa Clara,30 - 34 years,100
2020,Santa Clara,35 - 39 years,146
2020,Santa Clara,40 - 44 years,185
2020,Santa Clara,45 - 49 years,218
2020,Santa Clara,50 - 54 years,359
2020,Santa Clara,55 - 59 years,535
2020,Santa Clara,60 - 64 years,693
2020,Santa Clara,65 - 69 years,829
2020,Santa Clara,70 - 74 years,990
2020,Santa Clara,75 - 79 years,1184
2020,Santa Clara,80 - 84 years,1467
2020,Santa Clara,85 - 89 years,1702
2020,Santa Clara,90 - 94 years,1613
2020,Santa Clara,95 - 99 years,834
2020,Santa Clara,100 years and over,230
2020,Santa Cruz,Less than 1 year,6
2020,Santa Cruz,1 - 4 years,0
2020,Santa Cruz,5 - 9 years,6
2020,Santa Cruz,10 - 14 years,6
2020,Santa Cruz,15 - 19 years,6
2020,Santa Cruz,20 - 24 years,15
2020,Santa Cruz,25 - 29 years,17
2020,Santa Cruz,30 - 34 years,24
2020,Santa Cruz,35 - 39 years,24
2020,Santa Cruz,40 - 44 years,42
2020,Santa Cruz,45 - 49 years,44
2020,Santa Cruz,50 - 54 years,41
2020,Santa Cruz,55 - 59 years,85
2020,Santa Cruz,60 - 64 years,135
2020,Santa Cruz,65 - 69 years,192
2020,Santa Cruz,70 - 74 years,180
2020,Santa Cruz,75 - 79 years,209
2020,Santa Cruz,80 - 84 years,218
2020,Santa Cruz,85 - 89 years,237
2020,Santa Cruz,90 - 94 years,253
2020,Santa Cruz,95 - 99 years,119
2020,Santa Cruz,100 years and over,26
2020,Shasta,Less than 1 year,6
2020,Shasta,1 - 4 years,6
2020,Shasta,5 - 9 years,6
2020,Shasta,10 - 14 years,6
2020,Shasta,15 - 19 years,6
2020,Shasta,20 - 24 years,12
2020,Shasta,25 - 29 years,6
2020,Shasta,30 - 34 years,30
2020,Shasta,35 - 39 years,32
2020,Shasta,40 - 44 years,33
2020,Shasta,45 - 49 years,51
2020,Shasta,50 - 54 years,79
2020,Shasta,55 - 59 years,130
2020,Shasta,60 - 64 years,207
2020,Shasta,65 - 69 years,237
2020,Shasta,70 - 74 years,254
2020,Shasta,75 - 79 years,318
2020,Shasta,80 - 84 years,326
2020,Shasta,85 - 89 years,328
2020,Shasta,90 - 94 years,213
2020,Shasta,95 - 99 years,116
2020,Shasta,100 years and over,27
2020,Sierra,Less than 1 year,0
2020,Sierra,1 - 4 years,0
2020,Sierra,5 - 9 years,0
2020,Sierra,10 - 14 years,0
2020,Sierra,15 - 19 years,0
2020,Sierra,20 - 24 years,0
2020,Sierra,25 - 29 years,6
2020,Sierra,30 - 34 years,0
2020,Sierra,35 - 39 years,0
2020,Sierra,40 - 44 years,0
2020,Sierra,45 - 49 years,6
2020,Sierra,50 - 54 years,0
2020,Sierra,55 - 59 years,6
2020,Sierra,60 - 64 years,6
2020,Sierra,65 - 69 years,6
2020,Sierra,70 - 74 years,6
2020,Sierra,75 - 79 years,6
2020,Sierra,80 - 84 years,6
2020,Sierra,85 - 89 years,6
2020,Sierra,90 - 94 years,6
2020,Sierra,95 - 99 years,0
2020,Sierra,100 years and over,0
2020,Siskiyou,Less than 1 year,6
2020,Siskiyou,1 - 4 years,6
2020,Siskiyou,5 - 9 years,0
2020,Siskiyou,10 - 14 years,6
2020,Siskiyou,15 - 19 years,0
2020,Siskiyou,20 - 24 years,6
2020,Siskiyou,25 - 29 years,6
2020,Siskiyou,30 - 34 years,6
2020,Siskiyou,35 - 39 years,6
2020,Siskiyou,40 - 44 years,6
2020,Siskiyou,45 - 49 years,6
2020,Siskiyou,50 - 54 years,14
2020,Siskiyou,55 - 59 years,25
2020,Siskiyou,60 - 64 years,62
2020,Siskiyou,65 - 69 years,57
2020,Siskiyou,70 - 74 years,78
2020,Siskiyou,75 - 79 years,72
2020,Siskiyou,80 - 84 years,73
2020,Siskiyou,85 - 89 years,64
2020,Siskiyou,90 - 94 years,57
2020,Siskiyou,95 - 99 years,25
2020,Siskiyou,100 years and over,6
2020,Solano,Less than 1 year,20
2020,Solano,1 - 4 years,6
2020,Solano,5 - 9 years,6
2020,Solano,10 - 14 years,6
2020,Solano,15 - 19 years,12
2020,Solano,20 - 24 years,30
2020,Solano,25 - 29 years,38
2020,Solano,30 - 34 years,45
2020,Solano,35 - 39 years,65
2020,Solano,40 - 44 years,59
2020,Solano,45 - 49 years,83
2020,Solano,50 - 54 years,137
2020,Solano,55 - 59 years,222
2020,Solano,60 - 64 years,310
2020,Solano,65 - 69 years,303
2020,Solano,70 - 74 years,454
2020,Solano,75 - 79 years,421
2020,Solano,80 - 84 years,462
2020,Solano,85 - 89 years,467
2020,Solano,90 - 94 years,386
2020,Solano,95 - 99 years,173
2020,Solano,100 years and over,46
2020,Sonoma,Less than 1 year,6
2020,Sonoma,1 - 4 years,6
2020,Sonoma,5 - 9 years,6
2020,Sonoma,10 - 14 years,6
2020,Sonoma,15 - 19 years,6
2020,Sonoma,20 - 24 years,22
2020,Sonoma,25 - 29 years,40
2020,Sonoma,30 - 34 years,50
2020,Sonoma,35 - 39 years,51
2020,Sonoma,40 - 44 years,67
2020,Sonoma,45 - 49 years,88
2020,Sonoma,50 - 54 years,124
2020,Sonoma,55 - 59 years,184
2020,Sonoma,60 - 64 years,270
2020,Sonoma,65 - 69 years,388
2020,Sonoma,70 - 74 years,477
2020,Sonoma,75 - 79 years,517
2020,Sonoma,80 - 84 years,508
2020,Sonoma,85 - 89 years,609
2020,Sonoma,90 - 94 years,553
2020,Sonoma,95 - 99 years,354
2020,Sonoma,100 years and over,74
2020,Stanislaus,Less than 1 year,37
2020,Stanislaus,1 - 4 years,6
2020,Stanislaus,5 - 9 years,6
2020,Stanislaus,10 - 14 years,13
2020,Stanislaus,15 - 19 years,17
2020,Stanislaus,20 - 24 years,40
2020,Stanislaus,25 - 29 years,65
2020,Stanislaus,30 - 34 years,73
2020,Stanislaus,35 - 39 years,111
2020,Stanislaus,40 - 44 years,106
2020,Stanislaus,45 - 49 years,113
2020,Stanislaus,50 - 54 years,212
2020,Stanislaus,55 - 59 years,303
2020,Stanislaus,60 - 64 years,446
2020,Stanislaus,65 - 69 years,479
2020,Stanislaus,70 - 74 years,584
2020,Stanislaus,75 - 79 years,628
2020,Stanislaus,80 - 84 years,626
2020,Stanislaus,85 - 89 years,672
2020,Stanislaus,90 - 94 years,497
2020,Stanislaus,95 - 99 years,239
2020,Stanislaus,100 years and over,38
2020,Sutter,Less than 1 year,6
2020,Sutter,1 - 4 years,6
2020,Sutter,5 - 9 years,0
2020,Sutter,10 - 14 years,6
2020,Sutter,15 - 19 years,6
2020,Sutter,20 - 24 years,6
2020,Sutter,25 - 29 years,6
2020,Sutter,30 - 34 years,13
2020,Sutter,35 - 39 years,11
2020,Sutter,40 - 44 years,15
2020,Sutter,45 - 49 years,26
2020,Sutter,50 - 54 years,33
2020,Sutter,55 - 59 years,50
2020,Sutter,60 - 64 years,72
2020,Sutter,65 - 69 years,68
2020,Sutter,70 - 74 years,104
2020,Sutter,75 - 79 years,115
2020,Sutter,80 - 84 years,118
2020,Sutter,85 - 89 years,114
2020,Sutter,90 - 94 years,117
2020,Sutter,95 - 99 years,47
2020,Sutter,100 years and over,6
2020,Tehama,Less than 1 year,6
2020,Tehama,1 - 4 years,0
2020,Tehama,5 - 9 years,0
2020,Tehama,10 - 14 years,6
2020,Tehama,15 - 19 years,6
2020,Tehama,20 - 24 years,6
2020,Tehama,25 - 29 years,6
2020,Tehama,30 - 34 years,6
2020,Tehama,35 - 39 years,6
2020,Tehama,40 - 44 years,11
2020,Tehama,45 - 49 years,20
2020,Tehama,50 - 54 years,28
2020,Tehama,55 - 59 years,47
2020,Tehama,60 - 64 years,62
2020,Tehama,65 - 69 years,72
2020,Tehama,70 - 74 years,99
