Year_of_Death,County_of_Residence,Age,Race_Ethnicity,Total_Deaths_ethnicity
2021,Alameda,70 - 74 years,Asian,87
2021,Alameda,70 - 74 years,Black/African-American,117
2021,Alameda,70 - 74 years,Multi-Race,6
2021,Alameda,70 - 74 years,Native American/Alaskan Native,0
2021,Alameda,70 - 74 years,Pacific Islander/Native Hawaiian,6
2021,Alameda,70 - 74 years,Other/Unknown,6
2021,Alameda,75 - 79 years,Hispanic,54
2021,Alameda,75 - 79 years,White,241
2021,Alameda,75 - 79 years,Asian,84
2021,Alameda,75 - 79 years,Black/African-American,83
2021,Alameda,75 - 79 years,Multi-Race,6
2021,Alameda,75 - 79 years,Native American/Alaskan Native,6
2021,Alameda,75 - 79 years,Pacific Islander/Native Hawaiian,6
2021,Alameda,75 - 79 years,Other/Unknown,6
2021,Alameda,80 - 84 years,Hispanic,55
2021,Alameda,80 - 84 years,White,221
2021,Alameda,80 - 84 years,Asian,139
2021,Alameda,80 - 84 years,Black/African-American,83
2021,Alameda,80 - 84 years,Multi-Race,6
2021,Alameda,80 - 84 years,Native American/Alaskan Native,0
2021,Alameda,80 - 84 years,Pacific Islander/Native Hawaiian,6
2021,Alameda,80 - 84 years,Other/Unknown,6
2021,Alameda,85 - 89 years,Hispanic,68
2021,Alameda,85 - 89 years,White,240
2021,Alameda,85 - 89 years,Asian,134
2021,Alameda,85 - 89 years,Black/African-American,59
2021,Alameda,85 - 89 years,Multi-Race,6
2021,Alameda,85 - 89 years,Native American/Alaskan Native,6
2021,Alameda,85 - 89 years,Pacific Islander/Native Hawaiian,6
2021,Alameda,85 - 89 years,Other/Unknown,6
2021,Alameda,90 - 94 years,Hispanic,55
2021,Alameda,90 - 94 years,White,249
2021,Alameda,90 - 94 years,Asian,144
2021,Alameda,90 - 94 years,Black/African-American,67
2021,Alameda,90 - 94 years,Multi-Race,0
2021,Alameda,90 - 94 years,Native American/Alaskan Native,6
2021,Alameda,90 - 94 years,Pacific Islander/Native Hawaiian,6
2021,Alameda,90 - 94 years,Other/Unknown,6
2021,Alameda,95 - 99 years,Hispanic,21
2021,Alameda,95 - 99 years,White,148
2021,Alameda,95 - 99 years,Asian,59
2021,Alameda,95 - 99 years,Black/African-American,31
2021,Alameda,95 - 99 years,Multi-Race,6
2021,Alameda,95 - 99 years,Native American/Alaskan Native,0
2021,Alameda,95 - 99 years,Pacific Islander/Native Hawaiian,6
2021,Alameda,95 - 99 years,Other/Unknown,0
2021,Alameda,100 years and over,Hispanic,11
2021,Alameda,100 years and over,White,27
2021,Alameda,100 years and over,Asian,17
2021,Alameda,100 years and over,Black/African-American,6
2021,Alameda,100 years and over,Multi-Race,6
2021,Alameda,100 years and over,Native American/Alaskan Native,0
2021,Alameda,100 years and over,Pacific Islander/Native Hawaiian,0
2021,Alameda,100 years and over,Other/Unknown,6
2021,Alpine,Less than 1 year,Hispanic,0
2021,Alpine,Less than 1 year,White,0
2021,Alpine,Less than 1 year,Asian,0
2021,Alpine,Less than 1 year,Black/African-American,0
2021,Alpine,Less than 1 year,Multi-Race,0
2021,Alpine,Less than 1 year,Native American/Alaskan Native,0
2021,Alpine,Less than 1 year,Pacific Islander/Native Hawaiian,0
2021,Alpine,Less than 1 year,Other/Unknown,0
2021,Alpine,1 - 4 years,Hispanic,0
2021,Alpine,1 - 4 years,White,0
2021,Alpine,1 - 4 years,Asian,0
2021,Alpine,1 - 4 years,Black/African-American,0
2021,Alpine,1 - 4 years,Multi-Race,0
2021,Alpine,1 - 4 years,Native American/Alaskan Native,0
2021,Alpine,1 - 4 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,1 - 4 years,Other/Unknown,0
2021,Alpine,5 - 9 years,Hispanic,0
2021,Alpine,5 - 9 years,White,0
2021,Alpine,5 - 9 years,Asian,0
2021,Alpine,5 - 9 years,Black/African-American,0
2021,Alpine,5 - 9 years,Multi-Race,0
2021,Alpine,5 - 9 years,Native American/Alaskan Native,0
2021,Alpine,5 - 9 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,5 - 9 years,Other/Unknown,0
2021,Alpine,10 - 14 years,Hispanic,0
2021,Alpine,10 - 14 years,White,0
2021,Alpine,10 - 14 years,Asian,0
2021,Alpine,10 - 14 years,Black/African-American,0
2021,Alpine,10 - 14 years,Multi-Race,0
2021,Alpine,10 - 14 years,Native American/Alaskan Native,0
2021,Alpine,10 - 14 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,10 - 14 years,Other/Unknown,0
2021,Alpine,15 - 19 years,Hispanic,0
