Year_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths_marital
2020,Imperial,55 - 59 years,Divorced,22
2020,Imperial,55 - 59 years,Never Married,32
2020,Imperial,55 - 59 years,Unknown,6
2020,Imperial,60 - 64 years,Married (including SRDP),96
2020,Imperial,60 - 64 years,Widowed,13
2020,Imperial,60 - 64 years,Divorced,28
2020,Imperial,60 - 64 years,Never Married,25
2020,Imperial,60 - 64 years,Unknown,6
2020,Imperial,65 - 69 years,Married (including SRDP),103
2020,Imperial,65 - 69 years,Widowed,21
2020,Imperial,65 - 69 years,Divorced,28
2020,Imperial,65 - 69 years,Never Married,21
2020,Imperial,65 - 69 years,Unknown,6
2020,Imperial,70 - 74 years,Married (including SRDP),105
2020,Imperial,70 - 74 years,Widowed,32
2020,Imperial,70 - 74 years,Divorced,30
2020,Imperial,70 - 74 years,Never Married,19
2020,Imperial,70 - 74 years,Unknown,6
2020,Imperial,75 - 79 years,Married (including SRDP),111
2020,Imperial,75 - 79 years,Widowed,39
2020,Imperial,75 - 79 years,Divorced,32
2020,Imperial,75 - 79 years,Never Married,13
2020,Imperial,75 - 79 years,Unknown,6
2020,Imperial,80 - 84 years,Married (including SRDP),89
2020,Imperial,80 - 84 years,Widowed,84
2020,Imperial,80 - 84 years,Divorced,33
2020,Imperial,80 - 84 years,Never Married,6
2020,Imperial,80 - 84 years,Unknown,6
2020,Imperial,85 - 89 years,Married (including SRDP),102
2020,Imperial,85 - 89 years,Widowed,114
2020,Imperial,85 - 89 years,Divorced,20
2020,Imperial,85 - 89 years,Never Married,13
2020,Imperial,85 - 89 years,Unknown,6
2020,Imperial,90 - 94 years,Married (including SRDP),44
2020,Imperial,90 - 94 years,Widowed,103
2020,Imperial,90 - 94 years,Divorced,14
2020,Imperial,90 - 94 years,Never Married,6
2020,Imperial,90 - 94 years,Unknown,6
2020,Imperial,95 - 99 years,Married (including SRDP),6
2020,Imperial,95 - 99 years,Widowed,59
2020,Imperial,95 - 99 years,Divorced,6
2020,Imperial,95 - 99 years,Never Married,6
2020,Imperial,95 - 99 years,Unknown,0
2020,Imperial,100 years and over,Married (including SRDP),6
2020,Imperial,100 years and over,Widowed,14
2020,Imperial,100 years and over,Divorced,0
2020,Imperial,100 years and over,Never Married,0
2020,Imperial,100 years and over,Unknown,0
2020,Inyo,Less than 1 year,Married (including SRDP),0
2020,Inyo,Less than 1 year,Widowed,0
2020,Inyo,Less than 1 year,Divorced,0
2020,Inyo,Less than 1 year,Never Married,6
2020,Inyo,Less than 1 year,Unknown,0
2020,Inyo,1 - 4 years,Married (including SRDP),0
2020,Inyo,1 - 4 years,Widowed,0
2020,Inyo,1 - 4 years,Divorced,0
2020,Inyo,1 - 4 years,Never Married,0
2020,Inyo,1 - 4 years,Unknown,0
2020,Inyo,5 - 9 years,Married (including SRDP),0
2020,Inyo,5 - 9 years,Widowed,0
2020,Inyo,5 - 9 years,Divorced,0
2020,Inyo,5 - 9 years,Never Married,0
2020,Inyo,5 - 9 years,Unknown,0
2020,Inyo,10 - 14 years,Married (including SRDP),0
2020,Inyo,10 - 14 years,Widowed,0
2020,Inyo,10 - 14 years,Divorced,0
2020,Inyo,10 - 14 years,Never Married,0
2020,Inyo,10 - 14 years,Unknown,0
2020,Inyo,15 - 19 years,Married (including SRDP),0
2020,Inyo,15 - 19 years,Widowed,0
2020,Inyo,15 - 19 years,Divorced,0
2020,Inyo,15 - 19 years,Never Married,6
2020,Inyo,15 - 19 years,Unknown,0
2020,Inyo,20 - 24 years,Married (including SRDP),0
2020,Inyo,20 - 24 years,Widowed,0
2020,Inyo,20 - 24 years,Divorced,0
2020,Inyo,20 - 24 years,Never Married,0
2020,Inyo,20 - 24 years,Unknown,0
2020,Inyo,25 - 29 years,Married (including SRDP),0
2020,Inyo,25 - 29 years,Widowed,0
2020,Inyo,25 - 29 years,Divorced,0
2020,Inyo,25 - 29 years,Never Married,6
2020,Inyo,25 - 29 years,Unknown,0
2020,Inyo,30 - 34 years,Married (including SRDP),0
2020,Inyo,30 - 34 years,Widowed,0
2020,Inyo,30 - 34 years,Divorced,6
2020,Inyo,30 - 34 years,Never Married,6
2020,Inyo,30 - 34 years,Unknown,0
2020,Inyo,35 - 39 years,Married (including SRDP),0
2020,Inyo,35 - 39 years,Widowed,0
2020,Inyo,35 - 39 years,Divorced,0
2020,Inyo,35 - 39 years,Never Married,6
2020,Inyo,35 - 39 years,Unknown,0
2020,Inyo,40 - 44 years,Married (including SRDP),0
2020,Inyo,40 - 44 years,Widowed,0
2020,Inyo,40 - 44 years,Divorced,6
2020,Inyo,40 - 44 years,Never Married,0
2020,Inyo,40 - 44 years,Unknown,0
2020,Inyo,45 - 49 years,Married (including SRDP),6
2020,Inyo,45 - 49 years,Widowed,0
2020,Inyo,45 - 49 years,Divorced,6
2020,Inyo,45 - 49 years,Never Married,6
2020,Inyo,45 - 49 years,Unknown,0
2020,Inyo,50 - 54 years,Married (including SRDP),6
2020,Inyo,50 - 54 years,Widowed,0
2020,Inyo,50 - 54 years,Divorced,6
2020,Inyo,50 - 54 years,Never Married,6
2020,Inyo,50 - 54 years,Unknown,0
2020,Inyo,55 - 59 years,Married (including SRDP),6
2020,Inyo,55 - 59 years,Widowed,0
2020,Inyo,55 - 59 years,Divorced,6
2020,Inyo,55 - 59 years,Never Married,6
2020,Inyo,55 - 59 years,Unknown,0
2020,Inyo,60 - 64 years,Married (including SRDP),6
2020,Inyo,60 - 64 years,Widowed,0
2020,Inyo,60 - 64 years,Divorced,6
2020,Inyo,60 - 64 years,Never Married,6
2020,Inyo,60 - 64 years,Unknown,0
2020,Inyo,65 - 69 years,Married (including SRDP),6
2020,Inyo,65 - 69 years,Widowed,6
2020,Inyo,65 - 69 years,Divorced,6
2020,Inyo,65 - 69 years,Never Married,6
2020,Inyo,65 - 69 years,Unknown,0
2020,Inyo,70 - 74 years,Married (including SRDP),6
2020,Inyo,70 - 74 years,Widowed,6
2020,Inyo,70 - 74 years,Divorced,6
2020,Inyo,70 - 74 years,Never Married,6
2020,Inyo,70 - 74 years,Unknown,0
2020,Inyo,75 - 79 years,Married (including SRDP),6
2020,Inyo,75 - 79 years,Widowed,6
2020,Inyo,75 - 79 years,Divorced,6
2020,Inyo,75 - 79 years,Never Married,0
2020,Inyo,75 - 79 years,Unknown,0
2020,Inyo,80 - 84 years,Married (including SRDP),6
2020,Inyo,80 - 84 years,Widowed,11
2020,Inyo,80 - 84 years,Divorced,6
2020,Inyo,80 - 84 years,Never Married,6
2020,Inyo,80 - 84 years,Unknown,0
2020,Inyo,85 - 89 years,Married (including SRDP),6
2020,Inyo,85 - 89 years,Widowed,22
2020,Inyo,85 - 89 years,Divorced,6
2020,Inyo,85 - 89 years,Never Married,6
2020,Inyo,85 - 89 years,Unknown,6
2020,Inyo,90 - 94 years,Married (including SRDP),6
2020,Inyo,90 - 94 years,Widowed,12
2020,Inyo,90 - 94 years,Divorced,6
2020,Inyo,90 - 94 years,Never Married,0
2020,Inyo,90 - 94 years,Unknown,0
2020,Inyo,95 - 99 years,Married (including SRDP),0
2020,Inyo,95 - 99 years,Widowed,6
2020,Inyo,95 - 99 years,Divorced,6
2020,Inyo,95 - 99 years,Never Married,0
2020,Inyo,95 - 99 years,Unknown,0
2020,Inyo,100 years and over,Married (including SRDP),6
2020,Inyo,100 years and over,Widowed,6
2020,Inyo,100 years and over,Divorced,0
2020,Inyo,100 years and over,Never Married,0
2020,Inyo,100 years and over,Unknown,0
2020,Kern,Less than 1 year,Married (including SRDP),0
2020,Kern,Less than 1 year,Widowed,0
2020,Kern,Less than 1 year,Divorced,0
2020,Kern,Less than 1 year,Never Married,78
2020,Kern,Less than 1 year,Unknown,0
2020,Kern,1 - 4 years,Married (including SRDP),0
2020,Kern,1 - 4 years,Widowed,0
2020,Kern,1 - 4 years,Divorced,0
2020,Kern,1 - 4 years,Never Married,16
2020,Kern,1 - 4 years,Unknown,0
2020,Kern,5 - 9 years,Married (including SRDP),0
2020,Kern,5 - 9 years,Widowed,0
2020,Kern,5 - 9 years,Divorced,0
2020,Kern,5 - 9 years,Never Married,14
2020,Kern,5 - 9 years,Unknown,0
2020,Kern,10 - 14 years,Married (including SRDP),0
2020,Kern,10 - 14 years,Widowed,0
2020,Kern,10 - 14 years,Divorced,0
2020,Kern,10 - 14 years,Never Married,12
2020,Kern,10 - 14 years,Unknown,0
2020,Kern,15 - 19 years,Married (including SRDP),0
2020,Kern,15 - 19 years,Widowed,0
2020,Kern,15 - 19 years,Divorced,0
2020,Kern,15 - 19 years,Never Married,54
2020,Kern,15 - 19 years,Unknown,0
2020,Kern,20 - 24 years,Married (including SRDP),6
2020,Kern,20 - 24 years,Widowed,0
2020,Kern,20 - 24 years,Divorced,6
2020,Kern,20 - 24 years,Never Married,111
2020,Kern,20 - 24 years,Unknown,0
2020,Kern,25 - 29 years,Married (including SRDP),15
2020,Kern,25 - 29 years,Widowed,0
2020,Kern,25 - 29 years,Divorced,6
2020,Kern,25 - 29 years,Never Married,94
2020,Kern,25 - 29 years,Unknown,6
2020,Kern,30 - 34 years,Married (including SRDP),25
2020,Kern,30 - 34 years,Widowed,6
2020,Kern,30 - 34 years,Divorced,20
2020,Kern,30 - 34 years,Never Married,97
2020,Kern,30 - 34 years,Unknown,6
2020,Kern,35 - 39 years,Married (including SRDP),44
2020,Kern,35 - 39 years,Widowed,6
2020,Kern,35 - 39 years,Divorced,20
2020,Kern,35 - 39 years,Never Married,79
2020,Kern,35 - 39 years,Unknown,6
2020,Kern,40 - 44 years,Married (including SRDP),64
2020,Kern,40 - 44 years,Widowed,6
2020,Kern,40 - 44 years,Divorced,26
2020,Kern,40 - 44 years,Never Married,81
2020,Kern,40 - 44 years,Unknown,6
2020,Kern,45 - 49 years,Married (including SRDP),97
2020,Kern,45 - 49 years,Widowed,6
2020,Kern,45 - 49 years,Divorced,51
2020,Kern,45 - 49 years,Never Married,78
2020,Kern,45 - 49 years,Unknown,6
2020,Kern,50 - 54 years,Married (including SRDP),148
2020,Kern,50 - 54 years,Widowed,17
2020,Kern,50 - 54 years,Divorced,77
2020,Kern,50 - 54 years,Never Married,104
2020,Kern,50 - 54 years,Unknown,6
2020,Kern,55 - 59 years,Married (including SRDP),212
2020,Kern,55 - 59 years,Widowed,42
2020,Kern,55 - 59 years,Divorced,137
2020,Kern,55 - 59 years,Never Married,121
2020,Kern,55 - 59 years,Unknown,15
2020,Kern,60 - 64 years,Married (including SRDP),298
2020,Kern,60 - 64 years,Widowed,64
2020,Kern,60 - 64 years,Divorced,194
2020,Kern,60 - 64 years,Never Married,110
2020,Kern,60 - 64 years,Unknown,23
2020,Kern,65 - 69 years,Married (including SRDP),368
2020,Kern,65 - 69 years,Widowed,102
2020,Kern,65 - 69 years,Divorced,221
2020,Kern,65 - 69 years,Never Married,87
2020,Kern,65 - 69 years,Unknown,19
2020,Kern,70 - 74 years,Married (including SRDP),352
2020,Kern,70 - 74 years,Widowed,174
2020,Kern,70 - 74 years,Divorced,216
2020,Kern,70 - 74 years,Never Married,69
2020,Kern,70 - 74 years,Unknown,6
2020,Kern,75 - 79 years,Married (including SRDP),397
2020,Kern,75 - 79 years,Widowed,247
2020,Kern,75 - 79 years,Divorced,171
2020,Kern,75 - 79 years,Never Married,51
2020,Kern,75 - 79 years,Unknown,11
2020,Kern,80 - 84 years,Married (including SRDP),354
2020,Kern,80 - 84 years,Widowed,354
2020,Kern,80 - 84 years,Divorced,104
2020,Kern,80 - 84 years,Never Married,35
2020,Kern,80 - 84 years,Unknown,6
2020,Kern,85 - 89 years,Married (including SRDP),229
2020,Kern,85 - 89 years,Widowed,420
2020,Kern,85 - 89 years,Divorced,68
2020,Kern,85 - 89 years,Never Married,23
2020,Kern,85 - 89 years,Unknown,6
2020,Kern,90 - 94 years,Married (including SRDP),139
2020,Kern,90 - 94 years,Widowed,358
2020,Kern,90 - 94 years,Divorced,46
2020,Kern,90 - 94 years,Never Married,12
2020,Kern,90 - 94 years,Unknown,6
2020,Kern,95 - 99 years,Married (including SRDP),26
2020,Kern,95 - 99 years,Widowed,191
2020,Kern,95 - 99 years,Divorced,12
2020,Kern,95 - 99 years,Never Married,6
2020,Kern,95 - 99 years,Unknown,6
2020,Kern,100 years and over,Married (including SRDP),6
2020,Kern,100 years and over,Widowed,41
2020,Kern,100 years and over,Divorced,0
2020,Kern,100 years and over,Never Married,6
2020,Kern,100 years and over,Unknown,0
2020,Kings,Less than 1 year,Married (including SRDP),0
2020,Kings,Less than 1 year,Widowed,0
2020,Kings,Less than 1 year,Divorced,0
2020,Kings,Less than 1 year,Never Married,11
2020,Kings,Less than 1 year,Unknown,0
2020,Kings,1 - 4 years,Married (including SRDP),0
2020,Kings,1 - 4 years,Widowed,0
2020,Kings,1 - 4 years,Divorced,0
2020,Kings,1 - 4 years,Never Married,6
2020,Kings,1 - 4 years,Unknown,0
2020,Kings,5 - 9 years,Married (including SRDP),0
2020,Kings,5 - 9 years,Widowed,0
2020,Kings,5 - 9 years,Divorced,0
2020,Kings,5 - 9 years,Never Married,6
2020,Kings,5 - 9 years,Unknown,0
2020,Kings,10 - 14 years,Married (including SRDP),0
2020,Kings,10 - 14 years,Widowed,0
2020,Kings,10 - 14 years,Divorced,0
2020,Kings,10 - 14 years,Never Married,6
2020,Kings,10 - 14 years,Unknown,0
2020,Kings,15 - 19 years,Married (including SRDP),0
2020,Kings,15 - 19 years,Widowed,0
2020,Kings,15 - 19 years,Divorced,0
2020,Kings,15 - 19 years,Never Married,6
2020,Kings,15 - 19 years,Unknown,0
2020,Kings,20 - 24 years,Married (including SRDP),6
2020,Kings,20 - 24 years,Widowed,0
2020,Kings,20 - 24 years,Divorced,0
2020,Kings,20 - 24 years,Never Married,6
2020,Kings,20 - 24 years,Unknown,0
2020,Kings,25 - 29 years,Married (including SRDP),0
2020,Kings,25 - 29 years,Widowed,0
2020,Kings,25 - 29 years,Divorced,6
2020,Kings,25 - 29 years,Never Married,6
2020,Kings,25 - 29 years,Unknown,0
2020,Kings,30 - 34 years,Married (including SRDP),6
2020,Kings,30 - 34 years,Widowed,0
2020,Kings,30 - 34 years,Divorced,6
2020,Kings,30 - 34 years,Never Married,6
2020,Kings,30 - 34 years,Unknown,0
2020,Kings,35 - 39 years,Married (including SRDP),11
2020,Kings,35 - 39 years,Widowed,0
2020,Kings,35 - 39 years,Divorced,6
2020,Kings,35 - 39 years,Never Married,6
2020,Kings,35 - 39 years,Unknown,0
2020,Kings,40 - 44 years,Married (including SRDP),11
2020,Kings,40 - 44 years,Widowed,0
2020,Kings,40 - 44 years,Divorced,6
2020,Kings,40 - 44 years,Never Married,6
2020,Kings,40 - 44 years,Unknown,0
2020,Kings,45 - 49 years,Married (including SRDP),11
2020,Kings,45 - 49 years,Widowed,0
2020,Kings,45 - 49 years,Divorced,6
2020,Kings,45 - 49 years,Never Married,12
2020,Kings,45 - 49 years,Unknown,0
2020,Kings,50 - 54 years,Married (including SRDP),21
2020,Kings,50 - 54 years,Widowed,6
2020,Kings,50 - 54 years,Divorced,11
2020,Kings,50 - 54 years,Never Married,18
2020,Kings,50 - 54 years,Unknown,6
2020,Kings,55 - 59 years,Married (including SRDP),22
2020,Kings,55 - 59 years,Widowed,6
2020,Kings,55 - 59 years,Divorced,17
2020,Kings,55 - 59 years,Never Married,17
2020,Kings,55 - 59 years,Unknown,6
2020,Kings,60 - 64 years,Married (including SRDP),39
2020,Kings,60 - 64 years,Widowed,6
2020,Kings,60 - 64 years,Divorced,26
2020,Kings,60 - 64 years,Never Married,12
2020,Kings,60 - 64 years,Unknown,6
2020,Kings,65 - 69 years,Married (including SRDP),54
2020,Kings,65 - 69 years,Widowed,12
2020,Kings,65 - 69 years,Divorced,23
2020,Kings,65 - 69 years,Never Married,6
2020,Kings,65 - 69 years,Unknown,0
2020,Kings,70 - 74 years,Married (including SRDP),61
2020,Kings,70 - 74 years,Widowed,22
2020,Kings,70 - 74 years,Divorced,17
2020,Kings,70 - 74 years,Never Married,12
2020,Kings,70 - 74 years,Unknown,6
2020,Kings,75 - 79 years,Married (including SRDP),56
2020,Kings,75 - 79 years,Widowed,43
2020,Kings,75 - 79 years,Divorced,33
2020,Kings,75 - 79 years,Never Married,6
2020,Kings,75 - 79 years,Unknown,0
2020,Kings,80 - 84 years,Married (including SRDP),55
2020,Kings,80 - 84 years,Widowed,38
2020,Kings,80 - 84 years,Divorced,18
2020,Kings,80 - 84 years,Never Married,6
2020,Kings,80 - 84 years,Unknown,0
2020,Kings,85 - 89 years,Married (including SRDP),42
2020,Kings,85 - 89 years,Widowed,76
2020,Kings,85 - 89 years,Divorced,11
2020,Kings,85 - 89 years,Never Married,6
2020,Kings,85 - 89 years,Unknown,6
2020,Kings,90 - 94 years,Married (including SRDP),18
2020,Kings,90 - 94 years,Widowed,60
2020,Kings,90 - 94 years,Divorced,6
2020,Kings,90 - 94 years,Never Married,6
2020,Kings,90 - 94 years,Unknown,0
2020,Kings,95 - 99 years,Married (including SRDP),6
2020,Kings,95 - 99 years,Widowed,34
2020,Kings,95 - 99 years,Divorced,6
2020,Kings,95 - 99 years,Never Married,6
2020,Kings,95 - 99 years,Unknown,0
2020,Kings,100 years and over,Married (including SRDP),6
2020,Kings,100 years and over,Widowed,6
2020,Kings,100 years and over,Divorced,0
2020,Kings,100 years and over,Never Married,6
2020,Kings,100 years and over,Unknown,0
2020,Lake,Less than 1 year,Married (including SRDP),0
2020,Lake,Less than 1 year,Widowed,0
2020,Lake,Less than 1 year,Divorced,0
2020,Lake,Less than 1 year,Never Married,6
2020,Lake,Less than 1 year,Unknown,0
2020,Lake,1 - 4 years,Married (including SRDP),0
2020,Lake,1 - 4 years,Widowed,0
2020,Lake,1 - 4 years,Divorced,0
2020,Lake,1 - 4 years,Never Married,0
2020,Lake,1 - 4 years,Unknown,0
2020,Lake,5 - 9 years,Married (including SRDP),0
2020,Lake,5 - 9 years,Widowed,0
2020,Lake,5 - 9 years,Divorced,0
2020,Lake,5 - 9 years,Never Married,0
2020,Lake,5 - 9 years,Unknown,0
2020,Lake,10 - 14 years,Married (including SRDP),0
2020,Lake,10 - 14 years,Widowed,0
2020,Lake,10 - 14 years,Divorced,0
2020,Lake,10 - 14 years,Never Married,0
2020,Lake,10 - 14 years,Unknown,0
2020,Lake,15 - 19 years,Married (including SRDP),0
2020,Lake,15 - 19 years,Widowed,0
2020,Lake,15 - 19 years,Divorced,0
2020,Lake,15 - 19 years,Never Married,6
2020,Lake,15 - 19 years,Unknown,0
2020,Lake,20 - 24 years,Married (including SRDP),0
2020,Lake,20 - 24 years,Widowed,0
2020,Lake,20 - 24 years,Divorced,0
2020,Lake,20 - 24 years,Never Married,6
2020,Lake,20 - 24 years,Unknown,0
2020,Lake,25 - 29 years,Married (including SRDP),6
2020,Lake,25 - 29 years,Widowed,0
2020,Lake,25 - 29 years,Divorced,0
2020,Lake,25 - 29 years,Never Married,6
2020,Lake,25 - 29 years,Unknown,0
2020,Lake,30 - 34 years,Married (including SRDP),6
2020,Lake,30 - 34 years,Widowed,0
2020,Lake,30 - 34 years,Divorced,0
2020,Lake,30 - 34 years,Never Married,6
2020,Lake,30 - 34 years,Unknown,0
2020,Lake,35 - 39 years,Married (including SRDP),6
2020,Lake,35 - 39 years,Widowed,0
2020,Lake,35 - 39 years,Divorced,6
2020,Lake,35 - 39 years,Never Married,6
2020,Lake,35 - 39 years,Unknown,0
2020,Lake,40 - 44 years,Married (including SRDP),6
2020,Lake,40 - 44 years,Widowed,6
2020,Lake,40 - 44 years,Divorced,6
2020,Lake,40 - 44 years,Never Married,6
2020,Lake,40 - 44 years,Unknown,6
2020,Lake,45 - 49 years,Married (including SRDP),6
2020,Lake,45 - 49 years,Widowed,6
2020,Lake,45 - 49 years,Divorced,6
2020,Lake,45 - 49 years,Never Married,6
2020,Lake,45 - 49 years,Unknown,0
2020,Lake,50 - 54 years,Married (including SRDP),14
2020,Lake,50 - 54 years,Widowed,0
2020,Lake,50 - 54 years,Divorced,6
2020,Lake,50 - 54 years,Never Married,16
2020,Lake,50 - 54 years,Unknown,6
2020,Lake,55 - 59 years,Married (including SRDP),18
2020,Lake,55 - 59 years,Widowed,6
2020,Lake,55 - 59 years,Divorced,19
2020,Lake,55 - 59 years,Never Married,13
2020,Lake,55 - 59 years,Unknown,6
2020,Lake,60 - 64 years,Married (including SRDP),29
2020,Lake,60 - 64 years,Widowed,11
2020,Lake,60 - 64 years,Divorced,34
2020,Lake,60 - 64 years,Never Married,19
2020,Lake,60 - 64 years,Unknown,6
2020,Lake,65 - 69 years,Married (including SRDP),40
2020,Lake,65 - 69 years,Widowed,11
2020,Lake,65 - 69 years,Divorced,36
2020,Lake,65 - 69 years,Never Married,12
2020,Lake,65 - 69 years,Unknown,6
2020,Lake,70 - 74 years,Married (including SRDP),40
2020,Lake,70 - 74 years,Widowed,15
2020,Lake,70 - 74 years,Divorced,39
2020,Lake,70 - 74 years,Never Married,6
2020,Lake,70 - 74 years,Unknown,6
2020,Lake,75 - 79 years,Married (including SRDP),42
2020,Lake,75 - 79 years,Widowed,15
2020,Lake,75 - 79 years,Divorced,30
2020,Lake,75 - 79 years,Never Married,11
2020,Lake,75 - 79 years,Unknown,6
2020,Lake,80 - 84 years,Married (including SRDP),41
2020,Lake,80 - 84 years,Widowed,27
2020,Lake,80 - 84 years,Divorced,26
2020,Lake,80 - 84 years,Never Married,6
2020,Lake,80 - 84 years,Unknown,6
2020,Lake,85 - 89 years,Married (including SRDP),24
2020,Lake,85 - 89 years,Widowed,52
2020,Lake,85 - 89 years,Divorced,14
2020,Lake,85 - 89 years,Never Married,6
2020,Lake,85 - 89 years,Unknown,6
2020,Lake,90 - 94 years,Married (including SRDP),15
2020,Lake,90 - 94 years,Widowed,29
2020,Lake,90 - 94 years,Divorced,6
2020,Lake,90 - 94 years,Never Married,6
2020,Lake,90 - 94 years,Unknown,0
2020,Lake,95 - 99 years,Married (including SRDP),6
2020,Lake,95 - 99 years,Widowed,30
2020,Lake,95 - 99 years,Divorced,6
2020,Lake,95 - 99 years,Never Married,0
2020,Lake,95 - 99 years,Unknown,0
2020,Lake,100 years and over,Married (including SRDP),0
2020,Lake,100 years and over,Widowed,6
2020,Lake,100 years and over,Divorced,0
2020,Lake,100 years and over,Never Married,0
2020,Lake,100 years and over,Unknown,0
2020,Lassen,Less than 1 year,Married (including SRDP),0
2020,Lassen,Less than 1 year,Widowed,0
2020,Lassen,Less than 1 year,Divorced,0
2020,Lassen,Less than 1 year,Never Married,6
2020,Lassen,Less than 1 year,Unknown,0
2020,Lassen,1 - 4 years,Married (including SRDP),0
2020,Lassen,1 - 4 years,Widowed,0
2020,Lassen,1 - 4 years,Divorced,0
2020,Lassen,1 - 4 years,Never Married,0
2020,Lassen,1 - 4 years,Unknown,0
2020,Lassen,5 - 9 years,Married (including SRDP),0
2020,Lassen,5 - 9 years,Widowed,0
2020,Lassen,5 - 9 years,Divorced,0
2020,Lassen,5 - 9 years,Never Married,0
2020,Lassen,5 - 9 years,Unknown,0
2020,Lassen,10 - 14 years,Married (including SRDP),0
2020,Lassen,10 - 14 years,Widowed,0
2020,Lassen,10 - 14 years,Divorced,0
2020,Lassen,10 - 14 years,Never Married,0
2020,Lassen,10 - 14 years,Unknown,0
2020,Lassen,15 - 19 years,Married (including SRDP),0
2020,Lassen,15 - 19 years,Widowed,0
2020,Lassen,15 - 19 years,Divorced,0
2020,Lassen,15 - 19 years,Never Married,0
2020,Lassen,15 - 19 years,Unknown,0
2020,Lassen,20 - 24 years,Married (including SRDP),0
2020,Lassen,20 - 24 years,Widowed,0
2020,Lassen,20 - 24 years,Divorced,0
2020,Lassen,20 - 24 years,Never Married,6
2020,Lassen,20 - 24 years,Unknown,0
2020,Lassen,25 - 29 years,Married (including SRDP),6
2020,Lassen,25 - 29 years,Widowed,0
2020,Lassen,25 - 29 years,Divorced,0
2020,Lassen,25 - 29 years,Never Married,6
2020,Lassen,25 - 29 years,Unknown,0
2020,Lassen,30 - 34 years,Married (including SRDP),0
2020,Lassen,30 - 34 years,Widowed,0
2020,Lassen,30 - 34 years,Divorced,0
2020,Lassen,30 - 34 years,Never Married,6
2020,Lassen,30 - 34 years,Unknown,0
2020,Lassen,35 - 39 years,Married (including SRDP),6
2020,Lassen,35 - 39 years,Widowed,0
2020,Lassen,35 - 39 years,Divorced,0
2020,Lassen,35 - 39 years,Never Married,6
2020,Lassen,35 - 39 years,Unknown,0
2020,Lassen,40 - 44 years,Married (including SRDP),0
2020,Lassen,40 - 44 years,Widowed,0
2020,Lassen,40 - 44 years,Divorced,6
2020,Lassen,40 - 44 years,Never Married,6
2020,Lassen,40 - 44 years,Unknown,0
2020,Lassen,45 - 49 years,Married (including SRDP),6
2020,Lassen,45 - 49 years,Widowed,0
2020,Lassen,45 - 49 years,Divorced,6
2020,Lassen,45 - 49 years,Never Married,0
2020,Lassen,45 - 49 years,Unknown,0
2020,Lassen,50 - 54 years,Married (including SRDP),6
2020,Lassen,50 - 54 years,Widowed,0
2020,Lassen,50 - 54 years,Divorced,6
2020,Lassen,50 - 54 years,Never Married,6
2020,Lassen,50 - 54 years,Unknown,0
2020,Lassen,55 - 59 years,Married (including SRDP),6
2020,Lassen,55 - 59 years,Widowed,6
2020,Lassen,55 - 59 years,Divorced,0
2020,Lassen,55 - 59 years,Never Married,6
2020,Lassen,55 - 59 years,Unknown,0
2020,Lassen,60 - 64 years,Married (including SRDP),6
2020,Lassen,60 - 64 years,Widowed,6
2020,Lassen,60 - 64 years,Divorced,6
2020,Lassen,60 - 64 years,Never Married,6
2020,Lassen,60 - 64 years,Unknown,6
2020,Lassen,65 - 69 years,Married (including SRDP),6
2020,Lassen,65 - 69 years,Widowed,6
2020,Lassen,65 - 69 years,Divorced,6
2020,Lassen,65 - 69 years,Never Married,6
2020,Lassen,65 - 69 years,Unknown,0
2020,Lassen,70 - 74 years,Married (including SRDP),13
2020,Lassen,70 - 74 years,Widowed,6
2020,Lassen,70 - 74 years,Divorced,6
2020,Lassen,70 - 74 years,Never Married,6
2020,Lassen,70 - 74 years,Unknown,0
2020,Lassen,75 - 79 years,Married (including SRDP),12
2020,Lassen,75 - 79 years,Widowed,6
2020,Lassen,75 - 79 years,Divorced,6
2020,Lassen,75 - 79 years,Never Married,6
2020,Lassen,75 - 79 years,Unknown,6
2020,Lassen,80 - 84 years,Married (including SRDP),6
2020,Lassen,80 - 84 years,Widowed,6
2020,Lassen,80 - 84 years,Divorced,6
2020,Lassen,80 - 84 years,Never Married,6
2020,Lassen,80 - 84 years,Unknown,0
2020,Lassen,85 - 89 years,Married (including SRDP),6
2020,Lassen,85 - 89 years,Widowed,12
2020,Lassen,85 - 89 years,Divorced,6
2020,Lassen,85 - 89 years,Never Married,6
2020,Lassen,85 - 89 years,Unknown,0
2020,Lassen,90 - 94 years,Married (including SRDP),6
2020,Lassen,90 - 94 years,Widowed,11
2020,Lassen,90 - 94 years,Divorced,6
2020,Lassen,90 - 94 years,Never Married,0
2020,Lassen,90 - 94 years,Unknown,0
2020,Lassen,95 - 99 years,Married (including SRDP),6
2020,Lassen,95 - 99 years,Widowed,6
2020,Lassen,95 - 99 years,Divorced,0
2020,Lassen,95 - 99 years,Never Married,0
2020,Lassen,95 - 99 years,Unknown,0
2020,Lassen,100 years and over,Married (including SRDP),0
2020,Lassen,100 years and over,Widowed,6
2020,Lassen,100 years and over,Divorced,0
2020,Lassen,100 years and over,Never Married,0
2020,Lassen,100 years and over,Unknown,0
2020,Los Angeles,Less than 1 year,Married (including SRDP),0
2020,Los Angeles,Less than 1 year,Widowed,0
2020,Los Angeles,Less than 1 year,Divorced,0
2020,Los Angeles,Less than 1 year,Never Married,377
