County,2014,2015,2016,2017,2018,2019,Pop%_2014,Pop%_2015,Pop%_2016,Pop%_2017,Pop%_2018,Pop%_2019
Sierra,2972.0,2985.0,2951.0,3002.0,2997.0,3005.0,0.0077000859031117,0.0076699638946406,0.0075343814557502,0.0076273237771249,0.0075947273079836,0.0076052415476598
Siskiyou,43338.0,43254.0,43376.0,43622.0,43550.0,43539.0,0.112283419538714,0.111141245661235,0.1107459606996348,0.1108324842790617,0.1103604852394688,0.1101912185502698
Solano,429006.0,433409.0,438858.0,443511.0,445725.0,447643.0,1.1115017001851857,1.1136453539739728,1.1204756275525716,1.1268494322839615,1.1295161259095807,1.1329228426353029
Sonoma,498560.0,500863.0,502547.0,502469.0,498643.0,494336.0,1.2917075463847267,1.2869685514778555,1.2830839706685586,1.2766468191099878,1.2636161524974616,1.251096401232601
Stanislaus,528015.0,533211.0,539255.0,544717.0,548126.0,550660.0,1.368021823059073,1.370086806775623,1.376805446262486,1.3839883164237698,1.3890115116502662,1.3936446957185882
Sutter,94778.0,95282.0,95742.0,96204.0,96348.0,96971.0,0.2455581230569071,0.2448273031186432,0.2444448489788002,0.2444300655078368,0.2441564186418448,0.2454202589411382
Tehama,62801.0,63158.0,63453.0,63847.0,64018.0,65084.0,0.1627096550475514,0.1622846163007417,0.1620057968524974,0.1622191009986992,0.1622286462470795,0.1647186492139407
Trinity,13128.0,13094.0,12828.0,12726.0,12567.0,12285.0,0.0340130308667736,0.0336450610507285,0.0327519638476326,0.0323335517613896,0.0318461588519955,0.0310916447297839
Tulare,455138.0,457161.0,459235.0,462308.0,464589.0,466195.0,1.1792064931933002,1.174676168856889,1.1725014123454631,1.1746078616772384,1.1773195746709433,1.1798754021002564
Tuolumne,53851.0,53615.0,53770.0,53976.0,54387.0,54478.0,0.1395213075264038,0.1377638573571719,0.1372835279145003,0.1371393831426032,0.137822634000436,0.1378763224736811
Ventura,842297.0,845802.0,847323.0,849044.0,848142.0,846006.0,2.182287771175418,2.1732900509262474,2.163352998383823,2.1572063587692387,2.149285021170461,2.1411247856138087
Yolo,208398.0,212037.0,215627.0,218477.0,220118.0,220500.0,0.5399335471186704,0.5448295257379964,0.5505306913449872,0.5550948757011733,0.5578031983913065,0.5580551618166358
Yuba,73533.0,74045.0,74952.0,76578.0,77557.0,78668.0,0.1905149450583843,0.1902587861235064,0.1913646082248024,0.194565356497226,0.1965379599016643,0.1990978842167397
