Year_of_Death,County_of_Residence,Age,Sex,Total_Deaths_sex
2021,Butte,1 - 4 years,Female,6
2021,Butte,1 - 4 years,Male,0
2021,Butte,5 - 9 years,Female,0
2021,Butte,5 - 9 years,Male,6
2021,Butte,10 - 14 years,Female,0
2021,Butte,10 - 14 years,Male,0
2021,Butte,15 - 19 years,Female,6
2021,Butte,15 - 19 years,Male,6
2021,Butte,20 - 24 years,Female,0
2021,Butte,20 - 24 years,Male,6
2021,Butte,25 - 29 years,Female,6
2021,Butte,25 - 29 years,Male,6
2021,Butte,30 - 34 years,Female,6
2021,Butte,30 - 34 years,Male,6
2021,Butte,35 - 39 years,Female,6
2021,Butte,35 - 39 years,Male,11
2021,Butte,40 - 44 years,Female,6
2021,Butte,40 - 44 years,Male,6
2021,Butte,45 - 49 years,Female,6
2021,Butte,45 - 49 years,Male,14
2021,Butte,50 - 54 years,Female,6
2021,Butte,50 - 54 years,Male,6
2021,Butte,55 - 59 years,Female,17
2021,Butte,55 - 59 years,Male,23
2021,Butte,60 - 64 years,Female,20
2021,Butte,60 - 64 years,Male,43
2021,Butte,65 - 69 years,Female,32
2021,Butte,65 - 69 years,Male,47
2021,Butte,70 - 74 years,Female,40
2021,Butte,70 - 74 years,Male,64
2021,Butte,75 - 79 years,Female,38
2021,Butte,75 - 79 years,Male,46
2021,Butte,80 - 84 years,Female,40
2021,Butte,80 - 84 years,Male,57
2021,Butte,85 - 89 years,Female,51
2021,Butte,85 - 89 years,Male,51
2021,Butte,90 - 94 years,Female,67
2021,Butte,90 - 94 years,Male,28
2021,Butte,95 - 99 years,Female,33
2021,Butte,95 - 99 years,Male,13
2021,Butte,100 years and over,Female,6
2021,Butte,100 years and over,Male,6
2021,Calaveras,Less than 1 year,Female,0
2021,Calaveras,Less than 1 year,Male,0
2021,Calaveras,1 - 4 years,Female,0
2021,Calaveras,1 - 4 years,Male,0
2021,Calaveras,5 - 9 years,Female,0
2021,Calaveras,5 - 9 years,Male,0
2021,Calaveras,10 - 14 years,Female,0
2021,Calaveras,10 - 14 years,Male,0
2021,Calaveras,15 - 19 years,Female,0
2021,Calaveras,15 - 19 years,Male,0
2021,Calaveras,20 - 24 years,Female,6
2021,Calaveras,20 - 24 years,Male,6
2021,Calaveras,25 - 29 years,Female,6
2021,Calaveras,25 - 29 years,Male,6
2021,Calaveras,30 - 34 years,Female,6
2021,Calaveras,30 - 34 years,Male,6
2021,Calaveras,35 - 39 years,Female,6
2021,Calaveras,35 - 39 years,Male,6
2021,Calaveras,40 - 44 years,Female,0
2021,Calaveras,40 - 44 years,Male,0
2021,Calaveras,45 - 49 years,Female,0
2021,Calaveras,45 - 49 years,Male,6
2021,Calaveras,50 - 54 years,Female,6
2021,Calaveras,50 - 54 years,Male,6
2021,Calaveras,55 - 59 years,Female,6
2021,Calaveras,55 - 59 years,Male,6
2021,Calaveras,60 - 64 years,Female,6
2021,Calaveras,60 - 64 years,Male,6
2021,Calaveras,65 - 69 years,Female,6
2021,Calaveras,65 - 69 years,Male,12
2021,Calaveras,70 - 74 years,Female,6
2021,Calaveras,70 - 74 years,Male,19
2021,Calaveras,75 - 79 years,Female,15
2021,Calaveras,75 - 79 years,Male,17
2021,Calaveras,80 - 84 years,Female,6
2021,Calaveras,80 - 84 years,Male,18
2021,Calaveras,85 - 89 years,Female,11
2021,Calaveras,85 - 89 years,Male,6
2021,Calaveras,90 - 94 years,Female,11
2021,Calaveras,90 - 94 years,Male,6
2021,Calaveras,95 - 99 years,Female,6
2021,Calaveras,95 - 99 years,Male,6
2021,Calaveras,100 years and over,Female,0
2021,Calaveras,100 years and over,Male,6
2021,Colusa,Less than 1 year,Female,0
2021,Colusa,Less than 1 year,Male,6
2021,Colusa,1 - 4 years,Female,0
2021,Colusa,1 - 4 years,Male,0
2021,Colusa,5 - 9 years,Female,0
2021,Colusa,5 - 9 years,Male,0
2021,Colusa,10 - 14 years,Female,0
2021,Colusa,10 - 14 years,Male,0
2021,Colusa,15 - 19 years,Female,0
2021,Colusa,15 - 19 years,Male,0
2021,Colusa,20 - 24 years,Female,0
2021,Colusa,20 - 24 years,Male,0
2021,Colusa,25 - 29 years,Female,0
2021,Colusa,25 - 29 years,Male,0
2021,Colusa,30 - 34 years,Female,0
2021,Colusa,30 - 34 years,Male,0
2021,Colusa,35 - 39 years,Female,0
2021,Colusa,35 - 39 years,Male,6
2021,Colusa,40 - 44 years,Female,0
2021,Colusa,40 - 44 years,Male,6
2021,Colusa,45 - 49 years,Female,0
2021,Colusa,45 - 49 years,Male,0
2021,Colusa,50 - 54 years,Female,0
2021,Colusa,50 - 54 years,Male,6
2021,Colusa,55 - 59 years,Female,0
2021,Colusa,55 - 59 years,Male,6
2021,Colusa,60 - 64 years,Female,6
2021,Colusa,60 - 64 years,Male,6
2021,Colusa,65 - 69 years,Female,6
2021,Colusa,65 - 69 years,Male,6
2021,Colusa,70 - 74 years,Female,6
2021,Colusa,70 - 74 years,Male,6
2021,Colusa,75 - 79 years,Female,6
2021,Colusa,75 - 79 years,Male,6
2021,Colusa,80 - 84 years,Female,6
2021,Colusa,80 - 84 years,Male,6
2021,Colusa,85 - 89 years,Female,6
2021,Colusa,85 - 89 years,Male,6
2021,Colusa,90 - 94 years,Female,6
2021,Colusa,90 - 94 years,Male,6
